head_id,layer,channels,block_output_shape,inner_conv_shapes,activation_mean_abs,activation_max_abs,particle0_top_rate,leading_pt_match_rate,trace_interpretation
L2_ch224:256,2,224:256,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.40626615285873413,6.537898063659668,0.698437511920929,0.698437511920929,core-neighborhood readout
L2_ch128:160,2,128:160,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.3471827208995819,7.318133354187012,0.3578124940395355,0.3578124940395355,context/feature builder or relay
L2_ch0:32,2,0:32,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.25739240646362305,7.324714660644531,0.4203124940395355,0.4203124940395355,core-neighborhood readout
L2_ch32:64,2,32:64,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.4658662676811218,8.612326622009277,0.3578124940395355,0.3578124940395355,context/feature builder or relay
L2_ch64:96,2,64:96,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.3231021761894226,8.641303062438965,0.22499999403953552,0.22499999403953552,context/feature builder or relay
L2_ch160:192,2,160:192,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.2344776839017868,5.993448257446289,0.23125000298023224,0.23125000298023224,context/feature builder or relay
L1_ch0:16,1,0:16,"[640, 128, 128]","L1.convs.0:[640, 128, 128, 16]; L1.convs.1:[640, 128, 128, 16]; L1.convs.2:[640, 128, 128, 16]",1.6472342014312744,52.47022247314453,0.2953124940395355,0.2953124940395355,context/feature builder or relay
L2_ch192:224,2,192:224,"[640, 256, 128]","L2.convs.0:[640, 256, 128, 16]; L2.convs.1:[640, 256, 128, 16]; L2.convs.2:[640, 256, 128, 16]",0.3882139027118683,5.87950325012207,0.3187499940395355,0.3187499940395355,context/feature builder or relay
L1_ch112:128,1,112:128,"[640, 128, 128]","L1.convs.0:[640, 128, 128, 16]; L1.convs.1:[640, 128, 128, 16]; L1.convs.2:[640, 128, 128, 16]",2.724093198776245,60.30942916870117,0.1953125,0.1953125,context/feature builder or relay
L0_ch40:48,0,40:48,"[640, 64, 128]","L0.convs.0:[640, 64, 128, 16]; L0.convs.1:[640, 64, 128, 16]; L0.convs.2:[640, 64, 128, 16]",2.8256311416625977,53.7208251953125,0.15000000596046448,0.15000000596046448,context/feature builder or relay
