head_id,rank,event_index,true_label,pred_label,top_particle,leading_pt_particle,top_is_particle0,top_is_leading_pt,event_score,top_particle_pt,leading_pt,knn_neighbors,knn_contains_particle0,knn_contains_leading,neighbor_pt_mean,neighbor_pt_max,neighbor_pt_rank_mean,neighbor_top4_frac,neighbor_top16_frac,neighbor_deltaR_mean,neighbor_deltaR_max,neighbor_charge_mean,neighbor_charge_abs_mean,neighbor_pid_charged_hadron_frac,neighbor_pid_neutral_hadron_frac,neighbor_pid_photon_frac,neighbor_pid_electron_frac,neighbor_pid_muon_frac
L2_ch224:256,1,369,label_Tbl,label_Tbl,0,0,1,1,0.6458096504211426,487.25653076171875,487.25653076171875,"[0, 72, 108, 31, 103, 67, 96, 60, 24, 8, 44, 116, 80, 86, 50, 14]",1,1,96.34561920166016,487.25653076171875,62.875,0.0625,0.1875,0.2548144459724426,0.3571796119213104,0.375,0.375,0.1875,0.25,0.375,0.1875,0.0
L2_ch224:256,2,332,label_Tbl,label_Tbl,0,0,1,1,0.5682569742202759,252.05963134765625,252.05963134765625,"[76, 74, 70, 63, 53, 67, 100, 24, 115, 39, 11, 87, 3, 79, 77, 1]",0,0,27.913610458374023,252.05963134765625,65.5625,0.125,0.1875,0.28470703959465027,0.3342580497264862,0.0,0.5,0.4375,0.0,0.5,0.0,0.0625
L2_ch224:256,3,355,label_Tbl,label_Tbl,0,0,1,1,0.5428941249847412,519.654052734375,519.654052734375,"[36, 0, 18, 90, 72, 108, 126, 35, 125, 89, 107, 53, 17, 71, 33, 15]",1,1,227.6763916015625,519.654052734375,62.625,0.0625,0.125,0.2880780100822449,0.5407585501670837,0.5625,0.5625,0.125,0.0,0.4375,0.0,0.4375
L2_ch224:256,4,323,label_Tbl,label_Tbl,0,0,1,1,0.5153225064277649,391.753173828125,391.753173828125,"[30, 90, 0, 120, 86, 56, 116, 26, 46, 76, 16, 106, 110, 80, 20, 50]",1,1,99.56766510009766,391.753173828125,61.4375,0.0625,0.0625,0.3361167311668396,0.47078031301498413,0.0,0.5,0.25,0.0,0.5,0.0,0.25
L2_ch224:256,5,334,label_Tbl,label_Tbl,0,0,1,1,0.5127666592597961,482.8270568847656,482.8270568847656,"[72, 0, 24, 96, 120, 104, 80, 32, 8, 56, 117, 21, 93, 69, 45, 9]",1,1,153.64630126953125,482.8270568847656,58.75,0.0625,0.1875,0.20947928726673126,0.3166196346282959,0.3125,0.9375,0.625,0.0,0.0625,0.0,0.3125
L2_ch224:256,6,340,label_Tbl,label_Tbl,0,0,1,1,0.4992355406284332,329.0126953125,329.0126953125,"[0, 80, 120, 38, 118, 78, 91, 11, 51, 70, 30, 110, 98, 18, 58, 34]",1,1,64.2779769897461,329.0126953125,60.5,0.0625,0.125,0.2979627549648285,0.48255008459091187,0.1875,0.1875,0.0,0.5625,0.25,0.1875,0.0
L2_ch224:256,7,337,label_Tbl,label_Tbl,0,0,1,1,0.49777498841285706,332.51971435546875,332.51971435546875,"[40, 0, 20, 100, 80, 120, 91, 31, 11, 51, 111, 71, 78, 58, 18, 38]",1,1,126.5885238647461,332.51971435546875,63.1875,0.0625,0.125,0.30872195959091187,0.5011255741119385,0.75,0.75,0.375,0.0,0.25,0.0,0.375
L2_ch224:256,8,197,label_Hqql,label_Tbl,0,0,1,1,0.49595963954925537,420.1024475097656,420.1024475097656,"[75, 0, 25, 100, 125, 118, 93, 68, 18, 43, 110, 10, 85, 35, 60, 23]",1,1,132.6732940673828,420.1024475097656,59.0,0.0625,0.125,0.07892031967639923,0.21684539318084717,-0.3125,0.3125,0.0,0.3125,0.375,0.3125,0.0
L2_ch128:160,1,327,label_Tbl,label_Tbl,0,0,1,1,0.6819173693656921,330.2943420410156,330.2943420410156,"[31, 93, 0, 124, 50, 81, 112, 19, 92, 30, 61, 123, 116, 85, 23, 54]",1,1,85.00838470458984,330.2943420410156,55.9375,0.0625,0.0625,0.25294220447540283,0.3430059552192688,-0.75,0.75,0.5,0.0,0.25,0.0,0.25
L2_ch128:160,2,376,label_Tbl,label_Tbl,0,0,1,1,0.6815017461776733,216.5425567626953,216.5425567626953,"[0, 68, 102, 29, 97, 63, 126, 58, 24, 92, 11, 79, 113, 45, 57, 23]",1,1,45.69269943237305,216.5425567626953,60.75,0.0625,0.125,0.2787284255027771,0.38088259100914,0.3125,0.6875,0.5,0.0,0.3125,0.1875,0.0
