src,dst,type,gate_abs_grad,patch_acc_drop,super_max_particle_score,conf,rank,super_score,score,pt,deltaR
run:all_head_supertrace:v1:latest,head:L1_ch112:128,run_has_head,0.8689268512214768,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch16:32,run_has_head,0.748019616522652,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch40:48,run_has_head,0.715566657370073,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch224:256,run_has_head,0.7083240525222217,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch48:56,run_has_head,0.3768698421619773,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch8:16,run_has_head,0.3576639466715291,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch128:160,run_has_head,0.3421113716471157,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch64:96,run_has_head,0.3056455652433215,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch0:32,run_has_head,0.2610779497063049,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch24:32,run_has_head,0.22714711990847689,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch32:48,run_has_head,0.21075477813137686,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch0:8,run_has_head,0.20418599925615105,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch64:80,run_has_head,0.183527687044989,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch80:96,run_has_head,0.16921844155003798,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch48:64,run_has_head,0.1365954355052964,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch32:64,run_has_head,0.13062319853925153,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch32:40,run_has_head,0.11246960707576363,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch16:24,run_has_head,0.08959298154077243,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch96:128,run_has_head,0.06664143828711544,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch160:192,run_has_head,0.04230899697795393,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch192:224,run_has_head,0.036883427306383984,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch96:112,run_has_head,0.02857979802283812,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch56:64,run_has_head,0.018621155667642587,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch0:16,run_has_head,0.014614771667402222,0.0,,,,,,,
run:all_head_supertrace:v1:latest,event:3653,run_has_event,,,5.196718215942383,,,,,,
event:3653,class:label_Hqql,event_predicted_as,,,,0.9841899275779724,,,,,
run:all_head_supertrace:v1:latest,event:3458,run_has_event,,,5.164773464202881,,,,,,
event:3458,class:label_Hqql,event_predicted_as,,,,0.9996488094329834,,,,,
run:all_head_supertrace:v1:latest,event:4073,run_has_event,,,5.147113800048828,,,,,,
event:4073,class:label_Hqql,event_predicted_as,,,,0.9995704293251038,,,,,
run:all_head_supertrace:v1:latest,event:3346,run_has_event,,,5.1410956382751465,,,,,,
event:3346,class:label_Hqql,event_predicted_as,,,,0.9593855142593384,,,,,
run:all_head_supertrace:v1:latest,event:3282,run_has_event,,,5.117623805999756,,,,,,
event:3282,class:label_Hqql,event_predicted_as,,,,0.9999245405197144,,,,,
run:all_head_supertrace:v1:latest,event:3477,run_has_event,,,5.0932135581970215,,,,,,
event:3477,class:label_Hqql,event_predicted_as,,,,0.99908447265625,,,,,
run:all_head_supertrace:v1:latest,event:3931,run_has_event,,,5.086535930633545,,,,,,
event:3931,class:label_Hqql,event_predicted_as,,,,0.9999632835388184,,,,,
run:all_head_supertrace:v1:latest,event:3525,run_has_event,,,5.0709381103515625,,,,,,
event:3525,class:label_Hqql,event_predicted_as,,,,0.9992823004722595,,,,,
run:all_head_supertrace:v1:latest,event:3375,run_has_event,,,5.037026405334473,,,,,,
event:3375,class:label_Hqql,event_predicted_as,,,,0.9998637437820435,,,,,
run:all_head_supertrace:v1:latest,event:3192,run_has_event,,,5.036527156829834,,,,,,
event:3192,class:label_Hqql,event_predicted_as,,,,0.9937615990638733,,,,,
run:all_head_supertrace:v1:latest,event:7974,run_has_event,,,5.027756214141846,,,,,,
event:7974,class:label_Wqq,event_predicted_as,,,,0.6064655184745789,,,,,
run:all_head_supertrace:v1:latest,event:3329,run_has_event,,,5.021880149841309,,,,,,
event:3329,class:label_Hqql,event_predicted_as,,,,0.9999934434890747,,,,,
run:all_head_supertrace:v1:latest,event:3101,run_has_event,,,5.009812831878662,,,,,,
event:3101,class:label_Hqql,event_predicted_as,,,,0.9999512434005737,,,,,
run:all_head_supertrace:v1:latest,event:3330,run_has_event,,,4.989509105682373,,,,,,
event:3330,class:label_Hqql,event_predicted_as,,,,0.9999957084655762,,,,,
run:all_head_supertrace:v1:latest,event:5121,run_has_event,,,4.988543510437012,,,,,,
event:5121,class:label_Tbl,event_predicted_as,,,,0.9999911785125732,,,,,
run:all_head_supertrace:v1:latest,event:4063,run_has_event,,,4.987092018127441,,,,,,
event:4063,class:label_Hqql,event_predicted_as,,,,0.8149993419647217,,,,,
run:all_head_supertrace:v1:latest,event:5295,run_has_event,,,4.9861674308776855,,,,,,
event:5295,class:label_Tbl,event_predicted_as,,,,0.9999303817749023,,,,,
run:all_head_supertrace:v1:latest,event:3610,run_has_event,,,4.962615489959717,,,,,,
event:3610,class:label_Hqql,event_predicted_as,,,,0.9972230195999146,,,,,
run:all_head_supertrace:v1:latest,event:3209,run_has_event,,,4.9580230712890625,,,,,,
event:3209,class:label_Hqql,event_predicted_as,,,,0.9979046583175659,,,,,
run:all_head_supertrace:v1:latest,event:4069,run_has_event,,,4.954601764678955,,,,,,
event:4069,class:label_Hqql,event_predicted_as,,,,0.9998471736907959,,,,,
run:all_head_supertrace:v1:latest,event:3598,run_has_event,,,4.952511787414551,,,,,,
event:3598,class:label_Hqql,event_predicted_as,,,,0.9776914119720459,,,,,
run:all_head_supertrace:v1:latest,event:3486,run_has_event,,,4.949716567993164,,,,,,
event:3486,class:label_Hqql,event_predicted_as,,,,0.9999655485153198,,,,,
run:all_head_supertrace:v1:latest,event:3865,run_has_event,,,4.948277950286865,,,,,,
