head_id,rank,event_index,true_label,pred_label,event_score,top_particle_index,leading_pt_index,top_is_particle0,top_is_leading_pt
L0_ch40:48,1,150,label_Hcc,label_Hcc,13.962438583374023,36,0,0,0
L0_ch40:48,2,1035,label_QCD,label_Tbqq,13.621795654296875,52,0,0,0
L0_ch40:48,3,266,label_Hgg,label_Hcc,13.319235801696777,36,0,0,0
L0_ch40:48,4,255,label_Hcc,label_Zqq,13.00533390045166,33,0,0,0
L0_ch40:48,5,752,label_Tbl,label_Tbl,12.964479446411133,16,0,0,0
L0_ch0:8,1,703,label_Tbl,label_Tbl,8.384217262268066,48,0,0,0
L0_ch0:8,2,1129,label_QCD,label_QCD,7.342529773712158,32,0,0,0
L0_ch0:8,3,1115,label_QCD,label_QCD,7.140809059143066,70,0,0,0
L0_ch0:8,4,1117,label_QCD,label_QCD,7.124821662902832,51,0,0,0
L0_ch0:8,5,1041,label_QCD,label_QCD,7.106213092803955,37,0,0,0
L0_ch48:56,1,703,label_Tbl,label_Tbl,8.317231178283691,40,0,0,0
L0_ch48:56,2,424,label_Hqql,label_Hqql,8.201576232910156,26,0,0,0
L0_ch48:56,3,905,label_Wqq,label_Wqq,8.003220558166504,35,0,0,0
L0_ch48:56,4,781,label_Tbqq,label_Tbqq,7.844597816467285,48,0,0,0
L0_ch48:56,5,1115,label_QCD,label_QCD,7.672323703765869,55,0,0,0
L0_ch16:24,1,1029,label_QCD,label_QCD,15.813673973083496,44,0,0,0
L0_ch16:24,2,781,label_Tbqq,label_Tbqq,14.623306274414062,48,0,0,0
L0_ch16:24,3,1180,label_Zqq,label_Tbqq,14.4960355758667,49,0,0,0
L0_ch16:24,4,662,label_Tbl,label_Tbl,14.318249702453613,31,0,0,0
L0_ch16:24,5,600,label_H4q,label_Tbqq,14.081388473510742,33,0,0,0
L0_ch24:32,1,1117,label_QCD,label_QCD,10.338403701782227,22,0,0,0
L0_ch24:32,2,713,label_Tbl,label_Tbl,9.651948928833008,9,0,0,0
L0_ch24:32,3,360,label_Hgg,label_QCD,8.783203125,6,0,0,0
L0_ch24:32,4,694,label_Tbl,label_Tbl,8.10794734954834,10,0,0,0
L0_ch24:32,5,703,label_Tbl,label_Tbl,8.094717025756836,1,0,0,0
L0_ch8:16,1,781,label_Tbqq,label_Tbqq,11.134754180908203,48,0,0,0
L0_ch8:16,2,938,label_Wqq,label_H4q,10.3159818649292,52,0,0,0
L0_ch8:16,3,4,label_Hbb,label_Hbb,9.897664070129395,35,0,0,0
L0_ch8:16,4,905,label_Wqq,label_Wqq,9.821554183959961,35,0,0,0
L0_ch8:16,5,547,label_H4q,label_H4q,9.785926818847656,62,0,0,0
L0_ch56:64,1,703,label_Tbl,label_Tbl,10.012460708618164,40,0,0,0
L0_ch56:64,2,652,label_Tbl,label_Tbl,9.233373641967773,71,0,0,0
L0_ch56:64,3,1115,label_QCD,label_QCD,8.795475006103516,67,0,0,0
L0_ch56:64,4,1129,label_QCD,label_QCD,8.685898780822754,39,0,0,0
L0_ch56:64,5,826,label_Tbqq,label_Tbqq,8.263433456420898,45,0,0,0
L0_ch32:40,1,1123,label_QCD,label_QCD,6.773431777954102,0,0,1,1
L0_ch32:40,2,799,label_Tbqq,label_Tbqq,6.597647666931152,0,0,1,1
L0_ch32:40,3,1117,label_QCD,label_QCD,6.162010669708252,44,0,0,0
L0_ch32:40,4,921,label_Wqq,label_Zqq,6.1371307373046875,4,0,0,0
L0_ch32:40,5,1129,label_QCD,label_QCD,5.980524063110352,35,0,0,0
L1_ch16:32,1,657,label_Tbl,label_Tbl,10.426301002502441,19,0,0,0
L1_ch16:32,2,848,label_Tbqq,label_Tbqq,9.955588340759277,54,0,0,0
L1_ch16:32,3,781,label_Tbqq,label_Tbqq,9.540440559387207,49,0,0,0
L1_ch16:32,4,879,label_Tbqq,label_Tbqq,9.178228378295898,39,0,0,0
L1_ch16:32,5,703,label_Tbl,label_Tbl,9.121618270874023,28,0,0,0
L1_ch32:48,1,703,label_Tbl,label_Tbl,8.63534164428711,42,0,0,0
L1_ch32:48,2,787,label_Tbqq,label_QCD,7.615794658660889,31,0,0,0
L1_ch32:48,3,1129,label_QCD,label_QCD,7.448009967803955,32,0,0,0
L1_ch32:48,4,1115,label_QCD,label_QCD,7.2854509353637695,63,0,0,0
L1_ch32:48,5,1041,label_QCD,label_QCD,6.9255828857421875,43,0,0,0
L1_ch112:128,1,844,label_Tbqq,label_Tbqq,6.912355422973633,15,0,0,0
L1_ch112:128,2,1246,label_Zqq,label_Zqq,6.783208847045898,15,0,0,0
L1_ch112:128,3,110,label_Hbb,label_Hbb,6.447595119476318,13,0,0,0
L1_ch112:128,4,170,label_Hcc,label_Hcc,6.051562309265137,19,0,0,0
L1_ch112:128,5,630,label_H4q,label_H4q,6.022800445556641,18,0,0,0
L1_ch0:16,1,1115,label_QCD,label_QCD,8.58974838256836,0,0,1,1
L1_ch0:16,2,703,label_Tbl,label_Tbl,7.250781536102295,1,0,0,0
L1_ch0:16,3,140,label_Hcc,label_Hcc,7.244054794311523,3,0,0,0
L1_ch0:16,4,1129,label_QCD,label_QCD,7.054227828979492,1,0,0,0
L1_ch0:16,5,689,label_Tbl,label_Tbl,6.768133163452148,2,0,0,0
L1_ch96:112,1,781,label_Tbqq,label_Tbqq,11.276045799255371,48,0,0,0
L1_ch96:112,2,657,label_Tbl,label_Tbl,10.090584754943848,19,0,0,0
L1_ch96:112,3,424,label_Hqql,label_Hqql,9.849793434143066,26,0,0,0
L1_ch96:112,4,662,label_Tbl,label_Tbl,9.515562057495117,31,0,0,0
L1_ch96:112,5,1029,label_QCD,label_QCD,9.312702178955078,44,0,0,0
L1_ch64:80,1,781,label_Tbqq,label_Tbqq,9.085151672363281,48,0,0,0
L1_ch64:80,2,424,label_Hqql,label_Hqql,8.462648391723633,26,0,0,0
L1_ch64:80,3,879,label_Tbqq,label_Tbqq,8.34302043914795,39,0,0,0
L1_ch64:80,4,657,label_Tbl,label_Tbl,8.3132963180542,19,0,0,0
L1_ch64:80,5,1117,label_QCD,label_QCD,8.183374404907227,22,0,0,0
L1_ch80:96,1,657,label_Tbl,label_Tbl,16.11688995361328,19,0,0,0
L1_ch80:96,2,848,label_Tbqq,label_Tbqq,15.745019912719727,54,0,0,0
L1_ch80:96,3,661,label_Tbl,label_Tbl,14.778252601623535,37,0,0,0
