head_id,role,A_top1_rate,B_top1_rate,C_top1_rate,B_minus_A_top1_rate,B_minus_C_top1_rate,A_top3_rate,B_top3_rate,C_top3_rate,B_minus_A_top3_rate,B_minus_C_top3_rate
L1_ch80:96,hard_hadron,0.03125,0.18181818181818182,0.0390625,0.15056818181818182,0.14275568181818182,0.052083333333333336,0.21212121212121213,0.0625,0.16003787878787878,0.14962121212121213
L1_ch80:96,hadron_neighbor,0.625,0.45454545454545453,0.5078125,-0.17045454545454547,-0.05326704545454547,0.4583333333333333,0.42424242424242425,0.4114583333333333,-0.03409090909090906,0.01278409090909094
L1_ch80:96,photon_neighbor,0.3125,0.36363636363636365,0.34375,0.051136363636363646,0.019886363636363646,0.4479166666666667,0.3333333333333333,0.4114583333333333,-0.11458333333333337,-0.078125
L1_ch32:48,hadron_neighbor,0.625,0.5454545454545454,0.4453125,-0.07954545454545459,0.10014204545454541,0.5208333333333334,0.45454545454545453,0.4322916666666667,-0.06628787878787884,0.022253787878787845
L1_ch32:48,hard_hadron,0.0625,0.09090909090909091,0.109375,0.02840909090909091,-0.01846590909090909,0.052083333333333336,0.15151515151515152,0.1171875,0.09943181818181818,0.03432765151515152
L1_ch32:48,nearest_hadron_to_best_lepton,0.09375,0.18181818181818182,0.1640625,0.08806818181818182,0.017755681818181823,0.125,0.09090909090909091,0.12760416666666666,-0.03409090909090909,-0.036695075757575746
L1_ch32:48,particle0,0.0,0.09090909090909091,0.0234375,0.09090909090909091,0.06747159090909091,0.0,0.030303030303030304,0.020833333333333332,0.030303030303030304,0.009469696969696972
L2_ch128:160,second_lepton,0.0,0.0,0.0234375,0.0,-0.0234375,0.020833333333333332,0.12121212121212122,0.09114583333333333,0.10037878787878789,0.030066287878787887
L2_ch128:160,particle0_best_lepton,0.96875,0.9090909090909091,0.8125,-0.05965909090909094,0.09659090909090906,0.3229166666666667,0.30303030303030304,0.2734375,-0.019886363636363646,0.02959280303030304
L2_ch128:160,best_lepton,0.03125,0.09090909090909091,0.1640625,0.05965909090909091,-0.07315340909090909,0.010416666666666666,0.030303030303030304,0.0546875,0.01988636363636364,-0.024384469696969696
L2_ch128:160,hard_hadron,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,0.18181818181818182,0.1328125,-0.07859848484848486,0.04900568181818182
L2_ch128:160,photon_neighbor,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.030303030303030304,0.14583333333333334,-0.07386363636363637,-0.11553030303030304
L1_ch32:48,photon_neighbor,0.15625,0.09090909090909091,0.0625,-0.06534090909090909,0.02840909090909091,0.17708333333333334,0.18181818181818182,0.1328125,0.004734848484848481,0.04900568181818182
L1_ch32:48,particle0_best_lepton,0.0625,0.0,0.1875,-0.0625,-0.1875,0.09375,0.09090909090909091,0.13802083333333334,-0.0028409090909090884,-0.04711174242424243
L2_ch128:160,hardest_hadron,0.0,0.0,0.0,0.0,0.0,0.15625,0.09090909090909091,0.10677083333333333,-0.06534090909090909,-0.015861742424242417
L2_ch128:160,nearest_hadron_to_best_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0390625,0.06060606060606061,0.021543560606060608
L1_ch80:96,other_lepton,0.03125,0.0,0.0078125,-0.03125,-0.0078125,0.010416666666666666,0.0,0.010416666666666666,-0.010416666666666666,-0.010416666666666666
L1_ch32:48,hardest_hadron,0.0,0.0,0.0078125,0.0,-0.0078125,0.03125,0.0,0.018229166666666668,-0.03125,-0.018229166666666668
L2_ch128:160,other_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0026041666666666665,0.030303030303030304,0.027698863636363636
L1_ch80:96,particle0_best_lepton,0.0,0.0,0.046875,0.0,-0.046875,0.010416666666666666,0.030303030303030304,0.0546875,0.01988636363636364,-0.024384469696969696
L2_ch128:160,particle0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.030303030303030304,0.018229166666666668,0.01988636363636364,0.012073863636363636
L1_ch80:96,nearest_hadron_to_best_lepton,0.0,0.0,0.0234375,0.0,-0.0234375,0.010416666666666666,0.0,0.028645833333333332,-0.010416666666666666,-0.028645833333333332
L1_ch80:96,second_lepton,0.0,0.0,0.0078125,0.0,-0.0078125,0.010416666666666666,0.0,0.010416666666666666,-0.010416666666666666,-0.010416666666666666
L2_ch128:160,hadron_neighbor,0.0,0.0,0.0,0.0,0.0,0.11458333333333333,0.12121212121212122,0.13541666666666666,0.006628787878787887,-0.014204545454545442
L1_ch80:96,best_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_ch80:96,hardest_hadron,0.0,0.0,0.0234375,0.0,-0.0234375,0.0,0.0,0.010416666666666666,0.0,-0.010416666666666666
L1_ch80:96,particle0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_ch32:48,best_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,-0.005208333333333333
L1_ch32:48,other_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_ch32:48,second_lepton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,-0.0078125
