head_id,group,role,events,top1_count,top1_rate,top3_count,top3_rate,mean_activation_norm
L0_ch0:8,A_protected_highiso,photon_neighbor,32,21,0.65625,68,0.7083333333333334,16.283184500301587
L0_ch0:8,A_protected_highiso,hadron_neighbor,32,10,0.3125,23,0.23958333333333334,15.275397549504818
L0_ch0:8,A_protected_highiso,nearest_hadron_to_best_lepton,32,1,0.03125,2,0.020833333333333332,15.790519714355469
L0_ch0:8,A_protected_highiso,hard_hadron,32,0,0.0,3,0.03125,15.343222935994467
L0_ch0:8,B_confused_highiso,photon_neighbor,11,9,0.8181818181818182,23,0.696969696969697,17.356685638427734
L0_ch0:8,B_confused_highiso,hadron_neighbor,11,1,0.09090909090909091,9,0.2727272727272727,15.833892822265625
L0_ch0:8,B_confused_highiso,nearest_hadron_to_best_lepton,11,1,0.09090909090909091,1,0.030303030303030304,15.490837097167969
L0_ch0:8,C_Tbl_correct,photon_neighbor,128,108,0.84375,289,0.7526041666666666,18.43912040156064
L0_ch0:8,C_Tbl_correct,hadron_neighbor,128,17,0.1328125,82,0.21354166666666666,17.727069040624105
L0_ch0:8,C_Tbl_correct,nearest_hadron_to_best_lepton,128,3,0.0234375,9,0.0234375,16.379878785875107
L0_ch0:8,C_Tbl_correct,hard_hadron,128,0,0.0,2,0.005208333333333333,14.133147716522217
L0_ch0:8,C_Tbl_correct,other_lepton,128,0,0.0,1,0.0026041666666666665,15.155245780944824
L0_ch0:8,C_Tbl_correct,particle0_best_lepton,128,0,0.0,1,0.0026041666666666665,12.737896919250488
L0_ch16:24,A_protected_highiso,hadron_neighbor,32,30,0.9375,74,0.7708333333333334,15.955001611967344
L0_ch16:24,A_protected_highiso,photon_neighbor,32,1,0.03125,13,0.13541666666666666,14.14643148275522
L0_ch16:24,A_protected_highiso,hard_hadron,32,1,0.03125,7,0.07291666666666667,16.243446622576034
L0_ch16:24,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,2,0.020833333333333332,12.97426176071167
L0_ch16:24,B_confused_highiso,hadron_neighbor,11,7,0.6363636363636364,18,0.5454545454545454,21.472059779696995
L0_ch16:24,B_confused_highiso,photon_neighbor,11,3,0.2727272727272727,8,0.24242424242424243,17.138028383255005
L0_ch16:24,B_confused_highiso,hardest_hadron,11,1,0.09090909090909091,1,0.030303030303030304,22.347349166870117
L0_ch16:24,B_confused_highiso,hard_hadron,11,0,0.0,4,0.12121212121212122,15.351696491241455
L0_ch16:24,B_confused_highiso,other_lepton,11,0,0.0,1,0.030303030303030304,15.683095932006836
L0_ch16:24,B_confused_highiso,second_lepton,11,0,0.0,1,0.030303030303030304,21.7080078125
L0_ch16:24,C_Tbl_correct,hadron_neighbor,128,81,0.6328125,227,0.5911458333333334,18.423499956004946
L0_ch16:24,C_Tbl_correct,photon_neighbor,128,27,0.2109375,76,0.19791666666666666,15.810693163620797
L0_ch16:24,C_Tbl_correct,nearest_hadron_to_best_lepton,128,8,0.0625,25,0.06510416666666667,15.254580001831055
L0_ch16:24,C_Tbl_correct,best_lepton,128,5,0.0390625,9,0.0234375,16.352378103468155
L0_ch16:24,C_Tbl_correct,hard_hadron,128,4,0.03125,23,0.059895833333333336,15.045411980670432
L0_ch16:24,C_Tbl_correct,particle0_best_lepton,128,2,0.015625,13,0.033854166666666664,13.242373833289513
L0_ch16:24,C_Tbl_correct,second_lepton,128,1,0.0078125,3,0.0078125,16.054569880167644
L0_ch16:24,C_Tbl_correct,hardest_hadron,128,0,0.0,5,0.013020833333333334,17.955447959899903
L0_ch16:24,C_Tbl_correct,other_lepton,128,0,0.0,2,0.005208333333333333,17.423118591308594
L0_ch16:24,C_Tbl_correct,particle0,128,0,0.0,1,0.0026041666666666665,12.031279563903809
L0_ch24:32,A_protected_highiso,photon_neighbor,32,14,0.4375,49,0.5104166666666666,13.381016458783831
L0_ch24:32,A_protected_highiso,hard_hadron,32,10,0.3125,20,0.20833333333333334,16.912507390975954
L0_ch24:32,A_protected_highiso,hadron_neighbor,32,6,0.1875,17,0.17708333333333334,14.576496516957002
L0_ch24:32,A_protected_highiso,hardest_hadron,32,2,0.0625,2,0.020833333333333332,13.396225929260254
L0_ch24:32,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,6,0.0625,12.253791809082031
L0_ch24:32,A_protected_highiso,other_lepton,32,0,0.0,1,0.010416666666666666,14.358720779418945
L0_ch24:32,A_protected_highiso,particle0_best_lepton,32,0,0.0,1,0.010416666666666666,10.386588096618652
L0_ch24:32,B_confused_highiso,hard_hadron,11,6,0.5454545454545454,9,0.2727272727272727,17.88452328575982
L0_ch24:32,B_confused_highiso,photon_neighbor,11,2,0.18181818181818182,17,0.5151515151515151,15.163541681626263
L0_ch24:32,B_confused_highiso,hadron_neighbor,11,2,0.18181818181818182,4,0.12121212121212122,17.351962089538574
L0_ch24:32,B_confused_highiso,nearest_hadron_to_best_lepton,11,1,0.09090909090909091,2,0.06060606060606061,17.319600105285645
L0_ch24:32,B_confused_highiso,hardest_hadron,11,0,0.0,1,0.030303030303030304,15.103556632995605
L0_ch24:32,C_Tbl_correct,photon_neighbor,128,45,0.3515625,203,0.5286458333333334,15.409522657911179
L0_ch24:32,C_Tbl_correct,hard_hadron,128,39,0.3046875,69,0.1796875,19.280357222626176
L0_ch24:32,C_Tbl_correct,hadron_neighbor,128,22,0.171875,66,0.171875,17.14052908348315
L0_ch24:32,C_Tbl_correct,hardest_hadron,128,8,0.0625,12,0.03125,18.815754731496174
L0_ch24:32,C_Tbl_correct,particle0,128,8,0.0625,9,0.0234375,18.966089142693413
L0_ch24:32,C_Tbl_correct,nearest_hadron_to_best_lepton,128,5,0.0390625,21,0.0546875,14.231540725344704
L0_ch24:32,C_Tbl_correct,other_lepton,128,1,0.0078125,1,0.0026041666666666665,15.24277400970459
L0_ch24:32,C_Tbl_correct,particle0_best_lepton,128,0,0.0,3,0.0078125,9.453511238098145
L0_ch32:40,A_protected_highiso,hard_hadron,32,13,0.40625,31,0.3229166666666667,11.588033460801647
L0_ch32:40,A_protected_highiso,photon_neighbor,32,6,0.1875,26,0.2708333333333333,10.298011229588436
L0_ch32:40,A_protected_highiso,hadron_neighbor,32,6,0.1875,25,0.2604166666666667,10.12782844543457
L0_ch32:40,A_protected_highiso,hardest_hadron,32,6,0.1875,11,0.11458333333333333,11.249528841538863
L0_ch32:40,A_protected_highiso,particle0,32,1,0.03125,1,0.010416666666666666,12.918814659118652
L0_ch32:40,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,2,0.020833333333333332,8.205061912536621
L0_ch32:40,B_confused_highiso,hard_hadron,11,5,0.45454545454545453,10,0.30303030303030304,13.349642944335937
L0_ch32:40,B_confused_highiso,photon_neighbor,11,3,0.2727272727272727,8,0.24242424242424243,10.50921881198883
L0_ch32:40,B_confused_highiso,hadron_neighbor,11,2,0.18181818181818182,10,0.30303030303030304,11.895172691345214
L0_ch32:40,B_confused_highiso,hardest_hadron,11,1,0.09090909090909091,3,0.09090909090909091,15.0893767674764
L0_ch32:40,B_confused_highiso,nearest_hadron_to_best_lepton,11,0,0.0,1,0.030303030303030304,11.150519371032715
L0_ch32:40,B_confused_highiso,particle0,11,0,0.0,1,0.030303030303030304,16.83456802368164
L0_ch32:40,C_Tbl_correct,hard_hadron,128,43,0.3359375,84,0.21875,14.369943823133196
L0_ch32:40,C_Tbl_correct,hadron_neighbor,128,32,0.25,136,0.3541666666666667,13.773336375460906
L0_ch32:40,C_Tbl_correct,hardest_hadron,128,20,0.15625,38,0.09895833333333333,14.27219513842934
L0_ch32:40,C_Tbl_correct,photon_neighbor,128,19,0.1484375,97,0.2526041666666667,12.503827793082012
L0_ch32:40,C_Tbl_correct,particle0,128,11,0.0859375,17,0.044270833333333336,16.85360100690056
L0_ch32:40,C_Tbl_correct,nearest_hadron_to_best_lepton,128,2,0.015625,11,0.028645833333333332,13.138167467984287
L0_ch32:40,C_Tbl_correct,other_lepton,128,1,0.0078125,1,0.0026041666666666665,11.46876049041748
L0_ch40:48,A_protected_highiso,hadron_neighbor,32,21,0.65625,50,0.5208333333333334,22.07724473953247
L0_ch40:48,A_protected_highiso,photon_neighbor,32,6,0.1875,23,0.23958333333333334,18.813003581503164
L0_ch40:48,A_protected_highiso,particle0_best_lepton,32,4,0.125,16,0.16666666666666666,16.238088309764862
L0_ch40:48,A_protected_highiso,hard_hadron,32,1,0.03125,5,0.052083333333333336,20.063118934631348
L0_ch40:48,A_protected_highiso,best_lepton,32,0,0.0,1,0.010416666666666666,14.294474601745605
L0_ch40:48,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,1,0.010416666666666666,12.515174865722656
L0_ch40:48,B_confused_highiso,hadron_neighbor,11,7,0.6363636363636364,14,0.42424242424242425,26.8809655053275
L0_ch40:48,B_confused_highiso,photon_neighbor,11,1,0.09090909090909091,10,0.30303030303030304,22.186613750457763
L0_ch40:48,B_confused_highiso,hard_hadron,11,1,0.09090909090909091,4,0.12121212121212122,25.387009143829346
L0_ch40:48,B_confused_highiso,particle0_best_lepton,11,1,0.09090909090909091,3,0.09090909090909091,16.42961883544922
L0_ch40:48,B_confused_highiso,other_lepton,11,1,0.09090909090909091,1,0.030303030303030304,23.368324279785156
L0_ch40:48,B_confused_highiso,second_lepton,11,0,0.0,1,0.030303030303030304,30.398212432861328
L0_ch40:48,C_Tbl_correct,hadron_neighbor,128,69,0.5390625,142,0.3697916666666667,25.200383904954077
L0_ch40:48,C_Tbl_correct,photon_neighbor,128,25,0.1953125,92,0.23958333333333334,19.7226227781047
L0_ch40:48,C_Tbl_correct,particle0_best_lepton,128,12,0.09375,38,0.09895833333333333,16.20702936774806
L0_ch40:48,C_Tbl_correct,hard_hadron,128,10,0.078125,47,0.12239583333333333,18.64940462721155
L0_ch40:48,C_Tbl_correct,hardest_hadron,128,6,0.046875,26,0.06770833333333333,17.63183623093825
L0_ch40:48,C_Tbl_correct,second_lepton,128,3,0.0234375,19,0.049479166666666664,17.164211222999974
L0_ch40:48,C_Tbl_correct,best_lepton,128,3,0.0234375,8,0.020833333333333332,19.615618228912354
L0_ch40:48,C_Tbl_correct,particle0,128,0,0.0,9,0.0234375,16.27295419904921
L0_ch40:48,C_Tbl_correct,other_lepton,128,0,0.0,2,0.005208333333333333,15.603164196014404
L0_ch40:48,C_Tbl_correct,nearest_hadron_to_best_lepton,128,0,0.0,1,0.0026041666666666665,15.799413681030273
L0_ch48:56,A_protected_highiso,hadron_neighbor,32,19,0.59375,49,0.5104166666666666,16.624156484798508
L0_ch48:56,A_protected_highiso,photon_neighbor,32,11,0.34375,44,0.4583333333333333,17.090175910429522
L0_ch48:56,A_protected_highiso,nearest_hadron_to_best_lepton,32,1,0.03125,1,0.010416666666666666,21.21710205078125
L0_ch48:56,A_protected_highiso,other_lepton,32,1,0.03125,1,0.010416666666666666,18.614002227783203
L0_ch48:56,A_protected_highiso,hard_hadron,32,0,0.0,1,0.010416666666666666,22.788244247436523
L0_ch48:56,B_confused_highiso,photon_neighbor,11,6,0.5454545454545454,17,0.5151515151515151,17.324374928193933
L0_ch48:56,B_confused_highiso,hadron_neighbor,11,5,0.45454545454545453,14,0.42424242424242425,17.85781260899135
L0_ch48:56,B_confused_highiso,hard_hadron,11,0,0.0,1,0.030303030303030304,15.424516677856445
L0_ch48:56,B_confused_highiso,particle0_best_lepton,11,0,0.0,1,0.030303030303030304,15.930346488952637
L0_ch48:56,C_Tbl_correct,photon_neighbor,128,60,0.46875,190,0.4947916666666667,18.878788431067214
L0_ch48:56,C_Tbl_correct,hadron_neighbor,128,53,0.4140625,136,0.3541666666666667,19.450560394455405
L0_ch48:56,C_Tbl_correct,best_lepton,128,4,0.03125,7,0.018229166666666668,18.69010898045131
L0_ch48:56,C_Tbl_correct,hard_hadron,128,3,0.0234375,16,0.041666666666666664,18.21856790781021
L0_ch48:56,C_Tbl_correct,particle0_best_lepton,128,2,0.015625,12,0.03125,15.295481443405151
L0_ch48:56,C_Tbl_correct,nearest_hadron_to_best_lepton,128,2,0.015625,11,0.028645833333333332,17.93739058754661
L0_ch48:56,C_Tbl_correct,second_lepton,128,2,0.015625,5,0.013020833333333334,16.79427261352539
L0_ch48:56,C_Tbl_correct,particle0,128,1,0.0078125,2,0.005208333333333333,16.726062774658203
L0_ch48:56,C_Tbl_correct,other_lepton,128,1,0.0078125,1,0.0026041666666666665,15.421399116516113
L0_ch48:56,C_Tbl_correct,hardest_hadron,128,0,0.0,4,0.010416666666666666,15.264292478561401
L0_ch56:64,A_protected_highiso,photon_neighbor,32,16,0.5,52,0.5416666666666666,22.57868418326745
L0_ch56:64,A_protected_highiso,hadron_neighbor,32,11,0.34375,26,0.2708333333333333,19.74067790691669
L0_ch56:64,A_protected_highiso,hard_hadron,32,4,0.125,14,0.14583333333333334,19.251264027186803
L0_ch56:64,A_protected_highiso,hardest_hadron,32,1,0.03125,1,0.010416666666666666,16.1881046295166
L0_ch56:64,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,2,0.020833333333333332,19.73457431793213
L0_ch56:64,A_protected_highiso,second_lepton,32,0,0.0,1,0.010416666666666666,19.98988914489746
L0_ch56:64,B_confused_highiso,photon_neighbor,11,8,0.7272727272727273,20,0.6060606060606061,23.2906907081604
L0_ch56:64,B_confused_highiso,hadron_neighbor,11,2,0.18181818181818182,6,0.18181818181818182,19.88519827524821
L0_ch56:64,B_confused_highiso,hard_hadron,11,1,0.09090909090909091,6,0.18181818181818182,18.735597610473633
L0_ch56:64,B_confused_highiso,nearest_hadron_to_best_lepton,11,0,0.0,1,0.030303030303030304,20.494155883789062
L0_ch56:64,C_Tbl_correct,photon_neighbor,128,66,0.515625,212,0.5520833333333334,21.59574677359383
L0_ch56:64,C_Tbl_correct,hadron_neighbor,128,29,0.2265625,89,0.23177083333333334,19.525872091229044
L0_ch56:64,C_Tbl_correct,hard_hadron,128,17,0.1328125,39,0.1015625,19.43787354689378
L0_ch56:64,C_Tbl_correct,nearest_hadron_to_best_lepton,128,11,0.0859375,28,0.07291666666666667,19.617561851228988
L0_ch56:64,C_Tbl_correct,hardest_hadron,128,3,0.0234375,4,0.010416666666666666,20.213793754577637
L0_ch56:64,C_Tbl_correct,particle0,128,1,0.0078125,5,0.013020833333333334,17.288150787353516
L0_ch56:64,C_Tbl_correct,other_lepton,128,1,0.0078125,3,0.0078125,18.53201421101888
L0_ch56:64,C_Tbl_correct,particle0_best_lepton,128,0,0.0,2,0.005208333333333333,15.089681148529053
L0_ch56:64,C_Tbl_correct,second_lepton,128,0,0.0,2,0.005208333333333333,18.270211219787598
L0_ch8:16,A_protected_highiso,hadron_neighbor,32,13,0.40625,39,0.40625,18.76425867814284
L0_ch8:16,A_protected_highiso,photon_neighbor,32,12,0.375,39,0.40625,16.6426877730932
L0_ch8:16,A_protected_highiso,particle0_best_lepton,32,5,0.15625,13,0.13541666666666666,14.028139187739445
L0_ch8:16,A_protected_highiso,second_lepton,32,1,0.03125,3,0.03125,19.181835174560547
L0_ch8:16,A_protected_highiso,other_lepton,32,1,0.03125,1,0.010416666666666666,26.066749572753906
L0_ch8:16,A_protected_highiso,best_lepton,32,0,0.0,1,0.010416666666666666,12.852882385253906
L0_ch8:16,B_confused_highiso,photon_neighbor,11,5,0.45454545454545453,20,0.6060606060606061,18.450188398361206
L0_ch8:16,B_confused_highiso,hadron_neighbor,11,3,0.2727272727272727,7,0.21212121212121213,23.087939262390137
L0_ch8:16,B_confused_highiso,particle0_best_lepton,11,1,0.09090909090909091,3,0.09090909090909091,14.00981362660726
L0_ch8:16,B_confused_highiso,second_lepton,11,1,0.09090909090909091,2,0.06060606060606061,20.098859786987305
L0_ch8:16,B_confused_highiso,other_lepton,11,1,0.09090909090909091,1,0.030303030303030304,23.038501739501953
L0_ch8:16,C_Tbl_correct,hadron_neighbor,128,53,0.4140625,128,0.3333333333333333,19.307551570236683
L0_ch8:16,C_Tbl_correct,photon_neighbor,128,47,0.3671875,156,0.40625,16.578754785733345
L0_ch8:16,C_Tbl_correct,particle0_best_lepton,128,16,0.125,59,0.15364583333333334,14.498730578665006
L0_ch8:16,C_Tbl_correct,other_lepton,128,5,0.0390625,8,0.020833333333333332,22.064101696014404
L0_ch8:16,C_Tbl_correct,second_lepton,128,4,0.03125,19,0.049479166666666664,16.465811980398076
L0_ch8:16,C_Tbl_correct,best_lepton,128,3,0.0234375,8,0.020833333333333332,14.242221474647522
L0_ch8:16,C_Tbl_correct,hardest_hadron,128,0,0.0,3,0.0078125,9.951896031697592
L0_ch8:16,C_Tbl_correct,nearest_hadron_to_best_lepton,128,0,0.0,3,0.0078125,15.193972905476889
L1_ch0:16,A_protected_highiso,photon_neighbor,32,26,0.8125,71,0.7395833333333334,27.47770175127916
L1_ch0:16,A_protected_highiso,hadron_neighbor,32,5,0.15625,20,0.20833333333333334,26.859265995025634
L1_ch0:16,A_protected_highiso,hardest_hadron,32,1,0.03125,1,0.010416666666666666,32.11874771118164
L1_ch0:16,A_protected_highiso,hard_hadron,32,0,0.0,2,0.020833333333333332,34.72637367248535
L1_ch0:16,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,1,0.010416666666666666,25.39447593688965
L1_ch0:16,A_protected_highiso,particle0_best_lepton,32,0,0.0,1,0.010416666666666666,19.964326858520508
L1_ch0:16,B_confused_highiso,photon_neighbor,11,6,0.5454545454545454,21,0.6363636363636364,27.00508553641183
L1_ch0:16,B_confused_highiso,hadron_neighbor,11,2,0.18181818181818182,6,0.18181818181818182,26.224846522013348
