class_id,class_label,n,model_acc,surrogate_acc,surrogate_agreement_with_model,logit_r2_class,residual_norm_mean
0,label_QCD,85,0.6588235294117647,0.43529411764705883,0.5529411764705883,0.6921998041305871,8.260123520250197
1,label_Hbb,70,0.6571428571428571,0.2714285714285714,0.34285714285714286,0.5239034424643145,9.026749182494655
2,label_Hcc,69,0.6811594202898551,0.43478260869565216,0.4927536231884058,0.5424294315930667,7.939236339269451
3,label_Hgg,83,0.6626506024096386,0.6265060240963856,0.5301204819277109,0.6940282366829218,6.004362273003916
4,label_H4q,84,0.7857142857142857,0.011904761904761904,0.09523809523809523,0.5320700709030934,7.02155519858487
5,label_Hqql,67,0.9850746268656716,0.40298507462686567,0.40298507462686567,0.3018847239922827,12.710730107429784
6,label_Zqq,77,0.5844155844155844,0.4155844155844156,0.37662337662337664,0.5522574873489736,6.798175136517477
7,label_Wqq,69,0.7971014492753623,0.11594202898550725,0.21739130434782608,0.5164955877362064,6.792403982874856
8,label_Tbqq,80,0.9125,0.475,0.4625,0.6849177510643525,8.539367712664532
9,label_Tbl,84,0.9880952380952381,0.5833333333333334,0.5952380952380952,0.6356810393875398,15.08180429414867
