head_id,layer,channels,source_file,source_lines,source_module,module_path,module_type,input_shape,output_shape,channel_slice,code_operation,semantic_pseudocode,alignment_confidence,remaining_gap
L0_ch40:48,0,40:48,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 40:48, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch40:48
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch0:8,0,0:8,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 0:8, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch0:8
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch48:56,0,48:56,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 48:56, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch48:56
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch16:24,0,16:24,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 16:24, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch16:24
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch24:32,0,24:32,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 24:32, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch24:32
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch8:16,0,8:16,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 8:16, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch8:16
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch56:64,0,56:64,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 56:64, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch56:64
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L0_ch32:40,0,32:40,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.0,EdgeConvBlock,"[[160, 2, 128], [160, 13, 128]]","[160, 64, 128]","output[:, 32:40, :]",EdgeConvBlock 0 output: local particle-edge feature map,"# L0_ch32:40
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L1_ch16:32,1,16:32,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.1,EdgeConvBlock,"[[160, 64, 128], [160, 64, 128]]","[160, 128, 128]","output[:, 16:32, :]",EdgeConvBlock 1 output: neighborhood/context relay map,"# L1_ch16:32
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
L1_ch32:48,1,32:48,/home/maxwelhelp/main/lib/python3.12/site-packages/weaver/nn/model/ParticleNet.py,,weaver.nn.model.ParticleNet,edge_convs.1,EdgeConvBlock,"[[160, 64, 128], [160, 64, 128]]","[160, 128, 128]","output[:, 32:48, :]",EdgeConvBlock 1 output: neighborhood/context relay map,"# L1_ch32:48
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')",HIGH_FOR_LAYER_OUTPUT,Need inner EdgeConv trace for knn/graph_feature/conv/aggregation substeps
