component,layer,head,target_token_id,target_token,patch_type,causal_logit_contribution,logit_rel,loss_delta_ablate,top1_match
mlp,0,-1,576,ĠThe,zero_mlp,17.8828125,1.1214687824249268,8.61373519897461,0.0
mlp,23,-1,576,ĠThe,zero_mlp,6.96875,0.5380465388298035,0.9695549011230469,0.800000011920929
mlp,2,-1,576,ĠThe,zero_mlp,4.875,0.9360265731811523,5.9665374755859375,0.10000000149011612
mlp,1,-1,576,ĠThe,zero_mlp,3.8125,0.5062581300735474,0.11233973503112793,0.4000000059604645
mlp,9,-1,576,ĠThe,zero_mlp,3.265625,0.2448156177997589,0.017959117889404297,0.699999988079071
mlp,4,-1,576,ĠThe,zero_mlp,3.15625,0.34675899147987366,0.06892013549804688,0.699999988079071
head,23,1,576,ĠThe,ablate,3.109375,0.2136906087398529,0.4102358818054199,0.800000011920929
mlp,5,-1,576,ĠThe,zero_mlp,2.6875,0.4308302104473114,-0.39330124855041504,0.699999988079071
mlp,3,-1,576,ĠThe,zero_mlp,2.21875,0.6306995153427124,1.6440706253051758,0.5
mlp,13,-1,576,ĠThe,zero_mlp,1.96875,0.23083274066448212,-0.14734625816345215,0.699999988079071
mlp,21,-1,576,ĠThe,zero_mlp,1.5625,0.4839041233062744,1.6492562294006348,0.699999988079071
mlp,7,-1,576,ĠThe,zero_mlp,1.484375,0.3039814531803131,0.15003705024719238,0.699999988079071
mlp,18,-1,576,ĠThe,zero_mlp,1.21875,0.2824770212173462,0.22996950149536133,0.8999999761581421
mlp,19,-1,576,ĠThe,zero_mlp,1.09375,0.3420616090297699,0.23240351676940918,0.699999988079071
mlp,6,-1,576,ĠThe,zero_mlp,0.984375,0.33051756024360657,0.13695430755615234,0.800000011920929
mlp,14,-1,576,ĠThe,zero_mlp,-0.765625,0.23079751431941986,0.038015127182006836,0.800000011920929
mlp,11,-1,576,ĠThe,zero_mlp,0.65625,0.19083894789218903,-0.3022596836090088,0.699999988079071
mlp,10,-1,576,ĠThe,zero_mlp,0.59375,0.20988944172859192,-0.07735180854797363,0.8999999761581421
mlp,17,-1,576,ĠThe,zero_mlp,-0.53125,0.27221763134002686,-0.08698511123657227,0.800000011920929
mlp,20,-1,576,ĠThe,zero_mlp,0.515625,0.36220934987068176,-0.09955358505249023,0.800000011920929
mlp,12,-1,576,ĠThe,zero_mlp,0.5,0.20712333917617798,0.14119338989257812,0.800000011920929
mlp,15,-1,576,ĠThe,zero_mlp,0.453125,0.2713582217693329,0.26827549934387207,0.800000011920929
head,4,8,576,ĠThe,ablate,-0.375,0.05108766630291939,-0.0030088424682617188,0.8999999761581421
head,23,4,576,ĠThe,ablate,0.3125,0.08698667585849762,-0.12020754814147949,1.0
head,14,1,576,ĠThe,ablate,0.265625,0.08283770829439163,0.0794072151184082,1.0
head,15,6,576,ĠThe,ablate,-0.140625,0.03301830589771271,-0.01822209358215332,1.0
mlp,16,-1,576,ĠThe,zero_mlp,-0.0625,0.3310120105743408,0.3894357681274414,0.8999999761581421
head,21,9,576,ĠThe,ablate,0.03125,0.10195954144001007,-0.004753589630126953,1.0
mlp,22,-1,576,ĠThe,zero_mlp,0.03125,0.40332549810409546,0.33883070945739746,0.6000000238418579
head,23,8,576,ĠThe,ablate,0.015625,0.06082849204540253,0.009824275970458984,0.8999999761581421
head,3,6,576,ĠThe,ablate,0.015625,0.01749412529170513,-0.009131193161010742,1.0
head,4,2,576,ĠThe,ablate,0.015625,0.06294037401676178,-0.08698773384094238,0.8999999761581421
head,16,1,576,ĠThe,ablate,0.015625,0.004174661822617054,0.006032228469848633,1.0
head,11,11,576,ĠThe,ablate,0.0,0.011387866921722889,0.0009481906890869141,0.8999999761581421
mlp,8,-1,576,ĠThe,zero_mlp,0.0,0.24486558139324188,-0.39067602157592773,0.800000011920929
