event_idx,group,particle_role,pid,particle_idx,head_id,layer,class_label,particle_to_head_weight,head_to_class_weight,flow_weight
12308,A_protected_highiso,photon_neighbor,photon,38,L0_ch0:8,L0,label_Hqql,16.49371337890625,1.284830927848816,21.191633064292546
12308,A_protected_highiso,photon_neighbor,photon,38,L0_ch0:8,L0,label_Tbl,16.49371337890625,1.3263417482376099,21.87630063790857
12308,A_protected_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Hqql,15.236495971679688,1.284830927848816,19.57632125645796
12308,A_protected_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Tbl,15.236495971679688,1.3263417482376099,20.208800704092937
12308,A_protected_highiso,hard_hadron,charged_hadron,9,L0_ch0:8,L0,label_Hqql,13.895849227905273,1.284830927848816,17.853816856736785
12308,A_protected_highiso,hard_hadron,charged_hadron,9,L0_ch0:8,L0,label_Tbl,13.895849227905273,1.3263417482376099,18.43064495818612
12358,A_protected_highiso,photon_neighbor,photon,38,L0_ch0:8,L0,label_Hqql,14.174642562866211,0.7141427993774414,10.122718920019906
12358,A_protected_highiso,photon_neighbor,photon,38,L0_ch0:8,L0,label_Tbl,14.174642562866211,1.4521204233169556,20.583287958755818
12358,A_protected_highiso,photon_neighbor,photon,41,L0_ch0:8,L0,label_Hqql,13.498506546020508,0.7141427993774414,9.639861252189803
12358,A_protected_highiso,photon_neighbor,photon,41,L0_ch0:8,L0,label_Tbl,13.498506546020508,1.4521204233169556,19.601457039753996
12358,A_protected_highiso,photon_neighbor,photon,42,L0_ch0:8,L0,label_Hqql,13.438632011413574,0.7141427993774414,9.597102284434186
12358,A_protected_highiso,photon_neighbor,photon,42,L0_ch0:8,L0,label_Tbl,13.438632011413574,1.4521204233169556,19.51451200521467
12438,A_protected_highiso,photon_neighbor,photon,36,L0_ch0:8,L0,label_Hqql,17.26824188232422,0.715848445892334,12.361444114754704
12438,A_protected_highiso,photon_neighbor,photon,36,L0_ch0:8,L0,label_Tbl,17.26824188232422,2.768285036087036,47.80341560236957
12438,A_protected_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Hqql,17.1461238861084,0.715848445892334,12.274026136948123
12438,A_protected_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Tbl,17.1461238861084,2.768285036087036,47.46535818080838
12438,A_protected_highiso,photon_neighbor,photon,40,L0_ch0:8,L0,label_Hqql,17.064470291137695,0.715848445892334,12.215574537886823
12438,A_protected_highiso,photon_neighbor,photon,40,L0_ch0:8,L0,label_Tbl,17.064470291137695,2.768285036087036,47.23931775570827
12442,A_protected_highiso,hadron_neighbor,charged_hadron,47,L0_ch0:8,L0,label_Hqql,15.031051635742188,1.9142303466796875,28.77289518364705
12442,A_protected_highiso,hadron_neighbor,charged_hadron,47,L0_ch0:8,L0,label_Tbl,15.031051635742188,-1.226365327835083,-18.43356056697303
12442,A_protected_highiso,photon_neighbor,photon,68,L0_ch0:8,L0,label_Hqql,14.915614128112793,1.9142303466796875,28.551921203397796
