particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
hardest_hadron,L1_ch0:16,label_Hqql,1,25.552279967107097,1,182.22833637130043,5,-72.37161634003897,156.67605640419333,254.5999527113394,0.0,0.0,39889.71655150677,anomalous_third_topology_candidate
particle0_best_lepton,L1_ch16:32,label_Hqql,7,131.7303983915226,0,0.0,4,269.5061409481941,-131.7303983915226,-269.5061409481941,0.0,131.7303983915226,35502.15131606746,source_evidence_loss_candidate
hardest_hadron,L1_ch0:16,label_Tbl,1,32.17465279523503,1,190.3981934314288,5,-22.861084755099636,158.22354063619377,213.25927818652843,0.7384676265848733,0.0,33742.63806819153,anomalous_third_topology_candidate
particle0,L1_ch0:16,label_Hqql,0,0.0,1,147.78041437723732,3,-49.858646080042185,147.78041437723732,197.6390604572795,0.0,0.0,29207.182251504622,anomalous_third_topology_candidate
particle0,L1_ch0:16,label_Tbl,0,0.0,1,154.40586509357672,3,-5.966536313148633,154.40586509357672,160.37240140672534,0.9568294438676037,0.0,24762.439376339767,anomalous_third_topology_candidate
hard_hadron,L1_ch0:16,label_Hqql,2,-13.428083389853782,2,89.17808438119278,11,-47.483278755743186,102.60616777104656,136.66136313693596,0.0,0.0,14022.298753848369,anomalous_third_topology_candidate
hard_hadron,L1_ch0:16,label_Tbl,2,-17.171202189770383,2,96.69856733774395,11,-6.811971395177476,113.86976952751434,103.51053873292143,1.0895529858334247,0.0,11786.72118918661,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L1_ch80:96,label_Tbl,1,74.01603662317939,0,0.0,11,109.97311908706565,-74.01603662317939,-109.97311908706565,0.6669726617768487,0.0,8139.77440991352,anomalous_third_topology_candidate
other_lepton,L1_ch80:96,label_Tbl,1,80.8756658245884,0,0.0,4,97.7790846884177,-80.8756658245884,-97.7790846884177,0.8187529382327982,0.0,7907.948577894597,anomalous_third_topology_candidate
hardest_hadron,L1_ch112:128,label_Hqql,4,84.75337784167664,0,0.0,23,86.64028391808147,-84.75337784167664,-86.64028391808147,0.0,84.75337784167664,7343.056719219298,source_evidence_loss_candidate
photon_neighbor,L1_ch80:96,label_Hqql,43,68.10212487387147,11,119.26775955823194,158,-19.542212138987136,51.16563468436047,138.80997169721908,0.0,0.0,7102.300302406328,anomalous_third_topology_candidate
hardest_hadron,L1_ch96:112,label_Hqql,0,0.0,1,90.77920928163849,17,25.60555158305214,90.77920928163849,65.17365769858634,0.0,0.0,5916.413111869839,anomalous_third_topology_candidate
hard_hadron,L1_ch16:32,label_Hqql,6,198.50340877664576,4,154.8635830791069,38,288.9772475621495,-43.63982569753887,-134.1136644830426,0.0,43.63982569753887,5852.696941698188,source_evidence_loss_candidate
particle0,L1_ch64:80,label_Hqql,0,0.0,1,-76.00724332396021,0,0.0,-76.00724332396021,-76.00724332396021,0.0,76.00724332396021,5777.101037707694,source_evidence_loss_candidate
