bundle,kind,n_rules,runs,helpful_runs,flip_runs,mean_B_delta_margin,mean_B_delta_tbl_pred,mean_A_delta_margin,mean_C_delta_margin
head_output_zero_mod.blocks.7.attn_h3,head_output_zero,2,6,6,6,-0.04570347350090742,-0.02734375,-0.048594409599900246,0.003079955466091633
head_output_zero_mod.blocks.5.attn_h6,head_output_zero,1,6,6,6,-0.01277761347591877,-0.0234375,0.06509820185601711,-0.1339796967804432
head_output_zero_mod.blocks.6.attn_h4,head_output_zero,6,6,6,6,-0.010326040908694267,-0.01171875,0.0649018120020628,-0.11932079587131739
route_bundle_A_top8_gate_weighted,route_bundle,8,6,0,6,0.019599442059795063,-0.01171875,0.04779069870710373,0.008300314346949259
head_output_zero_mod.blocks.6.attn_h0,head_output_zero,4,6,0,6,0.021581074222922325,-0.01171875,0.08224877156317234,-0.05954498704522848
head_output_zero_mod.blocks.7.attn_h4,head_output_zero,4,6,6,0,-0.025761854834854603,0.0,0.1620349120348692,-0.0685608210042119
route_bundle_blocks7_head4_B,route_bundle,2,6,3,0,-0.0007172860205173492,0.0,0.00045390985906124115,-0.006035417939225833
route_bundle_blocks6_head4_mixed,route_bundle,6,6,0,0,0.018945174602170784,0.0,0.04693610593676567,-0.0016815525790055592
route_bundle_B_top8_gate_weighted,route_bundle,8,6,3,0,0.0032494496554136276,0.0,0.002142005910476049,-0.01597280117372672
route_bundle_anomaly_top8_gate_weighted,route_bundle,8,6,0,0,0.002075597643852234,0.0,0.005415867393215497,-0.0029081453879674277
route_bundle_blocks6_head0_B,route_bundle,4,6,0,0,0.0023059832553068795,0.0,0.0010536983609199524,-0.0029629049822688103
