block_id,block_name,call_index,module_type,captured_output_shape,replayed_output_shape,block_output_rel,accepted,fail_reason
0,mod.embed.input_bn,0,BatchNorm1d,64x13x128,64x13x128,8.157250874774036e-08,True,
1,mod.embed.embed.0,0,LayerNorm,128x64x13,128x64x13,9.530184996719981e-08,True,
2,mod.embed.embed.1,0,Linear,128x64x128,128x64x128,6.742672553627926e-08,True,
3,mod.embed.embed.2,0,GELU,128x64x128,128x64x128,7.558780623639905e-08,True,
4,mod.embed.embed.3,0,LayerNorm,128x64x128,128x64x128,9.511251164440182e-08,True,
5,mod.embed.embed.4,0,Linear,128x64x512,128x64x512,7.366649867890374e-08,True,
6,mod.embed.embed.5,0,GELU,128x64x512,128x64x512,9.158947378296034e-09,True,
7,mod.embed.embed.6,0,LayerNorm,128x64x512,128x64x512,8.716590826907122e-08,True,
8,mod.embed.embed.7,0,Linear,128x64x128,128x64x128,3.279586167082016e-07,True,
9,mod.embed.embed.8,0,GELU,128x64x128,128x64x128,4.201985870366798e-09,True,
10,mod.embed.embed,0,Sequential,128x64x128,128x64x128,3.510063493195048e-07,True,
11,mod.embed,0,Embed,128x64x128,128x64x128,3.749319432699849e-07,True,
12,mod.pair_embed.embed.0,0,BatchNorm1d,64x4x8256,64x4x8256,7.466510254516834e-08,True,
13,mod.pair_embed.embed.1,0,Conv1d,64x64x8256,64x64x8256,5.387324009120675e-08,True,
14,mod.pair_embed.embed.2,0,BatchNorm1d,64x64x8256,64x64x8256,7.732171525276499e-08,True,
15,mod.pair_embed.embed.3,0,GELU,64x64x8256,64x64x8256,1.0282919760129516e-07,True,
16,mod.pair_embed.embed.4,0,Conv1d,64x64x8256,64x64x8256,7.463109596983486e-08,True,
17,mod.pair_embed.embed.5,0,BatchNorm1d,64x64x8256,64x64x8256,1.0029791042143188e-07,True,
18,mod.pair_embed.embed.6,0,GELU,64x64x8256,64x64x8256,1.0148028906087347e-07,True,
19,mod.pair_embed.embed.7,0,Conv1d,64x64x8256,64x64x8256,8.150498587156108e-08,True,
20,mod.pair_embed.embed.8,0,BatchNorm1d,64x64x8256,64x64x8256,8.09991931305376e-08,True,
21,mod.pair_embed.embed.9,0,GELU,64x64x8256,64x64x8256,9.354583596632438e-08,True,
22,mod.pair_embed.embed.10,0,Conv1d,64x8x8256,64x8x8256,7.737036611388248e-08,True,
23,mod.pair_embed.embed.11,0,BatchNorm1d,64x8x8256,64x8x8256,5.735212127433442e-08,True,
24,mod.pair_embed.embed.12,0,GELU,64x8x8256,64x8x8256,1.867908316910416e-08,True,
25,mod.pair_embed.embed,0,Sequential,64x8x8256,64x8x8256,1.9147871910263348e-07,True,
26,mod.pair_embed,0,PairEmbed,64x8x128x128,64x8x128x128,4.5370143197942525e-07,True,
27,mod.blocks.0.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,7.507761523584122e-08,True,
28,mod.blocks.0.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,2.710812054829148e-07,True,
29,mod.blocks.0.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.816268604050492e-08,True,
30,mod.blocks.0.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
31,mod.blocks.0.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.628781245079153e-08,True,
32,mod.blocks.0.fc1,0,Linear,128x64x512,128x64x512,9.283179736030434e-08,True,
33,mod.blocks.0.act,0,GELU,128x64x512,128x64x512,4.254907182144052e-08,True,
34,mod.blocks.0.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
35,mod.blocks.0.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.969090004029567e-08,True,
36,mod.blocks.0.fc2,0,Linear,128x64x128,128x64x128,3.825871033313888e-07,True,
37,mod.blocks.0,0,Block,128x64x128,128x64x128,2.3526767733983434e-07,True,
38,mod.blocks.1.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.502789228259644e-08,True,
39,mod.blocks.1.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.5048736890530563e-07,True,
40,mod.blocks.1.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.523162620122093e-08,True,
41,mod.blocks.1.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
42,mod.blocks.1.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.407554474842982e-08,True,
43,mod.blocks.1.fc1,0,Linear,128x64x512,128x64x512,1.0820276230560921e-07,True,
44,mod.blocks.1.act,0,GELU,128x64x512,128x64x512,7.498194065647112e-08,True,
45,mod.blocks.1.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
46,mod.blocks.1.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.818732766258108e-08,True,
47,mod.blocks.1.fc2,0,Linear,128x64x128,128x64x128,3.8233878285609535e-07,True,
48,mod.blocks.1,0,Block,128x64x128,128x64x128,1.837257741499343e-07,True,
49,mod.blocks.2.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.60849738160141e-08,True,
50,mod.blocks.2.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.6516033219413657e-07,True,
51,mod.blocks.2.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.59706972278218e-08,True,
52,mod.blocks.2.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
53,mod.blocks.2.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.55908837138486e-08,True,
54,mod.blocks.2.fc1,0,Linear,128x64x512,128x64x512,1.0798544280987699e-07,True,
55,mod.blocks.2.act,0,GELU,128x64x512,128x64x512,7.847585692388748e-08,True,
56,mod.blocks.2.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
57,mod.blocks.2.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.918044613892562e-08,True,
58,mod.blocks.2.fc2,0,Linear,128x64x128,128x64x128,3.872399076954025e-07,True,
59,mod.blocks.2,0,Block,128x64x128,128x64x128,1.2300442620016838e-07,True,
60,mod.blocks.3.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.60975433170097e-08,True,
61,mod.blocks.3.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.865927169499628e-07,True,
62,mod.blocks.3.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.54980584108489e-08,True,
63,mod.blocks.3.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
64,mod.blocks.3.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.665845996347343e-08,True,
65,mod.blocks.3.fc1,0,Linear,128x64x512,128x64x512,1.1157399626426923e-07,True,
66,mod.blocks.3.act,0,GELU,128x64x512,128x64x512,8.642511772904982e-08,True,
67,mod.blocks.3.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
68,mod.blocks.3.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.817478658329492e-08,True,
69,mod.blocks.3.fc2,0,Linear,128x64x128,128x64x128,3.777196013743378e-07,True,
70,mod.blocks.3,0,Block,128x64x128,128x64x128,1.3201363913140085e-07,True,
71,mod.blocks.4.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.836801868028488e-08,True,
72,mod.blocks.4.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.691537244776555e-07,True,
73,mod.blocks.4.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.432292730731206e-08,True,
74,mod.blocks.4.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
75,mod.blocks.4.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.723721833803211e-08,True,
76,mod.blocks.4.fc1,0,Linear,128x64x512,128x64x512,1.0904991398774655e-07,True,
77,mod.blocks.4.act,0,GELU,128x64x512,128x64x512,9.689443913885043e-08,True,
78,mod.blocks.4.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
79,mod.blocks.4.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,9.014279100938438e-08,True,
80,mod.blocks.4.fc2,0,Linear,128x64x128,128x64x128,3.945969524465909e-07,True,
81,mod.blocks.4,0,Block,128x64x128,128x64x128,1.1584210568571507e-07,True,
82,mod.blocks.5.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,9.178184967595371e-08,True,
83,mod.blocks.5.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.645518802386505e-07,True,
84,mod.blocks.5.post_attn_norm,0,LayerNorm,128x64x128,128x64x128,8.316922617268574e-08,True,
85,mod.blocks.5.dropout,0,Dropout,128x64x128,128x64x128,0.0,True,
86,mod.blocks.5.pre_fc_norm,0,LayerNorm,128x64x128,128x64x128,8.64598277416917e-08,True,
87,mod.blocks.5.fc1,0,Linear,128x64x512,128x64x512,1.0636467351332612e-07,True,
88,mod.blocks.5.act,0,GELU,128x64x512,128x64x512,1.0989769805291871e-07,True,
89,mod.blocks.5.act_dropout,0,Dropout,128x64x512,128x64x512,0.0,True,
90,mod.blocks.5.post_fc_norm,0,LayerNorm,128x64x512,128x64x512,8.554606978350421e-08,True,
91,mod.blocks.5.fc2,0,Linear,128x64x128,128x64x128,3.908592702828173e-07,True,
92,mod.blocks.5,0,Block,128x64x128,128x64x128,1.0323257271238617e-07,True,
93,mod.blocks.6.pre_attn_norm,0,LayerNorm,128x64x128,128x64x128,9.041357884598256e-08,True,
94,mod.blocks.6.attn,0,MultiheadAttention,"[128x64x128,64x128x128]",128x64x128,3.6294903793532285e-07,True,
