module_name,call_index,module_type,captured_input_shape,captured_output_shape,replay_output_shape,replay_rel_err,accepted,fail_reason,mha_rel_err,pair_bias_norm,attn_mask_source,attn_mask_dtype,key_padding_mask_source,key_padding_mask_dtype,normalized_attn_mask_kind,attention_probs_shape
mod.trimmer,0,SequenceTrimmer,"[32x13x128,32x4x128,32x1x128,None]","[32x13x128,32x4x128,32x1x128,None]","[32x13x128,32x4x128,32x1x128,None]",0.0,True,,,,,,,,,
mod.embed.input_bn,0,BatchNorm1d,[32x13x128],32x13x128,32x13x128,8.021805086855238e-08,True,,,,,,,,,
mod.embed.embed.0,0,LayerNorm,[128x32x13],128x32x13,128x32x13,9.524549682282668e-08,True,,,,,,,,,
mod.embed.embed.1,0,Linear,[128x32x13],128x32x128,128x32x128,6.775041327955478e-08,True,,,,,,,,,
mod.embed.embed.2,0,GELU,[128x32x128],128x32x128,128x32x128,7.594253759179992e-08,True,,,,,,,,,
mod.embed.embed.3,0,LayerNorm,[128x32x128],128x32x128,128x32x128,9.412112689233254e-08,True,,,,,,,,,
mod.embed.embed.4,0,Linear,[128x32x128],128x32x512,128x32x512,7.377865784974347e-08,True,,,,,,,,,
mod.embed.embed.5,0,GELU,[128x32x512],128x32x512,128x32x512,9.165122882848209e-09,True,,,,,,,,,
mod.embed.embed.6,0,LayerNorm,[128x32x512],128x32x512,128x32x512,8.743747059725138e-08,True,,,,,,,,,
mod.embed.embed.7,0,Linear,[128x32x512],128x32x128,128x32x128,3.29602585225075e-07,True,,,,,,,,,
mod.embed.embed.8,0,GELU,[128x32x128],128x32x128,128x32x128,4.221917482283288e-09,True,,,,,,,,,
mod.embed.embed,0,Sequential,[128x32x13],128x32x128,128x32x128,3.503270420424087e-07,True,,,,,,,,,
mod.embed,0,Embed,[32x13x128],128x32x128,128x32x128,3.7713894585067465e-07,True,,,,,,,,,
mod.pair_embed.embed.0,0,BatchNorm1d,[32x4x8256],32x4x8256,32x4x8256,7.45809316526902e-08,True,,,,,,,,,
mod.pair_embed.embed.1,0,Conv1d,[32x4x8256],32x64x8256,32x64x8256,5.382263168485224e-08,True,,,,,,,,,
mod.pair_embed.embed.2,0,BatchNorm1d,[32x64x8256],32x64x8256,32x64x8256,7.754162112405538e-08,True,,,,,,,,,
mod.pair_embed.embed.3,0,GELU,[32x64x8256],32x64x8256,32x64x8256,1.0191943289328265e-07,True,,,,,,,,,
