step_id,source_location,operation_kind,module_name,input_names,output_name,input_shape,output_shape,replay_status,reason_if_not_replayed,source_text
0,external/particle_transformer/networks/example_ParticleTransformer_legacy.py:24,input,,,,,,SOURCE_ONLY,static source trace row,"def forward(self, points, features, lorentz_vectors, mask):"
1,external/particle_transformer/networks/example_ParticleTransformer_legacy.py:25,input,,,,,,SOURCE_ONLY,static source trace row,"return self.mod(features, v=lorentz_vectors, mask=mask)"
2,runtime_forward_capture,SequenceTrimmer,mod.trimmer,,mod.trimmer,"[8x13x128,8x4x128,8x1x128,None]","[8x13x128,8x4x128,8x1x128,None]",CAPTURED,,
3,runtime_forward_capture,BatchNorm1d,mod.embed.input_bn,,mod.embed.input_bn,[8x13x128],8x13x128,CAPTURED,,
4,runtime_forward_capture,LayerNorm,mod.embed.embed.0,,mod.embed.embed.0,[128x8x13],128x8x13,CAPTURED,,
5,runtime_forward_capture,Linear,mod.embed.embed.1,,mod.embed.embed.1,[128x8x13],128x8x128,CAPTURED,,
6,runtime_forward_capture,GELU,mod.embed.embed.2,,mod.embed.embed.2,[128x8x128],128x8x128,CAPTURED,,
7,runtime_forward_capture,LayerNorm,mod.embed.embed.3,,mod.embed.embed.3,[128x8x128],128x8x128,CAPTURED,,
8,runtime_forward_capture,Linear,mod.embed.embed.4,,mod.embed.embed.4,[128x8x128],128x8x512,CAPTURED,,
9,runtime_forward_capture,GELU,mod.embed.embed.5,,mod.embed.embed.5,[128x8x512],128x8x512,CAPTURED,,
10,runtime_forward_capture,LayerNorm,mod.embed.embed.6,,mod.embed.embed.6,[128x8x512],128x8x512,CAPTURED,,
11,runtime_forward_capture,Linear,mod.embed.embed.7,,mod.embed.embed.7,[128x8x512],128x8x128,CAPTURED,,
12,runtime_forward_capture,GELU,mod.embed.embed.8,,mod.embed.embed.8,[128x8x128],128x8x128,CAPTURED,,
13,runtime_forward_capture,Sequential,mod.embed.embed,,mod.embed.embed,[128x8x13],128x8x128,CAPTURED,,
14,runtime_forward_capture,Embed,mod.embed,,mod.embed,[8x13x128],128x8x128,CAPTURED,,
15,runtime_forward_capture,BatchNorm1d,mod.pair_embed.embed.0,,mod.pair_embed.embed.0,[8x4x8256],8x4x8256,CAPTURED,,
16,runtime_forward_capture,Conv1d,mod.pair_embed.embed.1,,mod.pair_embed.embed.1,[8x4x8256],8x64x8256,CAPTURED,,
17,runtime_forward_capture,BatchNorm1d,mod.pair_embed.embed.2,,mod.pair_embed.embed.2,[8x64x8256],8x64x8256,CAPTURED,,
