record_id,role_guess,read_flow,write_flow,primitive_slot_flow,primitive_family_flow,primitive_origin_flow,slot_transition_flow,primitive_transition_flow,slot_composition_flow,target_kind,primitive_count
mod.embed.embed.1.LinearW,linear_projection,module_input,module_output,,,,OMP_selection_order,,,linear,0
mod.embed.embed.4.LinearW,linear_projection,module_input,module_output,,,,OMP_selection_order,,,linear,0
mod.embed.embed.7.LinearW,linear_projection,module_input,module_output,,,,OMP_selection_order,,,linear,0
mod.pair_embed.embed.1.Conv1dW,unknown,module_input,module_output,,,,OMP_selection_order,,,conv1d,0
mod.pair_embed.embed.4.Conv1dW,unknown,module_input,module_output,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MeanProject -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> MinedResidualBlockMean16 -> ShiftLeft8 -> PrefixMean -> ShiftLeft2 -> DiffBackward,low_rank -> low_rank -> low_rank -> low_rank -> global -> block_mined -> toeplitz -> block_mined -> shift -> prefix -> shift -> difference,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MeanProject -> MeanProject->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->MinedResidualBlockMean16 -> MinedResidualBlockMean16->ShiftLeft8 -> ShiftLeft8->PrefixMean -> PrefixMean->ShiftLeft2 -> ShiftLeft2->DiffBackward,+15.71*MinedResidualSVD0 + +14.4*MinedResidualSVD1 + +11.4*MinedResidualSVD2 + +10.6*MinedResidualSVD3 + -5.021*MeanProject + +4.215*MinedResidualBlockMean4 + +2.663*MinedResidualToeplitzAvg + -1.171*MinedResidualBlockMean16 + +0.7135*ShiftLeft8 + +0.7673*PrefixMean + -0.606*ShiftLeft2 + +0.487*DiffBackward,conv1d,12
mod.pair_embed.embed.7.Conv1dW,unknown,module_input,module_output,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> MeanProject -> PrefixMean -> GraphDiffusion2 -> ShiftLeft8 -> Reverse -> RampDiag,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> global -> prefix -> graph -> shift -> permutation -> diagonal,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->MeanProject -> MeanProject->PrefixMean -> PrefixMean->GraphDiffusion2 -> GraphDiffusion2->ShiftLeft8 -> ShiftLeft8->Reverse -> Reverse->RampDiag,+13.02*MinedResidualSVD0 + +10.89*MinedResidualSVD1 + +10.28*MinedResidualSVD2 + +9.404*MinedResidualSVD3 + +5.36*MinedResidualBlockMean4 + +2.652*MinedResidualToeplitzAvg + -1.738*MeanProject + -1.279*PrefixMean + +0.8032*GraphDiffusion2 + +0.5623*ShiftLeft8 + -0.4343*Reverse + -0.4546*RampDiag,conv1d,12
mod.pair_embed.embed.10.Conv1dW,unknown,module_input,module_output,,,,OMP_selection_order,,,conv1d,0
mod.blocks.0.attn.h0.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> DistanceDecay4 -> DiffBackward -> RampDiag -> PrefixMean -> Reverse -> ShiftRight8,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> decay -> difference -> diagonal -> prefix -> permutation -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->DistanceDecay4 -> DistanceDecay4->DiffBackward -> DiffBackward->RampDiag -> RampDiag->PrefixMean -> PrefixMean->Reverse -> Reverse->ShiftRight8,+7.577*MinedResidualSVD0 + +6.8*MinedResidualSVD1 + +6.248*MinedResidualSVD2 + +5.125*MinedResidualSVD3 + +1.253*MinedResidualBlockMean4 + +0.4124*MinedResidualToeplitzAvg + +0.3401*DistanceDecay4 + +0.1998*DiffBackward + -0.1768*RampDiag + -0.1691*PrefixMean + -0.1011*Reverse + -0.1014*ShiftRight8,attention_qk,12
mod.blocks.0.attn.h0.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> Laplacian1D -> MinedResidualBlockMean8 -> MinedResidualBlockMean16 -> RampDiag -> ShiftLeft2 -> ShiftRight2,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> difference -> block_mined -> block_mined -> diagonal -> shift -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> mined_from_target -> mined_from_target -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->Laplacian1D -> Laplacian1D->MinedResidualBlockMean8 -> MinedResidualBlockMean8->MinedResidualBlockMean16 -> MinedResidualBlockMean16->RampDiag -> RampDiag->ShiftLeft2 -> ShiftLeft2->ShiftRight2,+81.19*MinedResidualSVD0 + +72.73*MinedResidualSVD1 + +63.65*MinedResidualSVD2 + +58.68*MinedResidualSVD3 + +14.44*MinedResidualBlockMean4 + +7.117*MinedResidualToeplitzAvg + +1.585*Laplacian1D + +2.266*MinedResidualBlockMean8 + -1.741*MinedResidualBlockMean16 + -0.8644*RampDiag + -0.6585*ShiftLeft2 + +0.6581*ShiftRight2,attention_vo,12
mod.blocks.0.attn.h1.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> Reverse -> Laplacian1D -> MeanProject -> BlockAvg64 -> PrefixMean -> MinedResidualBlockMean32,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> permutation -> difference -> global -> block -> prefix -> block_mined,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base -> mined_from_target,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->Reverse -> Reverse->Laplacian1D -> Laplacian1D->MeanProject -> MeanProject->BlockAvg64 -> BlockAvg64->PrefixMean -> PrefixMean->MinedResidualBlockMean32,+3.446*MinedResidualSVD0 + +2.568*MinedResidualSVD1 + +2.149*MinedResidualSVD2 + +1.886*MinedResidualSVD3 + +0.3266*MinedResidualBlockMean4 + +0.1457*MinedResidualToeplitzAvg + -0.04892*Reverse + +0.04842*Laplacian1D + -0.1294*MeanProject + +0.08679*BlockAvg64 + +0.05142*PrefixMean + -0.0378*MinedResidualBlockMean32,attention_qk,12
