layer_id,module_prefix,modules_count,params_count,attention_modules,attention_heads,linear_modules,embedding_modules,norm_modules,activation_modules,matrices_decoded,exact_accepted,primitive_strong,primitive_partial,primitive_weak,target_mined_used,shared_primitives_used,uncovered_parameters
0,<root>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,mod,1,128,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,mod.blocks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,mod.blocks.0,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
4,mod.blocks.1,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
5,mod.blocks.2,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
6,mod.blocks.3,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
7,mod.blocks.4,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
8,mod.blocks.5,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
9,mod.blocks.6,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
10,mod.blocks.7,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
11,mod.cls_blocks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,mod.cls_blocks.0,12,199688,1,8,2,0,4,1,46,46,3,5,12,16,0,0
13,mod.cls_blocks.1,12,199688,1,8,2,0,4,1,46,46,0,0,20,16,0,0
14,mod.embed,3,26,0,0,0,0,1,0,1,1,0,0,0,0,0,0
15,mod.embed.embed.0,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,0
16,mod.embed.embed.1,1,1792,0,0,1,0,0,0,2,2,2,0,0,0,0,0
17,mod.embed.embed.2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
18,mod.embed.embed.3,1,256,0,0,0,0,1,0,1,1,0,0,0,0,0,0
19,mod.embed.embed.4,1,66048,0,0,1,0,0,0,2,2,0,0,2,0,0,0
20,mod.embed.embed.5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
21,mod.embed.embed.6,1,1024,0,0,0,0,1,0,1,1,0,0,0,0,0,0
22,mod.embed.embed.7,1,65664,0,0,1,0,0,0,2,2,0,0,2,0,0,0
23,mod.embed.embed.8,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
24,mod.fc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,mod.fc.0,1,1290,0,0,1,0,0,0,2,2,2,0,0,0,0,0
26,mod.norm,1,256,0,0,0,0,1,0,1,1,0,0,0,0,0,0
27,mod.pair_embed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,mod.pair_embed.embed.0,1,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0
29,mod.pair_embed.embed.1,1,320,0,0,0,0,0,0,2,2,2,0,0,0,0,0
30,mod.pair_embed.embed.10,1,520,0,0,0,0,0,0,2,2,2,0,0,0,0,0
31,mod.pair_embed.embed.11,1,16,0,0,0,0,1,0,1,1,0,0,0,0,0,0
32,mod.pair_embed.embed.12,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
33,mod.pair_embed.embed.2,1,128,0,0,0,0,1,0,1,1,0,0,0,0,0,0
34,mod.pair_embed.embed.3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
35,mod.pair_embed.embed.4,1,4160,0,0,0,0,0,0,2,2,0,0,2,2,0,0
36,mod.pair_embed.embed.5,1,128,0,0,0,0,1,0,1,1,0,0,0,0,0,0
37,mod.pair_embed.embed.6,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
38,mod.pair_embed.embed.7,1,4160,0,0,0,0,0,0,2,2,0,0,2,2,0,0
39,mod.pair_embed.embed.8,1,128,0,0,0,0,1,0,1,1,0,0,0,0,0,0
40,mod.pair_embed.embed.9,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
41,mod.trimmer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
