module_name,module_type,input_shape,output_shape,params_count,decoder_kind,reconstruction_error,accepted_exact,fail_reason,tensor_path,primitive_fit_rel_err,primitive_fit_kind,uses_target_mined_atoms,uses_shared_mined_atoms,interpretation_trusted,honesty_note,extra_json
<root>,ParticleTransformerWrapper,,,0,STRUCTURAL_NOT_EXPLICITLY_TRACED,,False,container_or_python_forward_not_replayed,,,NEEDS_GRAPH_REPLAY,False,False,False,"Children may be decoded, but container-level residual/add/reshape/pooling/control flow was not replayed.","{""children_count"": 1}"
mod,ParticleTransformer,,,128,STRUCTURAL_NOT_EXPLICITLY_TRACED,0.0,False,direct_parameters_covered_but_container_graph_not_replayed,,,,False,False,False,Direct parameters are covered as exact constants; Python/container forward graph is still Stage 2.,{}
mod.trimmer,SequenceTrimmer,"[8x13x128,8x4x128,8x1x128,None]","[8x13x128,8x4x128,8x1x128,None]",0,STRUCTURAL_EXACT,,True,,,,STRUCTURAL_LEAF,False,False,True,Stateless structural leaf; containers are not covered by this label.,"{""structural_type"": ""SequenceTrimmer""}"
mod.embed,Embed,,,0,STRUCTURAL_NOT_EXPLICITLY_TRACED,,False,container_or_python_forward_not_replayed,,,NEEDS_GRAPH_REPLAY,False,False,False,"Children may be decoded, but container-level residual/add/reshape/pooling/control flow was not replayed.","{""children_count"": 2}"
mod.embed.input_bn,BatchNorm1d,[8x13x128],8x13x128,26,EXACT_DYNAMIC_OPERATOR,7.624907993886154e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_input_bn_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.embed.embed,Sequential,,,0,STRUCTURAL_NOT_EXPLICITLY_TRACED,,False,container_or_python_forward_not_replayed,,,NEEDS_GRAPH_REPLAY,False,False,False,"Children may be decoded, but container-level residual/add/reshape/pooling/control flow was not replayed.","{""children_count"": 9}"
mod.embed.embed.0,LayerNorm,[128x8x13],128x8x13,26,EXACT_DYNAMIC_OPERATOR,9.083674967769184e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_0_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.1,Linear,[128x8x13],128x8x128,1792,EXACT_CONSTANT_MATRIX,6.659028173316983e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,0.10291833430528641,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.10291833430528641, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [10.561466217041016, 9.52822208404541, 8.729522705078125, 8.427630424499512, 6.93887996673584, 6.275947093963623, 6.067927837371826, 5.823875904083252, 5.01933479309082, 3.852959632873535, 3.7120091915130615, 3.2318224906921387, 2.474799633026123]}, ""W_shape"": [128, 13], ""W_aug_shape"": [128, 14]}"
mod.embed.embed.2,GELU,[128x8x128],128x8x128,0,EXACT_ELEMENTWISE_FORMULA,7.503888355131494e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_2_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.5732933878898621, ""dynamic_ratio_std"": 0.36568135023117065}"
mod.embed.embed.3,LayerNorm,[128x8x128],128x8x128,256,EXACT_DYNAMIC_OPERATOR,9.708047343792714e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_3_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.4,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,7.357026987619975e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,0.5217824578285217,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.5217824578285217, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [31.872041702270508, 29.80423927307129, 27.74774742126465, 26.28135108947754, 23.710996627807617, 22.345502853393555, 21.608631134033203, 21.100387573242188, 20.48282814025879, 18.30121612548828, 17.629680633544922, 16.68429946899414, 16.007389068603516, 14.284167289733887, 13.676260948181152, 12.183629989624023]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
mod.embed.embed.5,GELU,[128x8x512],128x8x512,0,EXACT_ELEMENTWISE_FORMULA,9.15928310973868e-09,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_5_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.4293766915798187, ""dynamic_ratio_std"": 0.4705846607685089}"
mod.embed.embed.6,LayerNorm,[128x8x512],128x8x512,1024,EXACT_DYNAMIC_OPERATOR,8.34058297982665e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_6_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.7,Linear,[128x8x512],128x8x128,65664,EXACT_CONSTANT_MATRIX,6.811891495317468e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_7.pt,0.6829969882965088,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.6829969882965088, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [25.618213653564453, 22.350799560546875, 21.205549240112305, 20.641225814819336, 19.5504207611084, 18.503150939941406, 18.381732940673828, 17.770950317382812, 17.251052856445312, 16.932573318481445, 16.0467586517334, 14.79616641998291, 14.758074760437012, 14.19400691986084, 14.137242317199707, 13.863916397094727]}, ""W_shape"": [128, 512], ""W_aug_shape"": [128, 513]}"
mod.embed.embed.8,GELU,[128x8x128],128x8x128,0,EXACT_ELEMENTWISE_FORMULA,4.116841090251455e-09,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_8_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.251472145318985, ""dynamic_ratio_std"": 0.4242142140865326}"
mod.pair_embed,PairEmbed,,,0,STRUCTURAL_NOT_EXPLICITLY_TRACED,,False,container_or_python_forward_not_replayed,,,NEEDS_GRAPH_REPLAY,False,False,False,"Children may be decoded, but container-level residual/add/reshape/pooling/control flow was not replayed.","{""children_count"": 1}"
mod.pair_embed.embed,Sequential,,,0,STRUCTURAL_NOT_EXPLICITLY_TRACED,,False,container_or_python_forward_not_replayed,,,NEEDS_GRAPH_REPLAY,False,False,False,"Children may be decoded, but container-level residual/add/reshape/pooling/control flow was not replayed.","{""children_count"": 13}"
mod.pair_embed.embed.0,BatchNorm1d,[8x4x8256],8x4x8256,8,EXACT_DYNAMIC_OPERATOR,7.530393020260817e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_0_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.pair_embed.embed.1,Conv1d,[8x4x8256],8x64x8256,320,EXACT_CONSTANT_CONVOLUTION,4.178942347721204e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_1.pt,3.431755146721116e-07,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"Exact Conv1d replay. Primitive fit only for 1x1 conv matrix W[:,:,0]; larger kernels are exact conv operators, not simple channel matrices.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 4, ""rec_err"": 3.431755146721116e-07, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [7.9509100914001465, 7.152336120605469, 5.973557949066162, 4.600281238555908]}, ""W_shape"": [64, 4, 1], ""matrix_for_fit_shape"": [64, 4], ""stride"": [1], ""padding"": [0], ""dilation"": [1], ""groups"": 1, ""padding_mode"": ""zeros"", ""replay_dtype"": ""cpu_float32""}"
mod.pair_embed.embed.2,BatchNorm1d,[8x64x8256],8x64x8256,128,EXACT_DYNAMIC_OPERATOR,7.781939359574608e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_2_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.pair_embed.embed.3,GELU,[8x64x8256],8x64x8256,0,EXACT_ELEMENTWISE_FORMULA,1.0307697095868207e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_3_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.3912064731121063, ""dynamic_ratio_std"": 0.29207584261894226}"
mod.pair_embed.embed.4,Conv1d,[8x64x8256],8x64x8256,4160,EXACT_CONSTANT_CONVOLUTION,6.320010470517445e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_4.pt,0.6378163695335388,SPARSE_OMP_BASE_PLUS_TARGET_MINED,True,False,False,"Exact Conv1d replay. Primitive fit only for 1x1 conv matrix W[:,:,0]; larger kernels are exact conv operators, not simple channel matrices.","{""fit"": {""enabled"": true, ""fit_kind"": ""SPARSE_OMP_BASE_PLUS_TARGET_MINED"", ""rec_err"": 0.6378163695335388, ""functional_err"": 0.633920431137085, ""selected_terms"": [{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 15.710084915161133}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 14.402017593383789}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 11.399333953857422}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 10.600675582885742}, {""name"": ""MeanProject"", ""family"": ""global"", ""origin"": ""base"", ""coef"": -5.020535945892334}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 4.215424060821533}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 2.663001298904419}, {""name"": ""MinedResidualBlockMean16"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": -1.1711252927780151}, {""name"": ""ShiftLeft8"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": 0.7135318517684937}, {""name"": ""PrefixMean"", ""family"": ""prefix"", ""origin"": ""base"", ""coef"": 0.7672948241233826}, {""name"": ""ShiftLeft2"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": -0.6059566140174866}, {""name"": ""DiffBackward"", ""family"": ""difference"", ""origin"": ""base"", ""coef"": 0.486988365650177}], ""uses_target_mined_atoms"": true, ""residual_after_base"": {""tensor_shape"": [64, 64], ""tensor_norm"": 36.37879943847656}, ""base_rec_err"": 0.990066409111023, ""mined_rec_err"": 0.6378163695335388, ""formula"": ""+15.71*MinedResidualSVD0 + +14.4*MinedResidualSVD1 + +11.4*MinedResidualSVD2 + +10.6*MinedResidualSVD3 + -5.021*MeanProject + +4.215*MinedResidualBlockMean4 + +2.663*MinedResidualToeplitzAvg + -1.171*MinedResidualBlockMean16 + +0.7135*ShiftLeft8 + +0.7673*PrefixMean + -0.606*ShiftLeft2 + +0.487*DiffBackward"", ""honesty_note"": ""Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.""}, ""W_shape"": [64, 64, 1], ""matrix_for_fit_shape"": [64, 64], ""stride"": [1], ""padding"": [0], ""dilation"": [1], ""groups"": 1, ""padding_mode"": ""zeros"", ""replay_dtype"": ""cpu_float32""}"
mod.pair_embed.embed.5,BatchNorm1d,[8x64x8256],8x64x8256,128,EXACT_DYNAMIC_OPERATOR,9.996895045105703e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_5_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
