param_name,module_name,module_type,param_shape,shape,param_numel,requires_grad,param_kind,covered_by_decoder,decoder_row_id,decoder_kind,exact_target_kind,exact_reconstruction_error,primitive_fit_kind,primitive_fit_rel_err,uses_target_mined_atoms,uses_shared_mined_atoms,interpretation_trusted,tensor_path,fail_reason
mod.cls_token,mod,ParticleTransformer,1x1x128,1x1x128,128,True,learned_cls_token,True,mod.cls_token,EXACT_CONSTANT_PARAMETER,learned_class_token_constant,0.0,CONSTANT_PARAMETER,,False,False,True,,
mod.embed.input_bn.weight,mod.embed.input_bn,BatchNorm1d,13,13,13,True,norm_affine,True,mod.embed.input_bn.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,7.624907993886154e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_input_bn_batchnorm.pt,
mod.embed.input_bn.bias,mod.embed.input_bn,BatchNorm1d,13,13,13,True,norm_affine,True,mod.embed.input_bn.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,7.624907993886154e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_input_bn_batchnorm.pt,
mod.embed.embed.0.weight,mod.embed.embed.0,LayerNorm,13,13,13,True,norm_affine,True,mod.embed.embed.0.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,9.083674967769184e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_0_layernorm.pt,
mod.embed.embed.0.bias,mod.embed.embed.0,LayerNorm,13,13,13,True,norm_affine,True,mod.embed.embed.0.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,9.083674967769184e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_0_layernorm.pt,
mod.embed.embed.1.weight,mod.embed.embed.1,Linear,128x13,128x13,1664,True,linear_weight,True,mod.embed.embed.1.Linear,EXACT_CONSTANT_MATRIX,linear_W_aug,6.659028173316983e-08,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.10291833430528641,False,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,
mod.embed.embed.1.bias,mod.embed.embed.1,Linear,128,128,128,True,linear_bias,True,mod.embed.embed.1.Linear,EXACT_CONSTANT_MATRIX,linear_W_aug,6.659028173316983e-08,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.10291833430528641,False,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,
mod.embed.embed.3.weight,mod.embed.embed.3,LayerNorm,128,128,128,True,norm_affine,True,mod.embed.embed.3.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,9.708047343792714e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_3_layernorm.pt,
mod.embed.embed.3.bias,mod.embed.embed.3,LayerNorm,128,128,128,True,norm_affine,True,mod.embed.embed.3.NormDynamic,EXACT_DYNAMIC_OPERATOR,norm_dynamic_affine,9.708047343792714e-08,NOT_CONSTANT_MATRIX,,False,False,True,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_3_layernorm.pt,
mod.embed.embed.4.weight,mod.embed.embed.4,Linear,512x128,512x128,65536,True,linear_weight,True,mod.embed.embed.4.Linear,EXACT_CONSTANT_MATRIX,linear_W_aug,7.357026987619975e-08,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.5217824578285217,False,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,
mod.embed.embed.4.bias,mod.embed.embed.4,Linear,512,512,512,True,linear_bias,True,mod.embed.embed.4.Linear,EXACT_CONSTANT_MATRIX,linear_W_aug,7.357026987619975e-08,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.5217824578285217,False,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,
