record_id,module_name,target_kind,matrix_shape,fit_kind,rec_err,functional_err,primitive_fit_quality,uses_target_mined_atoms,uses_shared_mined_atoms,selected_terms,formula,honesty_note,tensor_path
mod.embed.embed.1.LinearW,mod.embed.embed.1,linear,128x13,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.10291833430528641,nan,STRONG_INTERPRETATION,False,False,[],,"SVD is compression/pattern fit, not human primitive interpretation.",artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt
mod.embed.embed.4.LinearW,mod.embed.embed.4,linear,512x128,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.5217824578285217,nan,PRIMITIVE_EXPLANATION_WEAK,False,False,[],,"SVD is compression/pattern fit, not human primitive interpretation.",artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt
mod.embed.embed.7.LinearW,mod.embed.embed.7,linear,128x512,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.6829969882965088,nan,PRIMITIVE_EXPLANATION_WEAK,False,False,[],,"SVD is compression/pattern fit, not human primitive interpretation.",artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_7.pt
mod.pair_embed.embed.1.Conv1dW,mod.pair_embed.embed.1,conv1d,64x4,APPROX_PATTERN_FIT_RECTANGULAR_SVD,3.431755146721116e-07,nan,STRONG_INTERPRETATION,False,False,[],,"SVD is compression/pattern fit, not human primitive interpretation.",artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_1.pt
mod.pair_embed.embed.4.Conv1dW,mod.pair_embed.embed.4,conv1d,64x64,SPARSE_OMP_BASE_PLUS_TARGET_MINED,0.6378163695335388,0.633920431137085,PRIMITIVE_EXPLANATION_WEAK,True,False,"[{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 15.710084915161133}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 14.402017593383789}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 11.399333953857422}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 10.600675582885742}, {""name"": ""MeanProject"", ""family"": ""global"", ""origin"": ""base"", ""coef"": -5.020535945892334}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 4.215424060821533}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 2.663001298904419}, {""name"": ""MinedResidualBlockMean16"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": -1.1711252927780151}, {""name"": ""ShiftLeft8"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": 0.7135318517684937}, {""name"": ""PrefixMean"", ""family"": ""prefix"", ""origin"": ""base"", ""coef"": 0.7672948241233826}, {""name"": ""ShiftLeft2"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": -0.6059566140174866}, {""name"": ""DiffBackward"", ""family"": ""difference"", ""origin"": ""base"", ""coef"": 0.486988365650177}]",+15.71*MinedResidualSVD0 + +14.4*MinedResidualSVD1 + +11.4*MinedResidualSVD2 + +10.6*MinedResidualSVD3 + -5.021*MeanProject + +4.215*MinedResidualBlockMean4 + +2.663*MinedResidualToeplitzAvg + -1.171*MinedResidualBlockMean16 + +0.7135*ShiftLeft8 + +0.7673*PrefixMean + -0.606*ShiftLeft2 + +0.487*DiffBackward,Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_4.pt
mod.pair_embed.embed.7.Conv1dW,mod.pair_embed.embed.7,conv1d,64x64,SPARSE_OMP_BASE_PLUS_TARGET_MINED,0.7366929054260254,0.7239699959754944,PRIMITIVE_EXPLANATION_WEAK,True,False,"[{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 13.018577575683594}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 10.888672828674316}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 10.280031204223633}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 9.403664588928223}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 5.35977840423584}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 2.6524534225463867}, {""name"": ""MeanProject"", ""family"": ""global"", ""origin"": ""base"", ""coef"": -1.7377498149871826}, {""name"": ""PrefixMean"", ""family"": ""prefix"", ""origin"": ""base"", ""coef"": -1.2786729335784912}, {""name"": ""GraphDiffusion2"", ""family"": ""graph"", ""origin"": ""base"", ""coef"": 0.8031623363494873}, {""name"": ""ShiftLeft8"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": 0.5623003840446472}, {""name"": ""Reverse"", ""family"": ""permutation"", ""origin"": ""base"", ""coef"": -0.4343412518501282}, {""name"": ""RampDiag"", ""family"": ""diagonal"", ""origin"": ""base"", ""coef"": -0.4545547366142273}]",+13.02*MinedResidualSVD0 + +10.89*MinedResidualSVD1 + +10.28*MinedResidualSVD2 + +9.404*MinedResidualSVD3 + +5.36*MinedResidualBlockMean4 + +2.652*MinedResidualToeplitzAvg + -1.738*MeanProject + -1.279*PrefixMean + +0.8032*GraphDiffusion2 + +0.5623*ShiftLeft8 + -0.4343*Reverse + -0.4546*RampDiag,Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_7.pt
mod.pair_embed.embed.10.Conv1dW,mod.pair_embed.embed.10,conv1d,8x64,APPROX_PATTERN_FIT_RECTANGULAR_SVD,6.305492661340395e-07,nan,STRONG_INTERPRETATION,False,False,[],,"SVD is compression/pattern fit, not human primitive interpretation.",artifacts/latest/part_full_model_matrix_coverage_v1_4_6/conv1d/mod_pair_embed_embed_10.pt
mod.blocks.0.attn.h0.attention_qk,mod.blocks.0.attn,attention_qk,128x128,SPARSE_OMP_BASE_PLUS_TARGET_MINED,0.5316261649131775,0.5353283286094666,PRIMITIVE_EXPLANATION_WEAK,True,False,"[{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 7.576952934265137}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 6.8003363609313965}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 6.248312473297119}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 5.12501335144043}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 1.2534271478652954}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 0.4123777449131012}, {""name"": ""DistanceDecay4"", ""family"": ""decay"", ""origin"": ""base"", ""coef"": 0.34013888239860535}, {""name"": ""DiffBackward"", ""family"": ""difference"", ""origin"": ""base"", ""coef"": 0.19976624846458435}, {""name"": ""RampDiag"", ""family"": ""diagonal"", ""origin"": ""base"", ""coef"": -0.17681409418582916}, {""name"": ""PrefixMean"", ""family"": ""prefix"", ""origin"": ""base"", ""coef"": -0.16909275949001312}, {""name"": ""Reverse"", ""family"": ""permutation"", ""origin"": ""base"", ""coef"": -0.1011476218700409}, {""name"": ""ShiftRight8"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": -0.10140088200569153}]",+7.577*MinedResidualSVD0 + +6.8*MinedResidualSVD1 + +6.248*MinedResidualSVD2 + +5.125*MinedResidualSVD3 + +1.253*MinedResidualBlockMean4 + +0.4124*MinedResidualToeplitzAvg + +0.3401*DistanceDecay4 + +0.1998*DiffBackward + -0.1768*RampDiag + -0.1691*PrefixMean + -0.1011*Reverse + -0.1014*ShiftRight8,Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/attention/mod_blocks_0_attn_h0.pt
mod.blocks.0.attn.h0.attention_vo,mod.blocks.0.attn,attention_vo,128x128,SPARSE_OMP_BASE_PLUS_TARGET_MINED,0.5950967669487,0.6222190856933594,PRIMITIVE_EXPLANATION_WEAK,True,False,"[{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 81.19461822509766}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 72.73196411132812}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 63.64517593383789}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 58.683799743652344}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 14.442126274108887}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 7.1169328689575195}, {""name"": ""Laplacian1D"", ""family"": ""difference"", ""origin"": ""base"", ""coef"": 1.5845105648040771}, {""name"": ""MinedResidualBlockMean8"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 2.2663962841033936}, {""name"": ""MinedResidualBlockMean16"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": -1.7407793998718262}, {""name"": ""RampDiag"", ""family"": ""diagonal"", ""origin"": ""base"", ""coef"": -0.8643515706062317}, {""name"": ""ShiftLeft2"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": -0.658460259437561}, {""name"": ""ShiftRight2"", ""family"": ""shift"", ""origin"": ""base"", ""coef"": 0.6580891013145447}]",+81.19*MinedResidualSVD0 + +72.73*MinedResidualSVD1 + +63.65*MinedResidualSVD2 + +58.68*MinedResidualSVD3 + +14.44*MinedResidualBlockMean4 + +7.117*MinedResidualToeplitzAvg + +1.585*Laplacian1D + +2.266*MinedResidualBlockMean8 + -1.741*MinedResidualBlockMean16 + -0.8644*RampDiag + -0.6585*ShiftLeft2 + +0.6581*ShiftRight2,Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/attention/mod_blocks_0_attn_h0.pt
mod.blocks.0.attn.h1.attention_qk,mod.blocks.0.attn,attention_qk,128x128,SPARSE_OMP_BASE_PLUS_TARGET_MINED,0.4492568075656891,0.44670817255973816,PRIMITIVE_EXPLANATION_WEAK,True,False,"[{""name"": ""MinedResidualSVD0"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 3.446063280105591}, {""name"": ""MinedResidualSVD1"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 2.56827712059021}, {""name"": ""MinedResidualSVD2"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 2.1493794918060303}, {""name"": ""MinedResidualSVD3"", ""family"": ""low_rank"", ""origin"": ""mined_from_target"", ""coef"": 1.8856744766235352}, {""name"": ""MinedResidualBlockMean4"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": 0.3265877962112427}, {""name"": ""MinedResidualToeplitzAvg"", ""family"": ""toeplitz"", ""origin"": ""mined_from_target"", ""coef"": 0.1457463949918747}, {""name"": ""Reverse"", ""family"": ""permutation"", ""origin"": ""base"", ""coef"": -0.048922713845968246}, {""name"": ""Laplacian1D"", ""family"": ""difference"", ""origin"": ""base"", ""coef"": 0.048416104167699814}, {""name"": ""MeanProject"", ""family"": ""global"", ""origin"": ""base"", ""coef"": -0.12941628694534302}, {""name"": ""BlockAvg64"", ""family"": ""block"", ""origin"": ""base"", ""coef"": 0.08678928762674332}, {""name"": ""PrefixMean"", ""family"": ""prefix"", ""origin"": ""base"", ""coef"": 0.05142095685005188}, {""name"": ""MinedResidualBlockMean32"", ""family"": ""block_mined"", ""origin"": ""mined_from_target"", ""coef"": -0.03779742494225502}]",+3.446*MinedResidualSVD0 + +2.568*MinedResidualSVD1 + +2.149*MinedResidualSVD2 + +1.886*MinedResidualSVD3 + +0.3266*MinedResidualBlockMean4 + +0.1457*MinedResidualToeplitzAvg + -0.04892*Reverse + +0.04842*Laplacian1D + -0.1294*MeanProject + +0.08679*BlockAvg64 + +0.05142*PrefixMean + -0.0378*MinedResidualBlockMean32,Target-mined atoms are target-specific. Not shared physics unless shared/heldout gate accepts.,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/attention/mod_blocks_0_attn_h1.pt
