rank,tag,src_label,tgt_label,nodes,edges,discovery_candidates,validation_rows,best_head,best_pair,best_diag,best_B_delta,best_B_flip,best_score
1,rank001_Zqq_to_Wqq,label_Zqq,label_Wqq,132,204,2064,16,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-0.1499946489930153,0.0,0.09804458916187286
2,rank002_Wqq_to_Zqq,label_Wqq,label_Zqq,124,208,2048,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-charged_hadron,B_Tbl_push_read_write,-0.719895601272583,0.0,0.5616069035604596
3,rank003_Hcc_to_Hbb,label_Hcc,label_Hbb,126,210,2160,16,mod.cls_blocks.0.attn.h4,electron<-electron,B_Tbl_resist_or_protective_read_write,-0.4486321322619915,0.0,0.29078536853194237
4,rank004_Hbb_to_Hcc,label_Hbb,label_Hcc,132,203,2160,16,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Tbl_push_read_write,7.450580596923828e-08,0.0,-4.0978193283081055e-08
5,rank005_Hgg_to_H4q,label_Hgg,label_H4q,133,203,1840,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,weak_or_distributed,-0.11461062729358673,0.0,0.028203124180436134
6,rank006_Hbb_to_Hgg,label_Hbb,label_Hgg,124,203,2144,16,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Tbl_resist_or_protective_read_write,4.470348358154297e-08,0.0,-9.685754776000977e-08
7,rank007_Hcc_to_Hgg,label_Hcc,label_Hgg,131,207,2064,16,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,B_Tbl_resist_or_protective_read_write,-0.9907349310815334,0.0,0.7395841404795647
8,rank008_H4q_to_Hgg,label_H4q,label_Hgg,125,205,1840,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,weak_or_distributed,-0.3684707907959819,0.0,0.2332379398867488
9,rank009_Hcc_to_H4q,label_Hcc,label_H4q,134,203,2048,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-0.051673613488674164,0.0,0.012313101440668106
10,rank010_Hgg_to_Hbb,label_Hgg,label_Hbb,127,204,2112,16,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,weak_or_distributed,0.36153628677129745,0.0,0.19673806615173817
11,rank011_Hgg_to_Hcc,label_Hgg,label_Hcc,128,203,2048,16,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Tbl_push_read_write,-4.544854164123535e-07,0.0,3.501772880554199e-07
12,rank012_Hcc_to_Zqq,label_Hcc,label_Zqq,132,203,2128,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-0.6378272697329521,0.0,0.2942990316078067
13,rank013_Hbb_to_Zqq,label_Hbb,label_Zqq,126,205,2144,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-2.565229047089815,0.0,2.2373398155905306
14,rank014_Tbl_to_Hqql,label_Tbl,label_Hqql,132,207,2176,16,mod.cls_blocks.0.attn.h4,CLS<-muon,B_Tbl_push_read_write,-0.818552739918232,-0.3125,1.1331340745091438
15,rank015_Hqql_to_Tbl,label_Hqql,label_Tbl,126,201,2176,16,mod.cls_blocks.0.attn.h4,muon<-muon,B_Tbl_resist_or_protective_read_write,-1.407922014594078,-0.375,1.0319630950689316
16,rank016_H4q_to_Hcc,label_H4q,label_Hcc,131,204,2032,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_resist_or_protective_read_write,0.33844538033008575,0.0,0.2990849148482084
17,rank017_Zqq_to_Hbb,label_Zqq,label_Hbb,127,208,2128,16,mod.cls_blocks.0.attn.h4,photon<-neutral_hadron,B_Tbl_push_read_write,0.5397052988409996,0.0,0.38372257351875305
18,rank018_Zqq_to_Hcc,label_Zqq,label_Hcc,129,207,2112,16,mod.cls_blocks.0.attn.h4,photon<-neutral_hadron,B_Tbl_push_read_write,0.7533208690583706,0.0,0.6880465392023325
19,rank019_Hbb_to_H4q,label_Hbb,label_H4q,134,203,2144,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-0.5687845721840858,0.0,0.4866674318909645
20,rank020_Tbqq_to_H4q,label_Tbqq,label_H4q,128,206,2064,16,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Tbl_push_read_write,-0.6066548973321915,0.0,0.48825258761644363
