objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,0.564439881592989,0.7295826263725758,14.573028445243835,0.1767766922712326
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,0.564439881592989,0.7295826263725758,14.573028445243835,0.1767766922712326
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,0.5464045451954007,0.7580059636384249,5.536451935768127,0.23431745171546936
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,0.5464045451954007,0.7580059636384249,5.536451935768127,0.23431745171546936
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,0.5061146377120167,0.7921242974698544,5.33925062417984,0.23431745171546936
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,0.5061146377120167,0.7921242974698544,5.33925062417984,0.23431745171546936
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,0.48807934299111366,0.8662469424307346,12.669180512428284,0.1767766922712326
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,0.48807934299111366,0.8662469424307346,12.669180512428284,0.1767766922712326
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.19062587432563305,0.6119533460587263,12.728796660900116,0.1767766922712326
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.19062587432563305,0.6119533460587263,12.728796660900116,0.1767766922712326
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.16086891200393438,0.7358871307224035,12.817458629608154,0.1767766922712326
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.16086891200393438,0.7358871307224035,12.817458629608154,0.1767766922712326
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.16086887195706367,0.7358871214091778,12.817458629608154,0.1767766922712326
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.16086887195706367,0.7358871214091778,12.817458629608154,0.1767766922712326
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.1789042556192726,0.470416909083724,4.497281804680824,0.23431745171546936
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.1789042556192726,0.470416909083724,4.497281804680824,0.23431745171546936
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.17890421650372446,0.47041689045727253,4.497281864285469,0.23431745171546936
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.17890421650372446,0.47041689045727253,4.497281864285469,0.23431745171546936
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.17259055492468178,0.4742404203861952,4.197077572345734,0.23431745171546936
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.17259055492468178,0.4742404203861952,4.197077572345734,0.23431745171546936
