objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,1.1288797948509455,1.4591651782393456,14.573028445243835,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,1.1288797948509455,1.4591651782393456,14.573028445243835,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,1.0928091630339622,1.516012016683817,5.536452054977417,0.4686349034309387
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,1.0928091630339622,1.516012016683817,5.536452054977417,0.4686349034309387
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,1.0122293424792588,1.5842486470937729,5.339250683784485,0.4686349034309387
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,1.0122293424792588,1.5842486470937729,5.339250683784485,0.4686349034309387
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,0.9761587455868721,1.7324939370155334,12.669180631637573,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,0.9761587455868721,1.7324939370155334,12.669180631637573,0.3535533845424652
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.3812517002224922,1.2239067107439041,12.728797256946564,0.3535533845424652
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.3812517002224922,1.2239067107439041,12.728797256946564,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.3812517002224922,1.2239066809415817,12.728797018527985,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.3812517002224922,1.2239066809415817,12.728797018527985,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.321737814694643,1.4717743620276451,12.817458748817444,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.321737814694643,1.4717743620276451,12.817458748817444,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.357808506116271,0.9408337846398354,4.497281938791275,0.4686349034309387
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.357808506116271,0.9408337846398354,4.497281938791275,0.4686349034309387
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.34518107445910573,0.948480885475874,4.197077706456184,0.4686349034309387
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.34518107445910573,0.948480885475874,4.197077706456184,0.4686349034309387
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.3451810725964606,0.9484808444976807,4.1970775574445724,0.4686349034309387
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.3451810725964606,0.9484808444976807,4.1970775574445724,0.4686349034309387
