objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,1,16,1.3314769230782986,1.3314769230782986,5.325907692313194,0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,1,16,1.3314769230782986,1.3314769230782986,5.325907692313194,0.25
signed_hqql_tbl,mod.fc.0,output,C_Tbl_correct,6,16,0.9376625064760447,0.9376625064760447,3.7506500259041786,0.25
signed_hqql_tbl,mod.fc,output,C_Tbl_correct,6,16,0.9376625064760447,0.9376625064760447,3.7506500259041786,0.25
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,1,16,0.8149927444756031,0.8149927444756031,3.2599709779024124,0.25
signed_hqql_tbl,mod.fc,output,D_Tbl_to_Hqql,1,16,0.8149927444756031,0.8149927444756031,3.2599709779024124,0.25
signed_hqql_tbl,mod.fc.0,output,B_Hqql_to_Tbl,6,16,0.7504977136850357,0.7504977136850357,3.001990854740143,0.25
signed_hqql_tbl,mod.fc,output,B_Hqql_to_Tbl,6,16,0.7504977136850357,0.7504977136850357,3.001990854740143,0.25
B_tbl_minus_hqql,mod.fc.0,output,B_Hqql_to_Tbl,6,16,0.7504977118223906,0.7504977118223906,3.0019908472895622,0.25
B_tbl_minus_hqql,mod.fc,output,B_Hqql_to_Tbl,6,16,0.7504977118223906,0.7504977118223906,3.0019908472895622,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,79,16,0.710217909887433,0.710217909887433,3.211351163685322,0.22115859389305115
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,79,16,0.710217909887433,0.710217909887433,3.211351163685322,0.22115859389305115
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,103,16,0.708654991351068,0.708654991351068,-2.2186913155019283,-0.3194022476673126
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,103,16,0.708654991351068,0.708654991351068,-2.2186913155019283,-0.3194022476673126
