objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,1.4151682574301958,2.1069439128041267,5.339250683784485,0.645404040813446
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,1.4151682574301958,2.1069439128041267,5.339250683784485,0.645404040813446
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,1.3854931443929672,1.6647176817059517,12.669180631637573,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,1.3854931443929672,1.6647176817059517,12.669180631637573,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,1.2048878073692322,1.5063602402806282,12.244611322879791,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,1.2048878073692322,1.5063602402806282,12.244611322879791,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,1.17521264241077,1.651110716164112,4.286255449056625,0.645404040813446
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,1.17521264241077,1.651110716164112,4.286255449056625,0.645404040813446
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.3574536284431815,1.4624349102377892,4.438489660620689,0.645404040813446
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.3574536284431815,1.4624349102377892,4.438489660620689,0.645404040813446
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.3483180236071348,1.363315012305975,4.295930474996567,0.645404040813446
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.3483180236071348,1.363315012305975,4.295930474996567,0.645404040813446
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.3483180059120059,1.3633149974048138,4.29593063890934,0.645404040813446
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.3483180059120059,1.3633149974048138,4.29593063890934,0.645404040813446
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.37799317203462124,1.1789154559373856,11.603118509054184,0.3535533845424652
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.37799317203462124,1.1789154559373856,11.603118509054184,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.37799315713346004,1.1789154522120953,11.60311821103096,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.37799315713346004,1.1789154522120953,11.60311821103096,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.3277784697711468,1.3022069968283176,11.455429017543793,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.3277784697711468,1.3022069968283176,11.455429017543793,0.3535533845424652
