objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,2.3647413551807404,5.1216061264276505,17.38719540834427,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,2.3647413551807404,5.1216061264276505,17.38719540834427,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,2.532309651374817,2.67763664573431,5.4524854719638824,0.8304020166397095
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,2.532309651374817,2.67763664573431,5.4524854719638824,0.8304020166397095
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,1.7241645157337189,4.417499981820583,14.889403820037842,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,1.7241645157337189,4.417499981820583,14.889403820037842,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,1.556596290320158,2.1557732187211514,4.882769927382469,0.8304020166397095
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,1.556596290320158,2.1557732187211514,4.882769927382469,0.8304020166397095
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.524242952466011,4.3668986186385155,13.346900582313538,0.3535533845424652
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.524242952466011,4.3668986186385155,13.346900582313538,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.5242428928613663,4.366898693144321,13.346900820732117,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.5242428928613663,4.366898693144321,13.346900820732117,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.44385242089629173,4.462096720933914,13.921668529510498,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.44385242089629173,4.462096720933914,13.921668529510498,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.6114205736666918,1.2689801268279552,3.9826340675354004,0.8304020166397095
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.6114205736666918,1.2689801268279552,3.9826340675354004,0.8304020166397095
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.3566747249569744,1.2877721525728703,3.981183022260666,0.8304020166397095
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.3566747249569744,1.2877721525728703,3.981183022260666,0.8304020166397095
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.35667467513121665,1.2877722084522247,3.9811831414699554,0.8304020166397095
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.35667467513121665,1.2877722084522247,3.9811831414699554,0.8304020166397095
