objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,1,16,1.3314769230782986,1.3314769230782986,5.325907692313194,0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,1,16,1.3314769230782986,1.3314769230782986,5.325907692313194,0.25
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,4,16,0.9182387328473851,0.9805583244888112,-3.6729549313895404,-0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,4,16,0.9182387328473851,0.9805583244888112,-3.6729549313895404,-0.25
signed_hqql_tbl,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.8087432011961937,0.8087432011961937,3.234972804784775,0.25
signed_hqql_tbl,mod.fc,output,B_Hqql_to_Tbl,4,16,0.8087432011961937,0.8087432011961937,3.234972804784775,0.25
B_tbl_minus_hqql,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.8087431620806456,0.8087431620806456,3.2349726483225822,0.25
B_tbl_minus_hqql,mod.fc,output,B_Hqql_to_Tbl,4,16,0.8087431620806456,0.8087431620806456,3.2349726483225822,0.25
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,8,16,0.7732225451618433,0.7732225451618433,-2.1342053301632404,-0.36229997873306274
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,8,16,0.7732225451618433,0.7732225451618433,-2.1342053301632404,-0.36229997873306274
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,1,16,0.7023510048165917,0.7023510048165917,2.809404019266367,0.25
signed_hqql_tbl,mod.fc,output,D_Tbl_to_Hqql,1,16,0.7023510048165917,0.7023510048165917,2.809404019266367,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,79,16,0.6785285919904709,0.6785285919904709,3.211351163685322,0.21129068732261658
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,79,16,0.6785285919904709,0.6785285919904709,3.211351163685322,0.21129068732261658
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,8,16,0.5372006061952561,0.602981596486643,1.482750878436491,0.36229997873306274
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,8,16,0.5372006061952561,0.602981596486643,1.482750878436491,0.36229997873306274
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,57,16,0.44096131157130003,0.44096131157130003,1.3873977971961722,0.3178333640098572
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,57,16,0.44096131157130003,0.44096131157130003,1.3873977971961722,0.3178333640098572
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,4,16,-0.3823869810439646,0.4525990220718086,1.5295479241758585,-0.25
