objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,8,16,1.9445073455572128,1.9445073455572128,7.778029382228851,0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,8,16,1.9445073455572128,1.9445073455572128,7.778029382228851,0.25
signed_hqql_tbl,mod.fc.0,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,8,16,0.9408186748623848,0.9408186748623848,3.763274699449539,0.25
signed_hqql_tbl,mod.fc,output,D_Tbl_to_Hqql,8,16,0.9408186748623848,0.9408186748623848,3.763274699449539,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,121,16,0.7939229083713144,0.7939229083713144,-2.111816195771098,-0.3759431838989258
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,121,16,0.7939229083713144,0.7939229083713144,-2.111816195771098,-0.3759431838989258
signed_hqql_tbl,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.7913346588611603,0.7913346588611603,3.165338635444641,0.25
signed_hqql_tbl,mod.fc,output,B_Hqql_to_Tbl,4,16,0.7913346588611603,0.7913346588611603,3.165338635444641,0.25
B_tbl_minus_hqql,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.79133465513587,0.79133465513587,3.16533862054348,0.25
B_tbl_minus_hqql,mod.fc,output,B_Hqql_to_Tbl,4,16,0.79133465513587,0.79133465513587,3.16533862054348,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,3,16,0.5771032783668488,0.5771032783668488,-1.4905302489642054,-0.3871798515319824
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,3,16,0.5771032783668488,0.5771032783668488,-1.4905302489642054,-0.3871798515319824
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,34,16,0.5431795911863446,0.5431795911863446,1.9005551598966122,0.2858004868030548
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,34,16,0.5431795911863446,0.5431795911863446,1.9005551598966122,0.2858004868030548
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,4,16,-0.4678650591522455,0.494566579349339,1.871460236608982,-0.25
signed_hqql_tbl,mod.fc,output,D_Tbl_to_Hqql,4,16,-0.4678650591522455,0.494566579349339,1.871460236608982,-0.25
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,34,16,0.3660117997787893,0.3660117997787893,1.2806549165397882,0.2858004868030548
