objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc,output,C_Tbl_correct,4,16,1.4262946583330631,1.4262946583330631,5.7051786333322525,0.25
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,6,16,0.9376625511795282,0.9376625511795282,3.750650204718113,0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,6,16,0.9376625511795282,0.9376625511795282,3.750650204718113,0.25
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,4,16,0.8021603650413454,0.9346485524438322,-3.2086414601653814,-0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,4,16,0.8021603650413454,0.9346485524438322,-3.2086414601653814,-0.25
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,8,16,0.8112947829067707,0.8112947829067707,-2.1342053301632404,-0.3801390528678894
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,8,16,0.8112947829067707,0.8112947829067707,-2.1342053301632404,-0.3801390528678894
signed_hqql_tbl,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.7492824122309685,0.7492824122309685,2.997129648923874,0.25
signed_hqql_tbl,mod.fc,output,B_Hqql_to_Tbl,4,16,0.7492824122309685,0.7492824122309685,2.997129648923874,0.25
B_tbl_minus_hqql,mod.fc.0,output,B_Hqql_to_Tbl,4,16,0.749282393604517,0.749282393604517,2.997129574418068,0.25
B_tbl_minus_hqql,mod.fc,output,B_Hqql_to_Tbl,4,16,0.749282393604517,0.749282393604517,2.997129574418068,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,8,16,0.6411805571988225,0.6806631637737155,1.686700061429292,0.3801390528678894
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,8,16,0.6411805571988225,0.6806631637737155,1.686700061429292,0.3801390528678894
signed_hqql_tbl,mod.fc.0,output,D_Tbl_to_Hqql,6,16,0.6457853820174932,0.6457853820174932,2.583141528069973,0.25
signed_hqql_tbl,mod.fc,output,D_Tbl_to_Hqql,6,16,0.6457853820174932,0.6457853820174932,2.583141528069973,0.25
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,103,16,0.5697477282956243,0.5697477282956243,-2.2186912186443806,-0.2567945122718811
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,103,16,0.5697477282956243,0.5697477282956243,-2.2186912186443806,-0.2567945122718811
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,8,16,0.4501307993195951,0.46000993298366666,-1.1841214261949062,-0.3801390528678894
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,8,16,0.4501307993195951,0.46000993298366666,-1.1841214261949062,-0.3801390528678894
