objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_grad_A,mean_AxGrad,abs_mean_AxGrad,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.13066449761390686,-6.971292972564697,-0.9109004735946655,0.9109004735946655,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.11131792515516281,7.476977348327637,0.8323215842247009,0.8323215842247009,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,C_Tbl_correct,0.11523190554645327,-5.370328980187575,-0.7376868676316614,0.7376868676316614,0.5625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-electron,C_Tbl_correct,0.11842379570007325,-5.096222710609436,-0.684823551774025,0.684823551774025,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-CLS,B_Hqql_to_Tbl,0.1409662440419197,-4.3847233057022095,-0.5568303465843201,0.5568303465843201,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,B_Hqql_to_Tbl,0.13107580319046974,-4.3880415558815,-0.5464827045798302,0.5464827045798302,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,B_Hqql_to_Tbl,0.12118536233901978,-4.391359806060791,-0.5361350625753403,0.5361350625753403,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,C_Tbl_correct,0.11068730661645532,-3.911064014149209,-0.5194172128637243,0.5194172128637243,0.75
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,B_Hqql_to_Tbl,0.10697951260954142,-3.8076047599315643,-0.46001802757382393,0.46001802757382393,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,D_Tbl_to_Hqql,0.09613037357727687,4.280563116073608,0.3699465182920297,0.3699465182920297,0.375
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-electron,C_Tbl_correct,0.102166087884042,-2.751382277243667,-0.3670973045647972,0.3670973045647972,0.5625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.11316964775323868,-2.990009069442749,-0.33837828040122986,0.33837828040122986,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,D_Tbl_to_Hqql,0.08705408498644829,3.6935573603425707,0.3178957326204649,0.3178957326204649,0.4375
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,B_Hqql_to_Tbl,0.11334774270653725,-2.596712013706565,-0.3149284925311804,0.3149284925311804,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,electron<-CLS,B_Hqql_to_Tbl,0.12314457073807716,-2.494959831237793,-0.29679062962532043,0.29679062962532043,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,electron<-electron,C_Tbl_correct,0.10978854149580002,-2.434594118595123,-0.2888393118977547,0.2888393118977547,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,muon<-muon,C_Tbl_correct,0.10412869105736415,-2.2583969831466675,-0.28219974951611626,0.28219974951611626,0.5625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,B_Hqql_to_Tbl,0.11842278204858303,-2.3070541620254517,-0.26999786868691444,0.26999786868691444,0.25
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,B_Hqql_to_Tbl,0.0794881339451032,-2.1816134081621255,-0.2638271865725983,0.2638271865725983,0.875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,A_Hqql_correct,0.13540245592594147,1.9350274801254272,0.262007474899292,0.262007474899292,0.0625
