objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_grad_A,mean_AxGrad,abs_mean_AxGrad,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,B_Hqql_to_Tbl,0.09632870554924011,-13.152599334716797,-1.2669728994369507,1.2669728994369507,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,B_Hqql_to_Tbl,0.11405619233846664,-7.085223853588104,-0.7503599375486374,0.7503599375486374,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Hqql_to_Tbl,0.10742107033729553,-6.276898622512817,-0.6761612296104431,0.6761612296104431,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.07312716046969096,-3.3723681767781577,-0.4037938912709554,0.4037938912709554,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-CLS,B_Hqql_to_Tbl,0.08939097076654434,-4.404960632324219,-0.3937637209892273,0.3937637209892273,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.1450539231300354,-2.6344988346099854,-0.38214439153671265,0.38214439153671265,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.09265237003564834,3.4604599297046663,0.3515628296881914,0.3515628296881914,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.11529289931058884,2.747776985168457,0.3167991638183594,0.3167991638183594,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,C_Tbl_correct,0.09064169973134995,-2.89237642288208,-0.2621699273586273,0.2621699273586273,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,B_Hqql_to_Tbl,0.10469549149274826,-2.5484993159770966,-0.24437755346298218,0.24437755346298218,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,B_Hqql_to_Tbl,0.09090251103043556,-2.3245126008987427,-0.2077483981847763,0.2077483981847763,0.125
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.06711439602077007,-1.5216398239135742,-0.18855438195168972,0.18855438195168972,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,D_Tbl_to_Hqql,0.07804295718669892,1.510964584350586,0.1758730709552765,0.1758730709552765,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.14758597314357758,-1.1400114297866821,-0.1682496964931488,0.1682496964931488,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.0593248438090086,-1.2774411737918854,-0.1470438838005066,0.1470438838005066,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.11098850425332785,1.5413864810252562,0.14608899963786826,0.14608899963786826,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.057295079032580055,-1.0646814505259197,-0.1315509577592214,0.1315509577592214,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-electron,D_Tbl_to_Hqql,0.04467029869556427,1.326786200205485,0.12100720405578613,0.12100720405578613,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,C_Tbl_correct,0.06703443825244904,-1.1980808228254318,-0.1203103605657816,0.1203103605657816,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,CLS<-muon,B_Hqql_to_Tbl,0.22386229038238525,0.47590720653533936,0.10653767734766006,0.10653767734766006,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,charged_hadron<-muon,B_Hqql_to_Tbl,0.22386229038238525,0.47590720653533936,0.10653767734766006,0.10653767734766006,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,A_Hqql_correct,0.08206975683569909,1.140736711025238,0.10544550456106663,0.10544550456106663,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,B_Hqql_to_Tbl,0.052412182092666626,1.8986072540283203,0.09951014816761017,0.09951014816761017,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-muon,B_Hqql_to_Tbl,0.052412182092666626,1.8986072540283203,0.09951014816761017,0.09951014816761017,0.0625
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-photon,B_Hqql_to_Tbl,0.03564679238104051,0.10665495164932744,-0.0970110950931426,0.0970110950931426,1.9375
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,muon<-muon,A_Hqql_correct,0.180960550904274,0.45576077699661255,0.0824747234582901,0.0824747234582901,0.0625
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,muon<-muon,A_Hqql_correct,0.9998903274536133,0.07674383372068405,0.07673541456460953,0.07673541456460953,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,photon<-electron,A_Hqql_correct,0.0979073978960514,0.4561788775026798,0.07578083517728373,0.07578083517728373,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,A_Hqql_correct,0.11431331932544708,1.1964218616485596,0.06891631707549095,0.06891631707549095,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-muon,B_Hqql_to_Tbl,0.10968540608882904,0.6240732073783875,0.06845172494649887,0.06845172494649887,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-muon,B_Hqql_to_Tbl,0.10968540608882904,0.6240732073783875,0.06845172494649887,0.06845172494649887,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,A_Hqql_correct,0.09984598122537136,0.8344739377498627,0.06451425049453974,0.06451425049453974,0.25
B_tbl_minus_hqql,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.06509949639439583,-0.5904568694531918,-0.06438499502837658,0.06438499502837658,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-electron,D_Tbl_to_Hqql,0.03315891853223244,0.7247432116419077,0.062436302779436424,0.062436302779436424,0.375
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-neutral_hadron,B_Hqql_to_Tbl,0.037215067694584526,1.362567663192749,0.0609817827741305,0.0609817827741305,0.75
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,photon<-CLS,B_Hqql_to_Tbl,0.06687004864215851,-0.9106383919715881,-0.0608944334089756,0.0608944334089756,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,D_Tbl_to_Hqql,0.06681172996759414,0.5498027086257935,0.053975799679756166,0.053975799679756166,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-photon,C_Tbl_correct,0.03133124384013089,1.5394548936323686,0.05142708258195357,0.05142708258195357,0.6875
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-charged_hadron,B_Hqql_to_Tbl,0.035721707802552446,1.3176800165420923,0.05109854309986799,0.05109854309986799,2.4375
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,A_Hqql_correct,0.09838516428135335,0.5734681685571559,0.0508573453689678,0.0508573453689678,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,photon<-CLS,B_Hqql_to_Tbl,0.023498130962252617,-2.1302144527435303,-0.050056058913469315,0.050056058913469315,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-charged_hadron,B_Hqql_to_Tbl,0.03382277947205763,1.3548102501111152,0.04916664499502916,0.04916664499502916,2.4375
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.04948434606194496,-0.5046041943132877,-0.04783310613129288,0.04783310613129288,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,muon<-muon,C_Tbl_correct,0.08238349109888077,-0.5581288933753967,-0.045980606228113174,0.045980606228113174,0.0625
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-charged_hadron,B_Hqql_to_Tbl,0.03584599018096924,1.1295191192626952,0.043506489992141725,0.043506489992141725,1.5625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-photon,B_Hqql_to_Tbl,0.035862140117153045,0.8872277505936161,-0.041313753974053166,0.041313753974053166,1.9375
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-charged_hadron,B_Hqql_to_Tbl,0.03219975411891937,1.1281438732147218,0.04106710910797119,0.04106710910797119,1.5625
signed_hqql_tbl,mod.cls_blocks.0.attn,7,mod.cls_blocks.0.attn.h7,muon<-muon,A_Hqql_correct,0.10276858508586884,0.3975093364715576,0.040851473808288574,0.040851473808288574,0.0625
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,CLS<-muon,A_Hqql_correct,0.7639305889606476,0.04134600004181266,0.039937936468049884,0.039937936468049884,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-photon,D_Tbl_to_Hqql,0.0322991247688021,0.13774414719747646,0.039585465498800786,0.039585465498800786,7.0
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,CLS<-muon,A_Hqql_correct,0.10209571942687035,0.1472172513604164,0.03936348541174084,0.03936348541174084,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-electron,C_Tbl_correct,0.04651339165866375,0.7983410879969597,0.03677679877728224,0.03677679877728224,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-electron,C_Tbl_correct,0.04651339165866375,0.7983410879969597,0.03677679877728224,0.03677679877728224,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-photon,C_Tbl_correct,0.03230601296586506,0.047310751373484984,-0.0367048521668224,0.0367048521668224,3.6875
signed_hqql_tbl,mod.cls_blocks.0.attn,3,mod.cls_blocks.0.attn.h3,CLS<-muon,B_Hqql_to_Tbl,0.1549394130706787,0.23180875182151794,0.03591631352901459,0.03591631352901459,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,3,mod.cls_blocks.0.attn.h3,charged_hadron<-muon,B_Hqql_to_Tbl,0.1549394130706787,0.23180875182151794,0.03591631352901459,0.03591631352901459,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,CLS<-CLS,B_Hqql_to_Tbl,0.07842438202351332,-0.4944181479513645,-0.03530056634917855,0.03530056634917855,0.25
B_tbl_minus_hqql,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-photon,B_Hqql_to_Tbl,0.03648919155520777,-0.030756502382216916,-0.035205556500342586,0.035205556500342586,1.9375
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,muon<-muon,A_Hqql_correct,0.042468778789043427,0.7856709957122803,0.03336648643016815,0.03336648643016815,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,charged_hadron<-CLS,B_Hqql_to_Tbl,0.06748688779771328,-0.46923021972179413,-0.032963190227746964,0.032963190227746964,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-neutral_hadron,C_Tbl_correct,0.03786908872425556,0.8069048404693604,0.032954636961221695,0.032954636961221695,1.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-neutral_hadron,B_Hqql_to_Tbl,0.036132449905077614,0.5413407484690348,0.0324648084739844,0.0324648084739844,0.75
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-neutral_hadron,A_Hqql_correct,0.0416792631149292,-0.2976006269454956,-0.03219354897737503,0.03219354897737503,0.25
