objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_grad_A,mean_AxGrad,abs_mean_AxGrad,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.08148858696222305,8.554515957832336,0.7067229598760605,0.7067229598760605,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,A_Hqql_correct,0.0794682115316391,-5.748833847045899,-0.4502551794052124,0.4502551794052124,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,B_Hqql_to_Tbl,0.07744014076888561,5.048143833875656,0.4105018079280853,0.4105018079280853,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.0838707722723484,-3.4746690155006945,-0.2845897611405235,0.2845897611405235,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.0858232503135999,-2.8316213289896646,-0.2427706370751063,0.2427706370751063,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-CLS,A_Hqql_correct,0.10037651658058167,-2.1561965942382812,-0.2236291840672493,0.2236291840672493,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.08544157817959785,-2.334776248782873,-0.1890642715152353,0.1890642715152353,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,A_Hqql_correct,0.07887133955955505,-2.3434313349425793,-0.18711536470800638,0.18711536470800638,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.07428131625056267,2.3748517148196697,0.16915122885257006,0.16915122885257006,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-muon,A_Hqql_correct,0.1359080858528614,1.201940268278122,0.15749157220125198,0.15749157220125198,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-muon,A_Hqql_correct,0.10033280029892921,1.5054967403411865,0.15637033805251122,0.15637033805251122,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,2,mod.cls_blocks.0.attn.h2,neutral_hadron<-electron,B_Hqql_to_Tbl,0.18820060789585114,-0.7314444184303284,-0.1376582831144333,0.1376582831144333,0.0625
B_tbl_minus_hqql,mod.cls_blocks.0.attn,2,mod.cls_blocks.0.attn.h2,neutral_hadron<-electron,B_Hqql_to_Tbl,0.18820059299468994,-0.7314443588256836,-0.1376582682132721,0.1376582682132721,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,electron<-electron,A_Hqql_correct,0.11556961014866829,1.0058189928531647,0.11639489606022835,0.11639489606022835,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-muon,A_Hqql_correct,0.10276952106505632,1.0533489240333438,0.11445875646313652,0.11445875646313652,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Hqql_to_Tbl,0.07339169457554817,1.5417717099189758,0.11428065598011017,0.11428065598011017,0.125
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,electron<-electron,A_Hqql_correct,0.9999959468841553,0.10581553913652897,0.10581527836620808,0.10581527836620808,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-CLS,A_Hqql_correct,0.0777299977838993,-1.3091243207454681,-0.10216630324721336,0.10216630324721336,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,photon<-electron,A_Hqql_correct,0.13096566498279572,0.7435395121574402,0.09737814962863922,0.09737814962863922,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,muon<-muon,A_Hqql_correct,0.09407724191745122,1.0088997681935628,0.0963143880168597,0.0963143880168597,0.1875
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,photon<-muon,A_Hqql_correct,0.5496866442263126,-0.009793564677238464,0.08267820533365011,0.08267820533365011,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,B_Hqql_to_Tbl,0.06863137148320675,1.056993706151843,0.07680380111560225,0.07680380111560225,0.25
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,muon<-muon,A_Hqql_correct,0.6623769998550415,0.03022024780511856,0.06269306192795436,0.06269306192795436,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,neutral_hadron<-muon,A_Hqql_correct,0.17042091488838196,-0.3558827191591263,-0.06138682924211025,0.06138682924211025,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-electron,A_Hqql_correct,0.05639610067009926,0.6690550946763584,0.05043139842538429,0.05043139842538429,0.4375
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.039547499269247055,1.2767553925514221,0.04766535013914108,0.04766535013914108,0.125
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.03194297891524103,0.37069309254487354,0.0449592142055432,0.0449592142055432,2.25
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,charged_hadron<-muon,A_Hqql_correct,0.13466612994670868,-0.3331224024295807,-0.04486030340194702,0.04486030340194702,0.0625
signed_hqql_tbl,mod.cls_blocks.1.attn,3,mod.cls_blocks.1.attn.h3,CLS<-muon,A_Hqql_correct,0.5064608741085976,-0.02290095714852214,0.044349372110445984,0.044349372110445984,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-muon,A_Hqql_correct,0.04696924611926079,0.8386739641427994,0.041374944150447845,0.041374944150447845,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,CLS<-CLS,B_Hqql_to_Tbl,0.0392571734264493,1.0656895637512207,0.04047104902565479,0.04047104902565479,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,A_Hqql_correct,0.08118113339878619,-0.492086760699749,-0.040289360273163766,0.040289360273163766,1.0
B_tbl_minus_hqql,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,neutral_hadron<-electron,B_Hqql_to_Tbl,0.05618985742330551,-0.6742903590202332,-0.03788827732205391,0.03788827732205391,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,neutral_hadron<-electron,B_Hqql_to_Tbl,0.056189846247434616,-0.6742902994155884,-0.03788826987147331,0.03788826987147331,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-electron,A_Hqql_correct,0.04005432315170765,0.6787601883212725,0.034616941159280636,0.034616941159280636,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,7,mod.cls_blocks.0.attn.h7,muon<-muon,A_Hqql_correct,0.09157706300417583,0.3713922401269277,0.03458204803367456,0.03458204803367456,0.1875
