objective,head_id,pair_role,B_mean_A,B_mean_AxGrad,A_mean_AxGrad,C_mean_AxGrad,D_mean_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,abs_B_mean_AxGrad,support_score
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,0.07247801870107651,-0.9472815990447998,0.3776716530323029,0.0,0.0,-1.3249532520771026,-0.9472815990447998,0.9472815990447998,1.609758225083351
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-CLS,0.08238575048744678,-0.6079392284154892,0.19130966998636723,0.0,0.0,-0.7992488984018564,-0.6079392284154892,0.6079392284154892,1.0075636776164174
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,0.08348425850272179,-0.5027757436037064,0.22172602266073227,0.0,0.0,-0.7245017662644386,-0.5027757436037064,0.5027757436037064,0.8650266267359257
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,photon<-CLS,0.09009646624326706,-0.47892382740974426,0.01247518757979075,0.0,0.0,-0.49139901498953503,-0.47892382740974426,0.47892382740974426,0.7246233349045118
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,0.05928464233875275,-0.25338008999824524,0.1975641168653965,0.0,0.0,-0.45094420686364173,-0.25338008999824524,0.25338008999824524,0.47885219343006613
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,0.076466865837574,-0.21860304474830627,0.16898711770772934,0.0,0.0,-0.3875901624560356,-0.21860304474830627,0.21860304474830627,0.4123981259763241
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,CLS<-CLS,0.07168903760612011,-0.21868734061717987,0.13595788010570686,0.0,0.0,-0.35464522072288673,-0.21868734061717987,0.21868734061717987,0.39600995097862324
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,photon<-CLS,0.07453777641057968,-0.1841631829738617,0.06327951928445448,0.0,0.0,-0.24744270225831616,-0.1841631829738617,0.1841631829738617,0.30788453410301975
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,0.03761788261564154,-0.10338569942273591,0.0,0.0,0.0,-0.10338569942273591,-0.10338569942273591,0.10338569942273591,0.15507854913410388
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-CLS,0.0,0.0,0.21084123849868774,0.0,0.0,-0.21084123849868774,0.0,0.0,0.10542061924934387
signed_hqql_tbl,mod.cls_blocks.0.attn.h1,neutral_hadron<-CLS,0.02237526699900627,-0.04949124902486801,0.019748130184598266,0.0,0.0,-0.06923937920946628,-0.04949124902486801,0.04949124902486801,0.08411093862960115
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,0.03552222369532836,-0.060160010268813686,-0.02082321537739557,-0.08482877303052831,0.08712089648752501,-0.039336794891418114,0.024668762761714626,0.060160010268813686,0.07982840771452274
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,muon<-CLS,0.0,0.0,0.13187991082668304,0.0,0.0,-0.13187991082668304,0.0,0.0,0.06593995541334152
signed_hqql_tbl,mod.cls_blocks.0.attn.h0,neutral_hadron<-CLS,0.03723757341504097,-0.03348887339234352,0.028248633630573748,0.0,0.0,-0.06173750702291727,-0.03348887339234352,0.03348887339234352,0.06435762690380216
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,muon<-muon,0.0,0.0,0.11670388281345367,0.0,0.0,-0.11670388281345367,0.0,0.0,0.05835194140672684
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,0.03192077773182016,-0.03819384739587182,0.0,0.0,0.0,-0.03819384739587182,-0.03819384739587182,0.03819384739587182,0.05729077109380773
signed_hqql_tbl,mod.cls_blocks.0.attn.h0,CLS<-CLS,0.043855443596839905,-0.02896677888929844,0.025538262110330834,0.0,0.0,-0.05450504099962927,-0.02896677888929844,0.02896677888929844,0.056219299389113075
signed_hqql_tbl,mod.cls_blocks.0.attn.h0,photon<-CLS,0.04938535392284393,-0.027168691158294678,0.027256740257143974,0.0,0.0,-0.05442543141543865,-0.027168691158294678,0.027168691158294678,0.054381406866014004
signed_hqql_tbl,mod.cls_blocks.0.attn.h0,charged_hadron<-CLS,0.04439942352473736,-0.02760477550327778,0.02369566313973337,0.0,0.0,-0.05130043864301115,-0.02760477550327778,0.02760477550327778,0.05325499482478335
