source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:Tbl-Hqql,classifier_to_objective,1.0,logits=fc(z),,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.0,,18,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.0,,66,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,0.0,,58,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,0.0,,79,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.0,,82,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.0,,96,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,0.0,,121,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,0.0,,76,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.0,,2,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.0,,10,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.0,,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,0.0,,8,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,0.0,,124,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.0,,23,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.0,,54,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,0.0,,57,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,0.0,,91,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,0.0,,103,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.0,,34,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.0,,45,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.0,,123,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,0.0,,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.0,,110,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,0.0,,6,,,,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.1017542373156175,,,signed_hqql_tbl,A_Hqql_correct,0.6104340953752398,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.128194788863766,,,signed_hqql_tbl,A_Hqql_correct,0.2951380219310522,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.09798152517760172,,,signed_hqql_tbl,C_Tbl_correct,0.3818253371864557,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.13416983268689364,,,signed_hqql_tbl,A_Hqql_correct,0.19702316680923104,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.1459988139104098,,,signed_hqql_tbl,C_Tbl_correct,0.1459988139104098,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.11716095736483112,,,signed_hqql_tbl,A_Hqql_correct,0.25649572908878326,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.14379420853219926,,,signed_hqql_tbl,C_Tbl_correct,0.14379420853219926,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.09918359096627682,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.29144715378060937,,,,,
