source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_Hbb-label_Hcc,classifier_to_objective,1.0,logits=fc(z),label_Hcc,label_Hbb,,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,1.1084946393966675,,label_Hcc,label_Hbb,103,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,0.8818885087966919,,label_Hcc,label_Hbb,8,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-0.6736457347869873,,label_Hcc,label_Hbb,121,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,-0.5391088724136353,,label_Hcc,label_Hbb,45,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-0.5133147835731506,,label_Hcc,label_Hbb,76,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,0.35653409361839294,,label_Hcc,label_Hbb,57,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.3124203681945801,,label_Hcc,label_Hbb,58,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,-0.22491289675235748,,label_Hcc,label_Hbb,23,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.21572256088256836,,label_Hcc,label_Hbb,3,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.19817698001861572,,label_Hcc,label_Hbb,18,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.15715032815933228,,label_Hcc,label_Hbb,54,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.15407362580299377,,label_Hcc,label_Hbb,34,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.1484813392162323,,label_Hcc,label_Hbb,82,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.12833595275878906,,label_Hcc,label_Hbb,79,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.1224910244345665,,label_Hcc,label_Hbb,124,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.1091998815536499,,label_Hcc,label_Hbb,123,,,,,,,,
