source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_H4q-label_Hgg,classifier_to_objective,1.0,logits=fc(z),label_Hgg,label_H4q,,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,1.4457695484161377,,label_Hgg,label_H4q,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-0.9769135117530823,,label_Hgg,label_H4q,8,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.9306374788284302,,label_Hgg,label_H4q,10,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.8398046493530273,,label_Hgg,label_H4q,45,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.839318037033081,,label_Hgg,label_H4q,79,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,0.3787585496902466,,label_Hgg,label_H4q,57,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.35307776927948,,label_Hgg,label_H4q,18,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.3456917107105255,,label_Hgg,label_H4q,124,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.330453485250473,,label_Hgg,label_H4q,58,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.32046273350715637,,label_Hgg,label_H4q,54,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,-0.2977575957775116,,label_Hgg,label_H4q,66,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,-0.22767922282218933,,label_Hgg,label_H4q,91,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,-0.12479102611541748,,label_Hgg,label_H4q,103,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-0.09792596101760864,,label_Hgg,label_H4q,76,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.08016219735145569,,label_Hgg,label_H4q,34,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.07395459711551666,,label_Hgg,label_H4q,2,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,-0.06490914523601532,,label_Hgg,label_H4q,23,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.057247236371040344,,label_Hgg,label_H4q,96,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-0.04653972387313843,,label_Hgg,label_H4q,121,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,-0.012439966201782227,,label_Hgg,label_H4q,82,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.010531565174460411,,label_Hgg,label_H4q,110,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.005119830369949341,,label_Hgg,label_H4q,123,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,-0.0021793171763420105,,label_Hgg,label_H4q,80,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.001514539122581482,,label_Hgg,label_H4q,6,,,,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.23738043126650155,,,,,signed_hqql_tbl,C_Tbl_correct,0.7069724537432194,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.301515556871891,,,,,signed_hqql_tbl,C_Tbl_correct,0.39600912015885115,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,0.1714550913311541,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.626698637381196,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.11178216873668134,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.7490964252501726,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.11178215756081045,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.7490963954478502,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.21282605826854706,,,,,signed_hqql_tbl,A_Hqql_correct,0.21282605826854706,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.19945199554786086,,,,,signed_hqql_tbl,C_Tbl_correct,0.20372475823387504,,,,,
