source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_H4q-label_Hcc,classifier_to_objective,1.0,logits=fc(z),label_Hcc,label_H4q,,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,1.1334331035614014,,label_Hcc,label_H4q,10,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-1.0834059715270996,,label_Hcc,label_H4q,76,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.9734987020492554,,label_Hcc,label_H4q,79,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-0.9147993326187134,,label_Hcc,label_H4q,57,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,0.8580637574195862,,label_Hcc,label_H4q,103,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.7015987634658813,,label_Hcc,label_H4q,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-0.5673114657402039,,label_Hcc,label_H4q,8,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.45204776525497437,,label_Hcc,label_H4q,2,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.4152052700519562,,label_Hcc,label_H4q,58,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.4051521420478821,,label_Hcc,label_H4q,124,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,0.36605292558670044,,label_Hcc,label_H4q,121,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.3593764007091522,,label_Hcc,label_H4q,82,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.2745710611343384,,label_Hcc,label_H4q,54,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.26181337237358093,,label_Hcc,label_H4q,123,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,-0.22542935609817505,,label_Hcc,label_H4q,91,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.22122329473495483,,label_Hcc,label_H4q,18,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.18244564533233643,,label_Hcc,label_H4q,45,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.14938077330589294,,label_Hcc,label_H4q,66,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.12702181935310364,,label_Hcc,label_H4q,34,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.0857192873954773,,label_Hcc,label_H4q,96,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.07671000063419342,,label_Hcc,label_H4q,23,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.043629735708236694,,label_Hcc,label_H4q,6,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.007745858281850815,,label_Hcc,label_H4q,110,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,0.00545259565114975,,label_Hcc,label_H4q,80,,,,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.5306982309557498,,,,,signed_hqql_tbl,A_Hqql_correct,0.6005216911435127,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.31299434998072684,,,,,signed_hqql_tbl,C_Tbl_correct,0.8739959038794041,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.3850368084385991,,,,,signed_hqql_tbl,C_Tbl_correct,0.46096172742545605,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.2594764844980091,,,,,signed_hqql_tbl,A_Hqql_correct,0.7605061866343021,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.2053883948829025,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.806843925267458,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.20538838300853968,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.806843813508749,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.28977989591658115,,,,,signed_hqql_tbl,A_Hqql_correct,0.28977989591658115,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.2031658566556871,,,,,signed_hqql_tbl,C_Tbl_correct,0.4884057994931936,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.18994245119392872,,,,,signed_hqql_tbl,A_Hqql_correct,0.48202688433229923,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.1642861267318949,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.32161921355873346,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.1642860962310806,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.3216192005202174,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.1322171565843746,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.4478040784597397,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.13221717008855194,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.4478040225803852,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.16489690449088812,,,,,signed_hqql_tbl,A_Hqql_correct,0.31607078667730093,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.1421592769329436,,,,,signed_hqql_tbl,C_Tbl_correct,0.35318611469119787,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.13480133801931515,,,,,signed_hqql_tbl,A_Hqql_correct,0.3200339497998357,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.15134169696830213,,,,,signed_hqql_tbl,A_Hqql_correct,0.2383078383281827,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.11810027662431821,,,,,signed_hqql_tbl,C_Tbl_correct,0.35597067326307297,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.16445556422695518,,,,,signed_hqql_tbl,C_Tbl_correct,0.16445556422695518,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.11879737174604088,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.32392092887312174,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.003619887982495129,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.732281718403101,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.11010208143852651,,,,,signed_hqql_tbl,A_Hqql_correct,0.28576300479471684,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.10985092935152352,,,,,signed_hqql_tbl,A_Hqql_correct,0.27054237946867943,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.13740458898246288,,,,,signed_hqql_tbl,A_Hqql_correct,0.15479734353721142,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.07566894870251417,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.342237307690084,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.07566893857438117,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.3422373477369547,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.09359775064513087,,,,,signed_hqql_tbl,C_Tbl_correct,0.26034401915967464,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.03536369511857629,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.4436258617788553,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.07563545880839229,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.24567599408328533,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.0731507558375597,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.22586177941411734,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.04607839463278651,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.3158441847190261,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.08848175057210028,,,,,signed_hqql_tbl,C_Tbl_correct,0.1057853742968291,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.08637304231524467,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.08637304231524467,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.031065056507941335,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.2755693728104234,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.02237962486105971,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.2770679509267211,,,,,
