source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_Hbb-label_Hgg,classifier_to_objective,1.0,logits=fc(z),label_Hgg,label_Hbb,,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,1.6500920057296753,,label_Hgg,label_Hbb,57,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-1.0862383842468262,,label_Hgg,label_Hbb,121,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.9598933458328247,,label_Hgg,label_Hbb,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,0.4722864627838135,,label_Hgg,label_Hbb,8,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,0.4721652865409851,,label_Hgg,label_Hbb,76,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,-0.3721188008785248,,label_Hgg,label_Hbb,66,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,-0.36653202772140503,,label_Hgg,label_Hbb,23,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.33003148436546326,,label_Hgg,label_Hbb,18,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,-0.3072572648525238,,label_Hgg,label_Hbb,2,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.22766856849193573,,label_Hgg,label_Hbb,58,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,-0.22333502769470215,,label_Hgg,label_Hbb,82,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.20304203033447266,,label_Hgg,label_Hbb,54,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,-0.14749367535114288,,label_Hgg,label_Hbb,123,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,0.12563985586166382,,label_Hgg,label_Hbb,103,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.11825016140937805,,label_Hgg,label_Hbb,45,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.10721400380134583,,label_Hgg,label_Hbb,34,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,-0.10002177953720093,,label_Hgg,label_Hbb,10,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,-0.07516401261091232,,label_Hgg,label_Hbb,96,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.06303058564662933,,label_Hgg,label_Hbb,124,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,0.040551796555519104,,label_Hgg,label_Hbb,6,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,0.028453879058361053,,label_Hgg,label_Hbb,91,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,-0.017193160951137543,,label_Hgg,label_Hbb,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.010361346416175365,,label_Hgg,label_Hbb,110,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,0.005844682455062866,,label_Hgg,label_Hbb,79,,,,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.37281361781060696,,,,,signed_hqql_tbl,C_Tbl_correct,0.37281361781060696,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.3086568647995591,,,,,signed_hqql_tbl,C_Tbl_correct,0.3086568647995591,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.12229084642603993,,,,,signed_hqql_tbl,C_Tbl_correct,0.8043455649167299,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.20194640383124352,,,,,signed_hqql_tbl,C_Tbl_correct,0.3923189491033554,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.2037487484049052,,,,,signed_hqql_tbl,A_Hqql_correct,0.38471165392547846,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.09090694936458021,,,,,signed_hqql_tbl,A_Hqql_correct,0.795530067756772,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.04210534691810608,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.8632987719029188,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.19748986000195146,,,,,signed_hqql_tbl,A_Hqql_correct,0.20167926466092467,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.15650956996250898,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.3600476775318384,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.125336738768965,,,,,signed_hqql_tbl,C_Tbl_correct,0.46941008418798447,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.023567997151985765,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.7672524452209473,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.02356799691915512,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.7672524284571409,,,,,
