source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_Hqql-label_Tbl,classifier_to_objective,1.0,logits=fc(z),label_Tbl,label_Hqql,,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,1.6964067220687866,,label_Tbl,label_Hqql,54,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-1.4145793914794922,,label_Tbl,label_Hqql,76,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,1.2686177492141724,,label_Tbl,label_Hqql,18,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,-1.25152587890625,,label_Tbl,label_Hqql,103,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-0.977470338344574,,label_Tbl,label_Hqql,121,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.7730405330657959,,label_Tbl,label_Hqql,96,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.5745218992233276,,label_Tbl,label_Hqql,58,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,-0.5696371793746948,,label_Tbl,label_Hqql,23,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.48215559124946594,,label_Tbl,label_Hqql,45,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-0.47194164991378784,,label_Tbl,label_Hqql,57,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.3488597869873047,,label_Tbl,label_Hqql,10,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-0.23268666863441467,,label_Tbl,label_Hqql,8,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,-0.20393377542495728,,label_Tbl,label_Hqql,2,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,-0.18423211574554443,,label_Tbl,label_Hqql,91,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.1707550287246704,,label_Tbl,label_Hqql,34,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,0.10766482353210449,,label_Tbl,label_Hqql,79,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.088742196559906,,label_Tbl,label_Hqql,6,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,-0.08377087116241455,,label_Tbl,label_Hqql,66,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,-0.06577682495117188,,label_Tbl,label_Hqql,3,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,0.050974130630493164,,label_Tbl,label_Hqql,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.039949655532836914,,label_Tbl,label_Hqql,110,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,-0.012944400310516357,,label_Tbl,label_Hqql,123,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.0038715004920959473,,label_Tbl,label_Hqql,124,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,-0.003074824810028076,,label_Tbl,label_Hqql,82,,,,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.7712131608277559,,,,,signed_hqql_tbl,A_Hqql_correct,0.7712131608277559,,,,,
