id,kind,name,label,W_tgt_minus_src,bias_tgt_minus_src,src_label,tgt_label,kind2,top_group,diagnosis,B_write,B_AxGrad,role,group,activation,grad
objective:label_Hcc-label_Zqq,objective,label_Hcc-label_Zqq,J=label_Hcc-label_Zqq,,,,,,,,,,,,,
classifier:mod.fc,classifier,mod.fc,classifier head,,,,,,,,,,,,,
classifier_dim:fc_dim_79,classifier_dim,fc_dim_79,fc_dim_79,1.0129703283309937,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_10,classifier_dim,fc_dim_10,fc_dim_10,-0.9937915802001953,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_8,classifier_dim,fc_dim_8,fc_dim_8,-0.9532447457313538,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_2,classifier_dim,fc_dim_2,fc_dim_2,-0.8504862785339355,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_66,classifier_dim,fc_dim_66,fc_dim_66,0.7084987163543701,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_121,classifier_dim,fc_dim_121,fc_dim_121,0.7050638198852539,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_45,classifier_dim,fc_dim_45,fc_dim_45,0.6071857810020447,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_18,classifier_dim,fc_dim_18,fc_dim_18,0.5055798292160034,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_76,classifier_dim,fc_dim_76,fc_dim_76,0.4995580315589905,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_3,classifier_dim,fc_dim_3,fc_dim_3,0.39634543657302856,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_57,classifier_dim,fc_dim_57,fc_dim_57,0.3537442982196808,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_23,classifier_dim,fc_dim_23,fc_dim_23,-0.3311540186405182,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_82,classifier_dim,fc_dim_82,fc_dim_82,0.3028479218482971,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_58,classifier_dim,fc_dim_58,fc_dim_58,0.2851003408432007,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_91,classifier_dim,fc_dim_91,fc_dim_91,-0.2575779855251312,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_54,classifier_dim,fc_dim_54,fc_dim_54,0.25316715240478516,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_96,classifier_dim,fc_dim_96,fc_dim_96,-0.2272307574748993,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_123,classifier_dim,fc_dim_123,fc_dim_123,-0.22343184053897858,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_103,classifier_dim,fc_dim_103,fc_dim_103,0.169114351272583,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_34,classifier_dim,fc_dim_34,fc_dim_34,-0.0480010062456131,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_80,classifier_dim,fc_dim_80,fc_dim_80,0.028266608715057373,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_6,classifier_dim,fc_dim_6,fc_dim_6,-0.018253885209560394,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_110,classifier_dim,fc_dim_110,fc_dim_110,0.016404349356889725,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
classifier_dim:fc_dim_124,classifier_dim,fc_dim_124,fc_dim_124,0.0009466931223869324,0.025581881403923035,label_Zqq,label_Hcc,,,,,,,,,
residual_cls:mod.cls_blocks.0,residual_cls,mod.cls_blocks.0,mod.cls_blocks.0,,,,,cls,D_Tbl_to_Hqql,,,,,,,
residual_cls:mod.cls_blocks.1,residual_cls,mod.cls_blocks.1,mod.cls_blocks.1,,,,,cls,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.0,residual_particle,mod.blocks.0,mod.blocks.0,,,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.7,residual_particle,mod.blocks.7,mod.blocks.7,,,,,particle,C_Tbl_correct,,,,,,,
residual_particle:mod.blocks.1,residual_particle,mod.blocks.1,mod.blocks.1,,,,,particle,B_Hqql_to_Tbl,,,,,,,
residual_particle:mod.blocks.6,residual_particle,mod.blocks.6,mod.blocks.6,,,,,particle,C_Tbl_correct,,,,,,,
residual_particle:mod.blocks.2,residual_particle,mod.blocks.2,mod.blocks.2,,,,,particle,C_Tbl_correct,,,,,,,
residual_particle:mod.blocks.5,residual_particle,mod.blocks.5,mod.blocks.5,,,,,particle,A_Hqql_correct,,,,,,,
residual_particle:mod.blocks.4,residual_particle,mod.blocks.4,mod.blocks.4,,,,,particle,A_Hqql_correct,,,,,,,
residual_particle:mod.blocks.3,residual_particle,mod.blocks.3,mod.blocks.3,,,,,particle,B_Hqql_to_Tbl,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,attention_pair,mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,mod.cls_blocks.0.attn.h4 photon<-neutral_hadron,,,,,,,B_Tbl_push_read_write,0.0609817827741305,0.0609817827741305,,,,
residual_block:mod.cls_blocks.0,residual_block,mod.cls_blocks.0,mod.cls_blocks.0,,,,,,,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-charged_hadron,attention_pair,mod.cls_blocks.0.attn.h4|photon<-charged_hadron,mod.cls_blocks.0.attn.h4 photon<-charged_hadron,,,,,,,B_Tbl_push_read_write,0.05109854309986799,0.05109854309986799,,,,
attention_pair:mod.cls_blocks.0.attn.h4|neutral_hadron<-charged_hadron,attention_pair,mod.cls_blocks.0.attn.h4|neutral_hadron<-charged_hadron,mod.cls_blocks.0.attn.h4 neutral_hadron<-charged_hadron,,,,,,,B_Tbl_push_read_write,0.043506489992141725,0.043506489992141725,,,,
attention_pair:mod.cls_blocks.0.attn.h1|photon<-neutral_hadron,attention_pair,mod.cls_blocks.0.attn.h1|photon<-neutral_hadron,mod.cls_blocks.0.attn.h1 photon<-neutral_hadron,,,,,,,B_Tbl_push_read_write,0.020358909542361896,0.020358909542361896,,,,
attention_pair:mod.cls_blocks.1.attn.h2|charged_hadron<-CLS,attention_pair,mod.cls_blocks.1.attn.h2|charged_hadron<-CLS,mod.cls_blocks.1.attn.h2 charged_hadron<-CLS,,,,,,,B_Tbl_push_read_write,0.023884513648226857,0.023884513648226857,,,,
residual_block:mod.cls_blocks.1,residual_block,mod.cls_blocks.1,mod.cls_blocks.1,,,,,,,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-CLS,attention_pair,mod.cls_blocks.0.attn.h4|photon<-CLS,mod.cls_blocks.0.attn.h4 photon<-CLS,,,,,,,B_Tbl_resist_or_protective_read_write,-1.2669728994369507,-1.2669728994369507,,,,
attention_pair:mod.cls_blocks.0.attn.h4|CLS<-CLS,attention_pair,mod.cls_blocks.0.attn.h4|CLS<-CLS,mod.cls_blocks.0.attn.h4 CLS<-CLS,,,,,,,B_Tbl_resist_or_protective_read_write,-0.7503599375486374,-0.7503599375486374,,,,
attention_pair:mod.cls_blocks.0.attn.h4|charged_hadron<-CLS,attention_pair,mod.cls_blocks.0.attn.h4|charged_hadron<-CLS,mod.cls_blocks.0.attn.h4 charged_hadron<-CLS,,,,,,,B_Tbl_resist_or_protective_read_write,-0.6761612296104431,-0.6761612296104431,,,,
residual_role:mod.cls_blocks.0|photon|C_Tbl_correct,residual_role,mod.cls_blocks.0|photon|C_Tbl_correct,mod.cls_blocks.0 photon,,,,,,,,,,photon,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|charged_hadron|C_Tbl_correct,residual_role,mod.cls_blocks.0|charged_hadron|C_Tbl_correct,mod.cls_blocks.0 charged_hadron,,,,,,,,,,charged_hadron,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|CLS|C_Tbl_correct,residual_role,mod.cls_blocks.0|CLS|C_Tbl_correct,mod.cls_blocks.0 CLS,,,,,,,,,,CLS,C_Tbl_correct,,
residual_role:mod.cls_blocks.1|photon|C_Tbl_correct,residual_role,mod.cls_blocks.1|photon|C_Tbl_correct,mod.cls_blocks.1 photon,,,,,,,,,,photon,C_Tbl_correct,,
residual_role:mod.cls_blocks.1|charged_hadron|C_Tbl_correct,residual_role,mod.cls_blocks.1|charged_hadron|C_Tbl_correct,mod.cls_blocks.1 charged_hadron,,,,,,,,,,charged_hadron,C_Tbl_correct,,
residual_role:mod.cls_blocks.1|CLS|C_Tbl_correct,residual_role,mod.cls_blocks.1|CLS|C_Tbl_correct,mod.cls_blocks.1 CLS,,,,,,,,,,CLS,C_Tbl_correct,,
