source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_H4q-label_Hbb,classifier_to_objective,1.0,logits=fc(z),label_Hbb,label_H4q,,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-1.449199914932251,,label_Hbb,label_H4q,8,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-1.2713334560394287,,label_Hbb,label_H4q,57,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,1.0396987199783325,,label_Hbb,label_H4q,121,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,1.0306593179702759,,label_Hbb,label_H4q,10,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.8451627492904663,,label_Hbb,label_H4q,79,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.7215545177459717,,label_Hbb,label_H4q,45,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-0.5700912475585938,,label_Hbb,label_H4q,76,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.485876202583313,,label_Hbb,label_H4q,3,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.38121187686920166,,label_Hbb,label_H4q,2,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.3016228973865509,,label_Hbb,label_H4q,23,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.2826611399650574,,label_Hbb,label_H4q,124,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,-0.2561330795288086,,label_Hbb,label_H4q,91,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,-0.2504308819770813,,label_Hbb,label_H4q,103,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.21089506149291992,,label_Hbb,label_H4q,82,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.15261350572109222,,label_Hbb,label_H4q,123,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.13241125643253326,,label_Hbb,label_H4q,96,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.11742071807384491,,label_Hbb,label_H4q,54,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.10278491675853729,,label_Hbb,label_H4q,58,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.07436120510101318,,label_Hbb,label_H4q,66,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.042066335678100586,,label_Hbb,label_H4q,6,,,,,,,,
