source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_Tbqq-label_Hbb,classifier_to_objective,1.0,logits=fc(z),label_Hbb,label_Tbqq,,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-1.5495110750198364,,label_Hbb,label_Tbqq,8,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,-1.1702537536621094,,label_Hbb,label_Tbqq,34,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,-1.0628432035446167,,label_Hbb,label_Tbqq,3,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.8469746112823486,,label_Hbb,label_Tbqq,79,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.8434600234031677,,label_Hbb,label_Tbqq,2,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,-0.5773711204528809,,label_Hbb,label_Tbqq,66,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-0.46407410502433777,,label_Hbb,label_Tbqq,121,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-0.37571829557418823,,label_Hbb,label_Tbqq,57,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.34546881914138794,,label_Hbb,label_Tbqq,123,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.3344714641571045,,label_Hbb,label_Tbqq,124,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,0.3229798674583435,,label_Hbb,label_Tbqq,76,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.2798396348953247,,label_Hbb,label_Tbqq,45,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.2783288061618805,,label_Hbb,label_Tbqq,23,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.14485932886600494,,label_Hbb,label_Tbqq,54,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,0.13334906101226807,,label_Hbb,label_Tbqq,103,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.10721402615308762,,label_Hbb,label_Tbqq,96,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.08932342380285263,,label_Hbb,label_Tbqq,18,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,0.06245134770870209,,label_Hbb,label_Tbqq,58,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.060978055000305176,,label_Hbb,label_Tbqq,82,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.046887755393981934,,label_Hbb,label_Tbqq,6,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,-0.04250258207321167,,label_Hbb,label_Tbqq,10,,,,,,,,
