source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_Tbqq-label_Hcc,classifier_to_objective,1.0,logits=fc(z),label_Hcc,label_Tbqq,,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,1.2418437004089355,,label_Hcc,label_Tbqq,103,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,-1.1377198696136475,,label_Hcc,label_Tbqq,121,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,-1.016180157661438,,label_Hcc,label_Tbqq,34,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.9753105640411377,,label_Hcc,label_Tbqq,79,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.9142959117889404,,label_Hcc,label_Tbqq,2,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,-0.8471206426620483,,label_Hcc,label_Tbqq,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-0.6676226258277893,,label_Hcc,label_Tbqq,8,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,-0.5023515224456787,,label_Hcc,label_Tbqq,66,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.4569624662399292,,label_Hcc,label_Tbqq,124,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.45466867089271545,,label_Hcc,label_Tbqq,123,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.3020096719264984,,label_Hcc,label_Tbqq,54,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.28750041127204895,,label_Hcc,label_Tbqq,18,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,-0.25926923751831055,,label_Hcc,label_Tbqq,45,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.2499690055847168,,label_Hcc,label_Tbqq,58,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.20945939421653748,,label_Hcc,label_Tbqq,82,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-0.19033494591712952,,label_Hcc,label_Tbqq,76,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.060522064566612244,,label_Hcc,label_Tbqq,96,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.060271233320236206,,label_Hcc,label_Tbqq,10,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.053415924310684204,,label_Hcc,label_Tbqq,23,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.04845115542411804,,label_Hcc,label_Tbqq,6,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,0.021636225283145905,,label_Hcc,label_Tbqq,91,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,-0.019438765943050385,,label_Hcc,label_Tbqq,80,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-0.019184201955795288,,label_Hcc,label_Tbqq,57,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,-0.011145839467644691,,label_Hcc,label_Tbqq,110,,,,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.6188076920807362,,,,,signed_hqql_tbl,A_Hqql_correct,0.6761950198560953,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.4944642112823203,,,,,signed_hqql_tbl,C_Tbl_correct,0.648303909227252,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.3142015354242176,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,1.0454172976315022,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.44352570828050375,,,,,signed_hqql_tbl,C_Tbl_correct,0.44352570828050375,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.19190856255590916,,,,,signed_hqql_tbl,C_Tbl_correct,1.265649251639843,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.26852682465687394,,,,,signed_hqql_tbl,A_Hqql_correct,0.8800830282270908,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.3797185365110636,,,,,signed_hqql_tbl,C_Tbl_correct,0.3797185365110636,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.37720590829849243,,,,,signed_hqql_tbl,A_Hqql_correct,0.37720590829849243,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.3095241067931056,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.4346556458622217,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.2292995979078114,,,,,signed_hqql_tbl,A_Hqql_correct,0.556927639991045,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.17590199410915375,,,,,signed_hqql_tbl,C_Tbl_correct,0.6822297759354115,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.25939052179455757,,,,,signed_hqql_tbl,A_Hqql_correct,0.33993880078196526,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.2550941910594702,,,,,signed_hqql_tbl,A_Hqql_correct,0.2550941910594702,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.16597146866843104,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.6023153401911259,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,0.02648153528571129,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,1.1180784851312637,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,0.026481477078050375,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,1.1180783919990063,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.18139002664247528,,,,,signed_hqql_tbl,A_Hqql_correct,0.36916546802967787,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.14645498630125076,,,,,signed_hqql_tbl,C_Tbl_correct,0.4827748443931341,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.13315492100082338,,,,,signed_hqql_tbl,C_Tbl_correct,0.5322741102427244,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.18550850730389357,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.3151522232219577,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.15859379060566425,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.3845953503623605,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.15859378431923687,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.3845953680574894,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.12450606841593981,,,,,signed_hqql_tbl,C_Tbl_correct,0.45915738493204117,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.07174343662336469,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.6207004636526108,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.07174337771721184,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.6207004971802235,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.13540376315359026,,,,,signed_hqql_tbl,A_Hqql_correct,0.3296053623780608,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.0790140915196389,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.43067049235105515,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.14783415338024497,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.14783415338024497,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.10272571744280867,,,,,signed_hqql_tbl,C_Tbl_correct,0.31952446419745684,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.06532939133467153,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.46212770231068134,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.06532936909934506,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.46212771348655224,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.07057174667716026,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.42381374165415764,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.0705717388773337,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.4238137397915125,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.1351500628516078,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.1351500628516078,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,-0.07458769450022373,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.31985774356871843,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,-0.07458769448567182,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.31985773239284754,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.025202865013852715,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.5002167150378227,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.025202843942679465,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.5002167243510485,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.06415403471328318,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.3384268330410123,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.06415403820574284,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.3384268004447222,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.04954287031432614,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.37695380114018917,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.053429099265486,,,,,signed_hqql_tbl,C_Tbl_correct,0.35721264220774174,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.03224249114282429,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.3517749086022377,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,0.024436276173219085,,,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.2994448710232973,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.002210165897849947,,,,,signed_hqql_tbl,A_Hqql_correct,0.28814641013741493,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.0022050334373489022,,,,,signed_hqql_tbl,A_Hqql_correct,0.2314849104732275,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.02972714661154896,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.08932089630980045,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.029727121465839446,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.08932085998822004,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,-0.012300731614232063,,,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.09202050976455212,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,-0.012300727423280478,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.0920205102302134,,,,,
attention_pair:mod.cls_blocks.0.attn.h6|muon<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-1.432709313929081,,,,,,,,0.0,up,0,1.2223647348582745,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.7681788690388203,,,,,,,,0.0,up,0,0.6217740317806602,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.5805270597338676,,,,,,,,0.0,down,0,0.5185918472707272,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-charged_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.554997406899929,,,,,,,,0.0,up,0,0.4962032437324524,
