source,target,kind,weight,formula,src_label,tgt_label,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:label_H4q-label_Zqq,classifier_to_objective,1.0,logits=fc(z),label_Zqq,label_H4q,,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,-1.5205562114715576,,label_Zqq,label_H4q,8,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,1.0979442596435547,,label_Zqq,label_H4q,3,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,1.0711166858673096,,label_Zqq,label_H4q,121,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,1.0271780490875244,,label_Zqq,label_H4q,103,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.8578795194625854,,label_Zqq,label_H4q,66,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.7896314263343811,,label_Zqq,label_H4q,45,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.7268031239509583,,label_Zqq,label_H4q,18,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.662224292755127,,label_Zqq,label_H4q,82,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,-0.5838479995727539,,label_Zqq,label_H4q,76,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,-0.561055064201355,,label_Zqq,label_H4q,57,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.5277382135391235,,label_Zqq,label_H4q,54,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,-0.4830073416233063,,label_Zqq,label_H4q,91,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,-0.40420544147491455,,label_Zqq,label_H4q,124,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,-0.3984385132789612,,label_Zqq,label_H4q,2,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,-0.2544440031051636,,label_Zqq,label_H4q,23,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,-0.141511470079422,,label_Zqq,label_H4q,96,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.13964149355888367,,label_Zqq,label_H4q,10,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,-0.1301049441099167,,label_Zqq,label_H4q,58,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.07902081310749054,,label_Zqq,label_H4q,34,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,-0.06188362091779709,,label_Zqq,label_H4q,6,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,0.03947165608406067,,label_Zqq,label_H4q,79,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.03838154673576355,,label_Zqq,label_H4q,123,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,0.03371920436620712,,label_Zqq,label_H4q,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.02415020763874054,,label_Zqq,label_H4q,110,,,,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.35641506453976035,,,,,signed_hqql_tbl,C_Tbl_correct,1.02260722219944,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.34770986530929804,,,,,signed_hqql_tbl,A_Hqql_correct,0.43528025317937136,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.32823789748363197,,,,,signed_hqql_tbl,C_Tbl_correct,0.46144849807024,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.26627546409145,,,,,signed_hqql_tbl,C_Tbl_correct,0.5726926941424608,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.2235303483903408,,,,,signed_hqql_tbl,A_Hqql_correct,0.6593028157949448,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.28982440009713173,,,,,signed_hqql_tbl,A_Hqql_correct,0.28982440009713173,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.1264555910602212,,,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.8401153795421124,,,,,
