objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,-0.1017542373156175,0.6104340953752398,96.91709566116333,0.0006961864355616854
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,16,-0.128194788863766,0.2951380219310522,97.62887382507324,0.0005554577137445449
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,-0.09798152517760172,0.3818253371864557,126.18807125091553,0.0014868040871078847
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,16,-0.13416983268689364,0.19702316680923104,93.63456392288208,0.00031631123692932306
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.1459988139104098,0.1459988139104098,154.68439960479736,0.026894394191913307
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,16,-0.11716095736483112,0.25649572908878326,81.90460729598999,0.00048477033033123007
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,16,0.14379420853219926,0.14379420853219926,50.89183855056763,0.04652594379149377
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,16,-0.09918359096627682,0.29144715378060937,131.4871153831482,0.0015433802782354178
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,-0.029680514562642202,0.5555724818259478,130.21342182159424,0.0019244473933213158
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,16,-0.09945217560743913,0.21715363394469023,85.90396547317505,0.0003871277585858479
signed_hqql_tbl,mod.blocks.5,particle,A_Hqql_correct,16,-0.10703649028437212,0.17321933922357857,115.19365406036377,0.000252470050327247
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,16,-0.08507892410852946,0.19035661593079567,123.71396827697754,0.0008999387464427855
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,16,0.10358945257030427,0.10358945257030427,49.967798709869385,0.04850041470490396
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,16,0.10358945233747363,0.10358945233747363,49.96779823303223,0.04850041517056525
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,16,-0.10358389606699347,0.10358389606699347,150.2727279663086,0.027703179512172937
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,16,-0.10358389210887253,0.10358389210887253,150.27272415161133,0.027703179977834225
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.018199652433395386,0.42145851720124483,132.29294204711914,0.0017037025463650934
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.018199628684669733,0.42145848739892244,123.01967144012451,0.0013811860035275458
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.06136411422630772,0.24575461819767952,255.34847354888916,0.00011461788426458952
signed_hqql_tbl,mod.blocks.5,particle,D_Tbl_to_Hqql,16,-0.0805784800031688,0.15559062641113997,156.39078903198242,0.0007021495694061741
signed_hqql_tbl,mod.blocks.3,particle,D_Tbl_to_Hqql,16,-0.05426796025130898,0.22311047930270433,103.37308120727539,0.0011052380559704034
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.08437456120736897,0.09030076279304922,149.68995666503906,0.027880655834451318
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,16,0.07095670042326674,0.12252605124376714,114.47450685501099,0.0006499620312752086
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,16,0.07095669663976878,0.12252605170942843,121.97411584854126,0.0008059125411818968
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,16,0.0585707655409351,0.11124277417548001,117.92512369155884,0.0006654605131188873
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,16,0.026096562694874592,0.23407683381810784,318.4888610839844,0.0003120833525827038
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,16,-0.0363822236249689,0.17615260276943445,126.94882392883301,0.0011509451214806177
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,16,0.05378002327051945,0.10191066563129425,146.01750707626343,0.0005205304719311243
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,16,0.05378001305507496,0.1019106563180685,156.32037019729614,0.0006456065784732345
signed_hqql_tbl,mod.blocks.2,particle,D_Tbl_to_Hqql,16,-0.021984671911923215,0.22175772860646248,111.41644287109375,0.0013503903937817086
signed_hqql_tbl,mod.blocks.6,particle,B_Hqql_to_Tbl,16,0.049502208588819485,0.10808028851170093,192.31085395812988,0.00035147902326571057
B_tbl_minus_hqql,mod.blocks.6,particle,B_Hqql_to_Tbl,16,0.049502195630338974,0.10808027547318488,206.9866647720337,0.0004384421645227121
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,16,0.05312766126007773,0.09033120470121503,196.85683822631836,0.0003687766175062279
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.03257416485575959,0.15866781631484628,302.82766819000244,0.00022384111980500165
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.03257415286498144,0.15866781445220113,316.7226276397705,0.000285564925889048
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.03253273823065683,0.14814321440644562,302.0734558105469,0.00024739051559663494
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,16,0.04152657015947625,0.09996840171515942,152.0128993988037,0.0005405155334301526
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.045070485677570105,0.0734317353926599,49.79529666900635,0.056849526008591056
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,16,0.0241873498307541,0.15667136991396546,112.68054389953613,0.0011968870567216072
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,16,0.024187343573430553,0.1566713717766106,104.27183294296265,0.000977892687842541
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.005267705942969769,0.2004448724910617,133.82163047790527,0.0013752783597738016
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.005267703498248011,0.20044487994164228,124.44091844558716,0.0011179727125636418
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,16,0.01412572429399006,0.14683493576012552,148.8833351135254,0.00017262722712985124
signed_hqql_tbl,mod.blocks.6,particle,D_Tbl_to_Hqql,16,-0.012450484442524612,0.12382018170319498,202.88362407684326,0.0004736423061331152
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,16,0.004233727930113673,0.13195354398339987,101.56815481185913,0.000797708615209558
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,16,-0.005181897868169472,0.12073898292146623,109.23482131958008,0.0009816595065785805
B_tbl_minus_hqql,mod.blocks.3,particle,B_Hqql_to_Tbl,16,0.0043420886067906395,0.11916033620946109,101.492919921875,0.0009847217042988632
signed_hqql_tbl,mod.blocks.3,particle,B_Hqql_to_Tbl,16,0.004342080283095129,0.11916035320609808,97.12558650970459,0.0007965449067341979
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,16,-0.019444002071395516,0.05118149193003774,162.50020122528076,0.025560882058925927
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,16,-0.006045862915925682,0.054415289661847055,52.86963081359863,0.04903316008858383
