objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,-0.23738035053247586,0.7069723717868328,105.15664291381836,0.0006983395942370407
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.3015155205503106,0.3960090996697545,274.19633865356445,8.326549004777917e-05
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,0.1714550913311541,0.626698637381196,128.8688769340515,0.0011060634460591245
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,0.17145505966618657,0.6266986411064863,125.87636661529541,0.001034990680636838
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,-0.11178215756081045,0.7490963954478502,135.51307344436646,0.0014756675009266473
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.21282605733722448,0.21282605733722448,153.67295265197754,0.0320217035477981
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.19945203070528805,0.20372479292564094,144.67639255523682,0.03355659090448171
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,16,-0.14366809325292706,0.40805244259536266,104.30274295806885,0.000619371345237596
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.1586942528374493,0.3268265528604388,299.4730415344238,0.00017212296006619
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.17792519344948232,0.18155953870154917,45.62200331687927,0.06829392467625439
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,0.027203975478187203,0.6768803130835295,133.22855758666992,0.0014545208650815766
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,16,0.14527550479397178,0.14674351690337062,47.83380341529846,0.06454030168242753
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,16,-0.10036564397159964,0.31031723599880934,87.7782998085022,0.0005749882639065618
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,16,-0.07560291094705462,0.3961646147072315,136.77831363677979,0.0013209709177317563
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,16,0.07172125822398812,0.3907833332195878,130.33403968811035,0.0009962214862753171
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,16,0.07172122923657298,0.39078336488455534,127.18305540084839,0.00093340641069517
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,16,-0.09253484068904072,0.2874811589717865,88.50991010665894,0.0005167645958863432
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,16,0.0662944036303088,0.2744244830682874,309.6136646270752,0.0001559417742100777
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,16,-0.07078632479533553,0.2379782795906067,101.16943311691284,0.0004424139278853545
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,16,-0.08895360957831144,0.08895360957831144,158.1797161102295,0.03136980487033725
