objective,module,kind,analysis_group,role,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,muon,2,-0.49869611859321594,0.49869611859321594,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,electron,2,-0.4127165526151657,0.4127165526151657,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,photon,5,-0.40167354345321654,0.40167354345321654,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,neutral_hadron,3,-0.39908742407957715,0.39908742407957715,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,CLS,16,-0.37281361781060696,0.37281361781060696,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,electron,2,0.34153762459754944,0.34153762459754944,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,neutral_hadron,3,0.34052064021428424,0.34052064021428424,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,photon,5,0.33995487689971926,0.33995487689971926,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,muon,2,0.33975277841091156,0.33975277841091156,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,CLS,16,0.3086568647995591,0.3086568647995591,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,charged_hadron,4,-0.23414063826203346,0.23414063826203346,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,photon,2,-0.22650102525949478,0.22650102525949478,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,charged_hadron,4,0.21364818140864372,0.21364818140864372,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,neutral_hadron,3,-0.21307984242836633,0.21307984242836633,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,CLS,16,-0.19748986000195146,0.20167926466092467,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,charged_hadron,11,-0.18796328929337588,0.19405696879733692,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,8,0.15998549200594425,0.15998549200594425,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,8,0.15998548362404108,0.15998548362404108,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,charged_hadron,4,-0.15720550995320082,0.15720550995320082,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,photon,3,0.14675838003555933,0.14675838003555933,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,photon,3,0.14675834029912949,0.14675834029912949,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,neutral_hadron,3,0.1433171033859253,0.1433171033859253,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,16,0.14285324607044458,0.14285324607044458,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,16,0.14285323303192854,0.14285323303192854,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,8,-0.125702049350366,0.12596536451019347,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,8,-0.12570204678922892,0.12596536241471767,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,muon,2,0.12299930676817894,0.12299930676817894,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,5,0.11309859603643417,0.11309859603643417,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,5,0.11309854388236999,0.11309854388236999,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,CLS,16,0.10810281708836555,0.11899699084460735,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,16,-0.10946239810436964,0.11026788898743689,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,16,-0.10946239251643419,0.11026789038442075,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,photon,3,-0.10555122047662735,0.10555122047662735,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,photon,3,-0.10555121054251988,0.10555121054251988,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,charged_hadron,11,0.10132042860442941,0.1171664995225993,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,D_Tbl_to_Hqql,muon,2,0.10247813165187836,0.10247813165187836,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,photon,2,0.0925845243036747,0.0925845243036747,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,CLS,16,-0.08512723632156849,0.09720013896003366,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,5,-0.08582566864788532,0.08798193521797656,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,5,-0.08582564890384674,0.08798193708062171,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,neutral_hadron,7,-0.08486706603850637,0.08700431085058621,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,charged_hadron,4,0.08127856161445379,0.08731288556009531,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,D_Tbl_to_Hqql,electron,3,0.07801057770848274,0.07801057770848274,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,electron,3,0.0767207806929946,0.08009246333191793,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,muon,2,0.06620309129357338,0.06620309129357338,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,electron,1,0.05714992806315422,0.05714992806315422,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,muon,7,-0.05609881851289954,0.05779530666768551,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,muon,7,-0.04998062231710979,0.04998062231710979,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,muon,7,0.04961677614067282,0.04961677614067282,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,D_Tbl_to_Hqql,electron,3,0.0467048455029726,0.0467048455029726,0.0,0.0
B_tbl_minus_hqql,mod.blocks.3,particle,B_Hqql_to_Tbl,muon,2,-0.0464413114823401,0.04721818631514907,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,B_Hqql_to_Tbl,muon,2,-0.04644131107488647,0.047218186722602695,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,electron,3,0.043856874418755375,0.043856874418755375,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,muon,7,-0.041465090587735176,0.041465090587735176,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,D_Tbl_to_Hqql,muon,2,0.04019079729914665,0.04019079729914665,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,D_Tbl_to_Hqql,muon,2,0.03893580101430416,0.03893580101430416,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,photon,5,-0.03090156950056553,0.07069499529898167,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,electron,6,0.038132217324649297,0.038132217324649297,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,muon,2,0.037636253982782364,0.037636253982782364,0.0,0.0
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,muon,2,0.03763624653220177,0.03763624653220177,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,photon,5,-0.02782885581254959,0.06347000151872635,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,electron,6,-0.0346852281751732,0.0346852281751732,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,muon,2,-0.03352538123726845,0.03352538123726845,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,muon,2,0.032722290605306625,0.032722290605306625,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,electron,6,-0.030485862827238936,0.03666138280338297,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,electron,6,-0.029726026424517233,0.029726026424517233,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,electron,3,0.029429282993078232,0.029429282993078232,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,muon,2,-0.028055822476744652,0.028055822476744652,0.0,0.0
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,muon,2,-0.028055813163518906,0.028055813163518906,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,muon,7,-0.027886426874569485,0.027886426874569485,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,CLS,16,0.014012994361110032,0.08033849752973765,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,muon,2,-0.026999490917660296,0.026999490917660296,0.0,0.0
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,muon,2,-0.02699947846122086,0.02699947846122086,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,muon,7,-0.026744728508804525,0.026744728508804525,0.0,0.0
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,muon,2,-0.02322796592488885,0.02322796592488885,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,muon,2,-0.023227963130921125,0.023227963130921125,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,neutral_hadron,7,0.007657358688967568,0.08324134882007327,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,B_Hqql_to_Tbl,electron,7,-0.02088769944384694,0.028291621445012943,0.0,0.0
B_tbl_minus_hqql,mod.blocks.3,particle,B_Hqql_to_Tbl,electron,7,-0.02088769798034004,0.02829162317461201,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,electron,7,-0.022071924759075046,0.023473852214270403,0.0,0.0
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,electron,7,-0.022071910855759467,0.02347383844400091,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,electron,6,-0.01921748579479754,0.027603654423728585,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,muon,7,-0.02082310098090342,0.02082310098090342,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,muon,2,-0.020000542630441487,0.020000542630441487,0.0,0.0
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,muon,2,-0.0200005293590948,0.0200005293590948,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,electron,1,0.019583744928240776,0.019583744928240776,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,electron,7,0.014387861448556447,0.03746198705352656,0.0,0.0
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,electron,7,0.014387832444510553,0.03746197028972022,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,electron,3,-0.018170484341681004,0.018170484341681004,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,electron,6,-0.016371089227808017,0.022580093898189563,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,electron,1,0.015406981110572815,0.015406981110572815,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,electron,1,0.014661317691206932,0.014661317691206932,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,electron,6,-0.013554646090293923,0.016138828126713634,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,electron,1,0.013283642940223217,0.013283642940223217,0.0,0.0
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,muon,2,-0.009876658907160163,0.017569819698110223,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,muon,2,-0.009876645170152187,0.0175698334351182,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,electron,7,0.01031255120012377,0.01254372880794108,0.0,0.0
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,electron,7,0.010312537529638835,0.012543715137456144,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,electron,1,0.008341859094798565,0.008341859094798565,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,electron,7,-0.0068181094580463,0.009152896835335664,0.0,0.0
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,electron,7,-0.006818103204880442,0.009152894839644432,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,D_Tbl_to_Hqql,muon,2,0.006282416172325611,0.008217064663767815,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,D_Tbl_to_Hqql,electron,3,-0.005836827835688989,0.009603276072690884,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,neutral_hadron,16,0.005461387278046459,0.009548457484925166,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,electron,7,-0.0020492226218006442,0.02257515273855201,0.0,0.0
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,electron,7,-0.0020492080532546553,0.02257513244902449,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,charged_hadron,16,-0.005220824765274301,0.007944293902255595,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,electron,6,0.004021393833681941,0.012185980953897039,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,muon,7,-0.004341880657843181,0.010837753835533346,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,charged_hadron,16,0.005260543155600317,0.0066386910184519365,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,photon,16,0.005461907207063632,0.005559777357120765,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,electron,7,-0.0022672091477683614,0.017651180470628396,0.0,0.0
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,electron,7,-0.002267206885984966,0.017651175814015523,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,charged_hadron,16,0.00525161151017528,0.005531618357053958,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,A_Hqql_correct,electron,1,-0.00525374710559845,0.00525374710559845,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,charged_hadron,16,-0.003951778151531471,0.006993944425630616,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,charged_hadron,16,0.004071546086379385,0.004089832188583387,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,D_Tbl_to_Hqql,electron,3,-0.0037836807314306498,0.0037836807314306498,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,charged_hadron,16,-0.0030890390917193145,0.005286100014927797,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,B_Hqql_to_Tbl,muon,2,0.0033936870750039816,0.0033936870750039816,0.0,0.0
B_tbl_minus_hqql,mod.blocks.6,particle,B_Hqql_to_Tbl,muon,2,0.0033936791587620974,0.0033936791587620974,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,photon,16,-0.0032317534005414927,0.003284569202151033,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,neutral_hadron,16,0.00239577437605476,0.006105925647716504,0.0,0.0
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,neutral_hadron,16,0.0023957716548466124,0.006105925458541606,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,neutral_hadron,16,0.002793241275867331,0.004031520189528237,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,neutral_hadron,16,0.0029038981374469586,0.0032108534724102356,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,photon,16,-0.0027253988864686107,0.003797266259425669,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,photon,16,-0.0025086610066864523,0.004457155187083117,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,neutral_hadron,16,-0.0023102695085981395,0.004871023349551251,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,neutral_hadron,16,0.0027265254393569194,0.0027265254393569194,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,charged_hadron,16,-0.0021728538486058824,0.004036896069010254,0.0,0.0
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.0024154886705218814,0.0028411305611371063,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.002415488655969966,0.0028411305174813606,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.0016791599464340834,0.0055669067787675885,0.0,0.0
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.0016791588532214519,0.005566903590079164,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,photon,16,0.002149100342649035,0.0033479707781225443,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,charged_hadron,16,-0.0016883595017134212,0.005018626929086167,0.0,0.0
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,photon,16,-0.0019342592647717538,0.003413443271028882,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,photon,16,-0.0019342591615441052,0.0034134436070871743,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.0018238499981180212,0.0036712240855649725,0.0,0.0
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.001823849828042512,0.003671224721301769,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,charged_hadron,16,-0.0008756021670706104,0.007375282501016045,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,charged_hadron,16,-0.0019733239969355054,0.002899928134866059,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,photon,16,-0.0019136318887831294,0.0030854844035275164,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,neutral_hadron,16,0.0017656392701610457,0.003613225566368783,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,photon,16,-0.002092318369250279,0.0022888158200657926,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,photon,16,0.0020894644687814434,0.00219457233401954,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,electron,1,-0.002107409294694662,0.002107409294694662,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,charged_hadron,16,-0.0019193549778719898,0.002773326970782364,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,charged_hadron,16,-0.001819736160712182,0.0031309067928191325,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,neutral_hadron,16,-0.0020124984221183695,0.002331333489564713,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,charged_hadron,16,0.0017801231771272796,0.002605458265747984,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,photon,16,-0.0016533134221390355,0.002932703024271177,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,photon,16,-0.0016341416594514158,0.002774232936644694,0.0,0.0
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,photon,16,-0.0016341415321221575,0.0027742332240450196,0.0,0.0
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,photon,16,-0.001735404886858305,0.002077654378808802,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,photon,16,-0.0017354047377011739,0.0020776544988621026,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,neutral_hadron,16,-0.0016744984829983878,0.0022987362492585817,0.0,0.0
B_tbl_minus_hqql,mod.blocks.6,particle,B_Hqql_to_Tbl,electron,7,-0.0006589735192911965,0.005745861945407731,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,B_Hqql_to_Tbl,electron,7,-0.0006589710246771574,0.00574586251085358,0.0,0.0
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,photon,16,-0.0008368689559574705,0.004566591651382623,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,neutral_hadron,16,-0.0014972628887335304,0.0018839753793145064,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,photon,16,0.0014904261088304338,0.0017874912364277407,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,neutral_hadron,16,-0.001324577117429726,0.002368460189700272,0.0,0.0
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.0014866131682538253,0.0016450250554953527,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.0014866129076835932,0.0016450253770017298,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,charged_hadron,16,-0.0011622079537119134,0.0025448077349210507,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,photon,16,0.0013418958099009615,0.0017604996698992181,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,neutral_hadron,16,0.0013105662364978343,0.0017440254287066637,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,charged_hadron,16,0.0012777359688698198,0.0017901676192195737,0.0,0.0
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.000626495168035035,0.004358529125966015,0.0,0.0
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,neutral_hadron,16,-0.0006264927669690223,0.004358530683020945,0.0,0.0
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,photon,16,-0.0013302430977546464,0.001378623522896305,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,photon,16,-0.0013302430236308282,0.0013786232850634406,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,neutral_hadron,16,0.0012051543683355703,0.0017602614159386576,0.0,0.0
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.0011948834799113683,0.0017800235837057699,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.0011948833616770571,0.0017800236619223142,0.0,0.0
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,photon,16,-0.0010620708162605297,0.002203919042585767,0.0,0.0
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,photon,16,0.001273863394089858,0.0013041458132647676,0.0,0.0
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,neutral_hadron,16,-0.0007462130415660795,0.0034087662970705424,0.0,0.0
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,photon,16,0.0012501748510658217,0.0012501748510658217,0.0,0.0
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,charged_hadron,16,-0.001044471049965523,0.0020544910315152265,0.0,0.0
