objective,module,kind,analysis_group,role,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,charged_hadron,9,0.41884448793199325,0.41884448793199325,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,CLS,16,0.39725717063993216,0.39725717063993216,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,neutral_hadron,1,0.3964584469795227,0.3964584469795227,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,charged_hadron,9,-0.3796851746737957,0.3796851746737957,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,neutral_hadron,1,-0.3730943202972412,0.3730943202972412,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,photon,5,0.3698113292455673,0.3698113292455673,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,CLS,16,-0.3647438397165388,0.3647438397165388,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,photon,5,-0.34495810568332674,0.34495810568332674,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,muon,1,0.3409992456436157,0.3409992456436157,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,muon,1,-0.3208500146865845,0.3208500146865845,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,photon,2,-0.23693539947271347,0.23693539947271347,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,charged_hadron,11,-0.21638416702097113,0.21638416702097113,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,CLS,16,-0.21389682032167912,0.21389682032167912,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,neutral_hadron,3,-0.1894174963235855,0.1894174963235855,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,neutral_hadron,4,-0.1414732695557177,0.1414732695557177,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,charged_hadron,11,0.1296302554282275,0.13598210703242908,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,CLS,16,0.1252539185807109,0.12962081655859947,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,CLS,16,-0.12412747996859252,0.1266546999104321,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,charged_hadron,12,-0.11834555010621746,0.1217151766953369,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,8,0.11859651748090982,0.11859651748090982,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,charged_hadron,8,0.11859650164842606,0.11859650164842606,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,neutral_hadron,3,0.11624898761510849,0.11624898761510849,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,photon,2,0.11469146236777306,0.11469146236777306,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,4,0.1036069393157959,0.1036069393157959,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,neutral_hadron,4,0.10360693372786045,0.10360693372786045,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,16,0.10294556152075529,0.10294556152075529,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,CLS,16,0.10294555383734405,0.10294555383734405,0.0,0.0
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,muon,2,0.08817809075117111,0.08817809075117111,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,4,-0.08378520794212818,0.08378520794212818,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,neutral_hadron,4,-0.08378518838435411,0.08378518838435411,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,8,-0.07819390762597322,0.07819390762597322,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,charged_hadron,8,-0.07819389924407005,0.07819389924407005,0.0,0.0
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,16,-0.07319429353810847,0.07361719594337046,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,CLS,16,-0.07319429027847946,0.07361719268374145,0.0,0.0
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,photon,4,0.07098227832466364,0.07098227832466364,0.0,0.0
