objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.5248405230231583,0.6634471509605646,329.9814729690552,0.0002541592639317969
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.5045985491015017,0.665688443928957,265.7896890640259,0.00013806630840917933
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,-0.36375549249351025,1.0217290483415127,130.77568769454956,0.0021897554615861736
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,-0.30650771455839276,1.1724168621003628,102.90251302719116,0.0011230916970816907
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.251064631389454,1.2198377028107643,132.91791439056396,0.0029642856898135506
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.2510645871516317,1.2198377512395382,124.78484916687012,0.002478072368830908
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.4216843736357987,0.4216843736357987,128.28210067749023,0.04466418968513608
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.3493971982970834,0.3493971982970834,42.80849266052246,0.10454128263518214
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,16,-0.2725301869213581,0.6063524670898914,131.17593002319336,0.0019586118796723895
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,16,-0.22752349777147174,0.6995340250432491,102.60348701477051,0.001002647139102919
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,0.059589865151792765,1.1170765347778797,132.24343633651733,0.0028399867442203686
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.2666897070594132,0.2707657893188298,144.67639255523682,0.04070548713207245
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.14496696449350566,0.6567044910043478,132.8509488105774,0.0026005249746958725
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.14496695273555815,0.6567045114934444,124.7527084350586,0.0021765824712929316
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,16,-0.16439268342219293,0.5126713439822197,88.08312797546387,0.0009319180971942842
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.16160511458292603,0.49612915329635143,292.19365310668945,0.00022296502083918313
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.16160509269684553,0.49612909741699696,307.0544605255127,0.0002704476282815449
signed_hqql_tbl,mod.blocks.3,particle,A_Hqql_correct,16,-0.17042190162464976,0.45799670182168484,90.81341218948364,0.0007992857354111038
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,16,0.18961815303191543,0.20768219185993075,45.622002840042114,0.08863287069834769
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,16,-0.14151253027375787,0.3914120104163885,100.32509851455688,0.0006581579109479208
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,16,-0.12832928472198546,0.440667612478137,110.9377670288086,0.0018073984028887935
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,16,-0.11156443553045392,0.39738532062619925,102.48335838317871,0.0015942597892717458
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,16,0.12272103503346443,0.3047311073169112,159.88693237304688,0.0003160644191666506
signed_hqql_tbl,mod.blocks.5,particle,A_Hqql_correct,16,-0.1171170761808753,0.32444909680634737,122.18067359924316,0.0004891072439932032
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.0627596324775368,0.5094126835465431,107.41273212432861,0.0019869081443175673
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.06275960942730308,0.5094126993790269,114.80062007904053,0.0023740066535538062
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,16,0.07034792355261743,0.4474798273295164,303.0084686279297,0.0002634543998283334
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,16,0.010267469799146056,0.6673126574605703,132.63332080841064,0.002512869570637122
signed_hqql_tbl,mod.blocks.2,particle,D_Tbl_to_Hqql,16,0.054179484373889863,0.48261299543082714,112.7431993484497,0.0023086523142410442
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,16,0.0723361221171217,0.36647156067192554,117.10156202316284,0.001381649013637798
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,16,0.07233611340052448,0.3664715113118291,124.10686159133911,0.001658327877521515
