objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,0.4286537733860314,1.215904787182808,128.26940059661865,0.00207408797723474
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.4968312745913863,0.5766337271779776,329.9814729690552,0.0002446598118694965
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,-0.37547013629227877,0.9390515722334385,130.77568769454956,0.0020129130425630137
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.33713142666965723,0.6254729833453894,283.71982860565186,0.0001625175300432602
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.2436065156944096,0.9549152255058289,128.4531078338623,0.0019520854111760855
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.24360650137532502,0.9549151547253132,121.34336423873901,0.0016535070608370006
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,0.14982973714359105,1.2447436898946762,107.87501955032349,0.0013468756478687283
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.35768025228753686,0.35768025228753686,127.54466485977173,0.045564389089122415
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.3189444381278008,0.3189444381278008,38.742023944854736,0.13060774840414524
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,16,-0.24742126278579235,0.5705493576824665,131.17593002319336,0.0017741045958246104
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.2763350564055145,0.2763350564055145,144.67639255523682,0.04056646511889994
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.2052378427470103,0.40516295842826366,306.4897212982178,0.00022567545420315582
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.2052378193475306,0.4051629491150379,292.1587028503418,0.0001815175010051462
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,16,0.13353028916753829,0.6369795687496662,127.1936264038086,0.0017874752447823994
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,16,0.1910106809809804,0.29233777243644,205.06041812896729,0.0006172586872708052
signed_hqql_tbl,mod.blocks.5,particle,A_Hqql_correct,16,-0.14669368299655616,0.3569169035181403,124.23399543762207,0.000539686774573056
