objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_write_dot_grad,mean_abs_write_dot_grad,mean_context_grad_norm,mean_value_norm,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,B_Hqql_to_Tbl,0.09632870554924011,-1.2669728994369507,1.2669728994369507,0.09123043715953827,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,B_Hqql_to_Tbl,0.11405619233846664,-0.7503599375486374,0.7503599375486374,0.05209905281662941,152.1468505859375,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Hqql_to_Tbl,0.10742107033729553,-0.6761612296104431,0.6761612296104431,0.0467805489897728,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.07312716046969096,-0.4037938912709554,0.5690274238586426,0.033596038818359375,24.181640625,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.09265237003564834,0.3515628296881914,0.41804209165275097,0.042586824670433995,152.1468505859375,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-CLS,B_Hqql_to_Tbl,0.08939097076654434,-0.3937637209892273,0.3937637209892273,0.051010504364967346,102.39976501464844,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.1450539231300354,-0.38214439153671265,0.38214439153671265,0.023604676127433777,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,A_Hqql_correct,0.11431331932544708,0.06891631707549095,0.33716481551527977,0.03663151292130351,152.1468505859375,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.11529289931058884,0.3167991638183594,0.3167991638183594,0.052210483700037,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.11098850425332785,0.14608899963786826,0.2999804942519404,0.03413440496660769,152.1468505859375,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-muon,C_Tbl_correct,0.09064169973134995,-0.2621699273586273,0.2621699273586273,0.03962065652012825,152.14683532714844,0.0625
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.06711439602077007,-0.18855438195168972,0.2554522752761841,0.015915811760351062,15.878657341003418,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,B_Hqql_to_Tbl,0.10469549149274826,-0.24437755346298218,0.24437755346298218,0.03324301540851593,102.39976501464844,0.25
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-photon,B_Hqql_to_Tbl,0.03564679238104051,-0.0970110950931426,0.21030681748544017,0.0091076678326053,4.223700984831779,1.9375
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,B_Hqql_to_Tbl,0.09090251103043556,-0.2077483981847763,0.2077483981847763,0.029937172308564186,102.39976501464844,0.125
