source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:Tbl-Hqql,classifier_to_objective,1.0,logits=fc(z),,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,-1.6964067220687866,,54,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,1.4145793914794922,,76,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,-1.2686177492141724,,18,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,1.25152587890625,,103,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,0.977470338344574,,121,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,-0.7730405330657959,,96,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,0.5745218992233276,,58,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.5696371793746948,,23,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,-0.48215559124946594,,45,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,0.47194164991378784,,57,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,-0.3488597869873047,,10,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,0.23268666863441467,,8,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.20393377542495728,,2,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,0.18423211574554443,,91,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,-0.1707550287246704,,34,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,-0.10766482353210449,,79,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,0.088742196559906,,6,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.08377087116241455,,66,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.06577682495117188,,3,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,-0.050974130630493164,,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,-0.039949655532836914,,110,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.012944400310516357,,123,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,0.0038715004920959473,,124,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.003074824810028076,,82,,,,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.3405590102192946,,,signed_hqql_tbl,C_Tbl_correct,0.3407181313377805,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.30889942799694836,,,signed_hqql_tbl,A_Hqql_correct,0.30889942799694836,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.24869169434532523,,,signed_hqql_tbl,C_Tbl_correct,0.4935618508607149,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.19741459371289238,,,signed_hqql_tbl,A_Hqql_correct,0.4680428891442716,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.2267648580018431,,,signed_hqql_tbl,C_Tbl_correct,0.3092662733979523,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.23425632528960705,,,signed_hqql_tbl,C_Tbl_correct,0.23425632528960705,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.17954135131003568,,,signed_hqql_tbl,A_Hqql_correct,0.24992411956191063,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.1904550353065133,,,signed_hqql_tbl,A_Hqql_correct,0.1904550353065133,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.14842985253199004,,,signed_hqql_tbl,C_Tbl_correct,0.2795693255029619,,,,,
