objective,head_id,pair_role,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,A_write_dot_grad,C_write_dot_grad,D_write_dot_grad,B_minus_A_write,B_minus_C_write,B_value_norm,B_context_grad_norm,support_score
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,electron<-electron,0.09652671714623769,-0.4598289628823598,0.4601349592208862,0.09552577949528183,-0.5773441394170126,0.3167628708638643,-0.5553547423776416,0.11751517653465277,115.827490234375,0.03271647021174431,0.8525400738764022
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-muon,0.11143379601148459,-0.46636576377428496,0.4669568813764132,0.008266929045526518,-0.7257403517796774,0.3548579155044122,-0.47463269281981146,0.2593745880053925,135.0915521474985,0.03344157868279861,0.820421330528294
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,muon<-muon,0.11143379601148459,-0.46636576377428496,0.4669568813764132,0.0,0.0,0.0,-0.46636576377428496,-0.46636576377428496,135.0915521474985,0.03344157868279861,0.8162878660055308
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,electron<-electron,0.09652671714623769,-0.4598289628823598,0.4601349592208862,0.0,0.0,0.0,-0.4598289628823598,-0.4598289628823598,115.827490234375,0.03271647021174431,0.8047771841287613
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-electron,0.08572173021024182,-0.32885736463192317,0.3322130757760966,0.05080941618420184,-0.29428883408115286,0.21501877659466118,-0.379666780816125,-0.034568530550770304,88.26425543285552,0.03156200885063126,0.6017440239840097
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,CLS<-electron,0.08572173021024182,-0.32885736463192317,0.3322130757760966,0.0,0.0,0.0,-0.32885736463192317,-0.32885736463192317,88.26425543285552,0.03156200885063126,0.5763393158919089
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-muon,0.08607690528567348,-0.2885415757801162,0.2932347515293042,0.005855137579298268,-0.4499251335556619,0.3004936920120739,-0.2943967133594145,0.1613835577755457,91.37031609671456,0.039416736257927756,0.5090486203421495
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,CLS<-muon,0.08607690528567348,-0.2885415757801162,0.2932347515293042,0.0,0.0,0.0,-0.2885415757801162,-0.2885415757801162,91.37031609671456,0.039416736257927756,0.5061210515525003
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,electron<-electron,0.08638449509938557,-0.19590908500055473,0.19668227049211662,0.07280947969593399,-0.23897409004469714,0.14649155142864115,-0.2687185646964887,0.0430650050441424,78.06939951578777,0.02662032867471377,0.37943893497182823
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,muon<-muon,0.09713100011532123,-0.20236307611832252,0.20236307611832252,0.04561897894988457,-0.2747493931092322,0.16680593814023517,-0.24798205506820709,0.07238631699090967,91.24127666766827,0.028067707585600708,0.3769448726820067
