file,label,true_n,pred_n
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_QCD,0,185859
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hbb,500000,189
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hcc,0,26583
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hgg,0,48
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_H4q,0,69
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hqql,0,22137
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Zqq,0,245491
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Wqq,0,94
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Tbl,0,19530
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_QCD,0,85562
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hbb,0,989
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hcc,500000,18602
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hgg,0,6
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_H4q,0,428
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hqql,0,93812
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Zqq,0,228587
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Wqq,0,51
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Tbl,0,71963
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_QCD,0,142281
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hbb,0,340
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hcc,0,11205
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hgg,500000,0
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_H4q,0,67
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hqql,0,30517
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Zqq,0,303399
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Wqq,0,8
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Tbl,0,12183
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_QCD,0,189140
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hbb,0,21
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hcc,0,111079
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hgg,0,25
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_H4q,0,3091
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hqql,500000,127988
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Zqq,0,45669
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Wqq,0,62
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Tbl,0,22925
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_QCD,0,110595
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hbb,0,102
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hcc,0,17085
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hgg,0,0
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_H4q,500000,87
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hqql,0,66472
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Zqq,0,296173
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Wqq,0,17
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Tbl,0,9469
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_QCD,0,22770
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hbb,0,287
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hcc,0,546
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hgg,0,1
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_H4q,0,4
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hqql,0,15390
