control,class_id,class_label,n,acc,acc_drop_from_baseline,pred_flip_rate,delta_base_pred_logit_mean
baseline,0,label_QCD,256,0.69921875,0.0,0.0,0.0
baseline,1,label_Hbb,256,0.6484375,0.0,0.0,0.0
baseline,2,label_Hcc,256,0.58203125,0.0,0.0,0.0
baseline,3,label_Hgg,256,0.69140625,0.0,0.0,0.0
baseline,4,label_H4q,256,0.78125,0.0,0.0,0.0
baseline,5,label_Hqql,256,0.95703125,0.0,0.0,0.0
baseline,6,label_Zqq,256,0.609375,0.0,0.0,0.0
baseline,7,label_Wqq,256,0.73046875,0.0,0.0,0.0
baseline,8,label_Tbqq,256,0.90625,0.0,0.0,0.0
baseline,9,label_Tbl,256,0.96875,0.0,0.0,0.0
remove_particle0,0,label_QCD,256,0.671875,0.02734375,0.1640625,-0.8377634286880493
remove_particle0,1,label_Hbb,256,0.56640625,0.08203125,0.19921875,-1.5067298412322998
remove_particle0,2,label_Hcc,256,0.4140625,0.16796875,0.3046875,-1.7257604598999023
remove_particle0,3,label_Hgg,256,0.6953125,-0.00390625,0.16015625,-0.6431570649147034
remove_particle0,4,label_H4q,256,0.8046875,-0.0234375,0.15234375,-0.7586678266525269
remove_particle0,5,label_Hqql,256,0.28125,0.67578125,0.71875,-10.713247299194336
remove_particle0,6,label_Zqq,256,0.4453125,0.1640625,0.33984375,-1.7065379619598389
remove_particle0,7,label_Wqq,256,0.66796875,0.0625,0.25,-1.8404970169067383
remove_particle0,8,label_Tbqq,256,0.8828125,0.0234375,0.078125,-1.273313045501709
remove_particle0,9,label_Tbl,256,0.203125,0.765625,0.79296875,-14.63930606842041
keep_only_particle0,0,label_QCD,256,0.45703125,0.2421875,0.59375,-21.53574562072754
keep_only_particle0,1,label_Hbb,256,0.0,0.6484375,0.97265625,-37.81224822998047
keep_only_particle0,2,label_Hcc,256,0.0078125,0.57421875,0.96484375,-35.935977935791016
keep_only_particle0,3,label_Hgg,256,0.0,0.69140625,0.9609375,-33.2751350402832
keep_only_particle0,4,label_H4q,256,0.109375,0.671875,0.90234375,-33.04622268676758
keep_only_particle0,5,label_Hqql,256,0.03125,0.92578125,0.95703125,-19.403974533081055
keep_only_particle0,6,label_Zqq,256,0.17578125,0.43359375,0.8046875,-24.77276611328125
keep_only_particle0,7,label_Wqq,256,0.359375,0.37109375,0.65234375,-22.041614532470703
keep_only_particle0,8,label_Tbqq,256,0.015625,0.890625,0.98046875,-36.900516510009766
keep_only_particle0,9,label_Tbl,256,0.87109375,0.09765625,0.15234375,-0.3821558952331543
remove_top1,0,label_QCD,256,0.671875,0.02734375,0.1640625,-0.8377634286880493
remove_top1,1,label_Hbb,256,0.56640625,0.08203125,0.19921875,-1.5067298412322998
remove_top1,2,label_Hcc,256,0.4140625,0.16796875,0.3046875,-1.7257604598999023
remove_top1,3,label_Hgg,256,0.6953125,-0.00390625,0.16015625,-0.6431570649147034
remove_top1,4,label_H4q,256,0.8046875,-0.0234375,0.15234375,-0.7586678266525269
remove_top1,5,label_Hqql,256,0.28125,0.67578125,0.71875,-10.713247299194336
remove_top1,6,label_Zqq,256,0.4453125,0.1640625,0.33984375,-1.7065379619598389
remove_top1,7,label_Wqq,256,0.66796875,0.0625,0.25,-1.8404970169067383
remove_top1,8,label_Tbqq,256,0.8828125,0.0234375,0.078125,-1.273313045501709
remove_top1,9,label_Tbl,256,0.203125,0.765625,0.79296875,-14.63930606842041
keep_top1,0,label_QCD,256,0.45703125,0.2421875,0.59375,-21.53574562072754
keep_top1,1,label_Hbb,256,0.0,0.6484375,0.97265625,-37.81224822998047
keep_top1,2,label_Hcc,256,0.0078125,0.57421875,0.96484375,-35.935977935791016
keep_top1,3,label_Hgg,256,0.0,0.69140625,0.9609375,-33.2751350402832
keep_top1,4,label_H4q,256,0.109375,0.671875,0.90234375,-33.04622268676758
keep_top1,5,label_Hqql,256,0.03125,0.92578125,0.95703125,-19.403974533081055
keep_top1,6,label_Zqq,256,0.17578125,0.43359375,0.8046875,-24.77276611328125
keep_top1,7,label_Wqq,256,0.359375,0.37109375,0.65234375,-22.041614532470703
keep_top1,8,label_Tbqq,256,0.015625,0.890625,0.98046875,-36.900516510009766
keep_top1,9,label_Tbl,256,0.87109375,0.09765625,0.15234375,-0.3821558952331543
random_remove1_r0,0,label_QCD,256,0.703125,-0.00390625,0.03125,-0.005378127098083496
random_remove1_r0,1,label_Hbb,256,0.625,0.0234375,0.078125,-0.13090525567531586
random_remove1_r0,2,label_Hcc,256,0.57421875,0.0078125,0.1171875,-0.09289145469665527
random_remove1_r0,3,label_Hgg,256,0.68359375,0.0078125,0.046875,-0.03361143171787262
random_remove1_r0,4,label_H4q,256,0.796875,-0.015625,0.05859375,-0.03177618980407715
random_remove1_r0,5,label_Hqql,256,0.9140625,0.04296875,0.05078125,-0.5667760372161865
random_remove1_r0,6,label_Zqq,256,0.5703125,0.0390625,0.08203125,-0.11486969888210297
random_remove1_r0,7,label_Wqq,256,0.75390625,-0.0234375,0.08203125,-0.14043250679969788
random_remove1_r0,8,label_Tbqq,256,0.90625,0.0,0.015625,-0.10831594467163086
random_remove1_r0,9,label_Tbl,256,0.921875,0.046875,0.046875,-0.9742286205291748
random_remove1_r1,0,label_QCD,256,0.69140625,0.0078125,0.0390625,-0.0767977237701416
random_remove1_r1,1,label_Hbb,256,0.625,0.0234375,0.08984375,-0.09025642275810242
random_remove1_r1,2,label_Hcc,256,0.56640625,0.015625,0.09375,-0.14122432470321655
random_remove1_r1,3,label_Hgg,256,0.6875,0.00390625,0.03515625,-0.03096240758895874
random_remove1_r1,4,label_H4q,256,0.79296875,-0.01171875,0.06640625,-0.02832847833633423
random_remove1_r1,5,label_Hqql,256,0.92578125,0.03125,0.04296875,-0.42259764671325684
random_remove1_r1,6,label_Zqq,256,0.5625,0.046875,0.09765625,-0.17576347291469574
random_remove1_r1,7,label_Wqq,256,0.74609375,-0.015625,0.0703125,-0.12466222047805786
random_remove1_r1,8,label_Tbqq,256,0.87890625,0.02734375,0.0390625,-0.12663054466247559
random_remove1_r1,9,label_Tbl,256,0.91015625,0.05859375,0.0625,-0.9022903442382812
random_remove1_r2,0,label_QCD,256,0.7109375,-0.01171875,0.0625,-0.05199170112609863
