src,dst,relation_type,support,strength_sum,max_strength,lift_like,confidence,risk,next_control,evidence,mean_strength,relation_signal
pattern:core_high_pt,hypothesis:AH1,pattern_supports_hypothesis,151,23.325594885197894,5.027756214141846,1.1643308178037886,MEDIUM,may be leading-particle shortcut,remove particle0 / keep only particle0 / top-k controls,pattern:core_high_pt dominates top particle stream,0.15447413831256884,0.9474324892454034
pattern:particle0,hypothesis:AH1,pattern_supports_hypothesis,120,24.388283495101206,5.027756214141846,1.1511627906976745,MEDIUM,may be leading-particle shortcut,remove particle0 / keep only particle0 / top-k controls,pattern:particle0 dominates top particle stream,0.20323569579251005,0.9288178736074759
pattern:particle0,class:label_Hqql,particle_pattern_associated_with_class,99,4.883127188441729,4.883127188441729,1.1511627906976745,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Hqql support=99,0.04932451705496696,0.9038431160933578
pattern:core_high_pt,class:label_Hqql,particle_pattern_associated_with_class,126,4.495338816491384,4.495338816491384,1.1643308178037886,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Hqql support=126,0.03567729219437606,0.8883854508361084
pattern:charged,class:label_Hqql,particle_pattern_associated_with_class,139,4.340767803809626,4.340767803809626,1.0540950455005056,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Hqql support=139,0.031228545351148385,0.8708412683666057
pattern:particle0,class:label_Tbl,particle_pattern_associated_with_class,17,4.823465852176442,4.823465852176442,1.0897435897435896,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Tbl support=17,0.28373328542214366,0.7622853535108443
pattern:wide,hypothesis:T6_WIDE_SECONDARY_CONTEXT,pattern_supports_hypothesis,20,12.52285536233481,3.573733329772949,5.000000000000001,MEDIUM,needs KNN neighbor and causal route controls,route-neighbor trace,wide particles support label_Zqq,0.6261427681167404,0.7525254963492034
pattern:core_high_pt,class:label_Tbl,particle_pattern_associated_with_class,20,4.531519258022309,4.531519258022309,1.0188487009679064,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Tbl support=20,0.22657596290111542,0.7406110999884363
pattern:charged,class:label_Tbl,particle_pattern_associated_with_class,23,4.322826530622399,4.322826530622399,0.9615384615384615,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Tbl support=23,0.18794897959227824,0.7262244406508919
pattern:other_particle,class:label_Hqql,particle_pattern_associated_with_class,56,2.949241957494191,2.949241957494191,0.9192886456908346,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Hqql support=56,0.05266503495525341,0.6639762401798699
pattern:wide,class:label_Tbl,particle_pattern_associated_with_class,7,2.9940293857029507,2.9940293857029507,2.6923076923076925,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Tbl support=7,0.4277184836718501,0.6271626520981379
pattern:other_particle,class:label_QCD,particle_pattern_associated_with_class,7,2.96780640738351,2.96780640738351,2.058823529411765,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_QCD support=7,0.42397234391193,0.6248025840493883
pattern:other_particle,class:label_Zqq,particle_pattern_associated_with_class,12,3.099433700243632,3.099433700243632,1.366223908918406,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Zqq support=12,0.25828614168696934,0.6100912142064758
pattern:charged,class:label_Zqq,particle_pattern_associated_with_class,17,3.2101641963509953,3.2101641963509953,0.8941093969144461,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Zqq support=17,0.18883318802064677,0.5975247852036397
pattern:particle0,class:label_Wqq,particle_pattern_associated_with_class,1,5.027756214141846,5.027756214141846,0.8333333333333334,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Wqq support=1,5.027756214141846,0.5859000024616242
pattern:core_high_pt,class:label_Wqq,particle_pattern_associated_with_class,1,5.027756214141846,5.027756214141846,0.6622516556291391,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Wqq support=1,5.027756214141846,0.5687918346912048
pattern:wide,class:label_Hqql,particle_pattern_associated_with_class,11,3.005429007790305,3.005429007790305,0.7674418604651162,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Hqql support=11,0.27322081889002775,0.535682334360378
pattern:particle0,class:label_Zqq,particle_pattern_associated_with_class,2,4.825730562210083,4.825730562210083,0.16129032258064518,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Zqq support=2,2.4128652811050415,0.5337609822131293
pattern:core_high_pt,class:label_Zqq,particle_pattern_associated_with_class,3,4.442776918411255,4.442776918411255,0.19226660969878234,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Zqq support=3,1.4809256394704182,0.5242099218834727
pattern:other_particle,class:label_Tbl,particle_pattern_associated_with_class,9,2.956786553064982,2.956786553064982,0.8144796380090497,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Tbl support=9,0.32853183922944246,0.5221814486086707
pattern:wide,class:label_Wqq,particle_pattern_associated_with_class,1,2.9496636390686035,2.9496636390686035,5.000000000000001,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Wqq support=1,2.9496636390686035,0.5180363966444652
pattern:particle0,class:label_QCD,particle_pattern_associated_with_class,1,4.8282036781311035,4.8282036781311035,0.20833333333333334,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_QCD support=1,4.8282036781311035,0.5079383334934234
