signal_id,source,class_pair,status,score,reason,recommended_next_action,claim_level
feature::label_Hcc->label_Hgg::n_particles,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,407.192382389475,"feature=n_particles, effect=1.838, monotonic_ratio=50.009",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::pred_conf,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,99.9429766712983,"feature=pred_conf, effect=-1.181, monotonic_ratio=19.093",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::knn_pt_mean,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,58.93523353930326,"feature=knn_pt_mean, effect=-1.073, monotonic_ratio=12.394",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::knn_pt_sum,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,58.62180807870973,"feature=knn_pt_sum, effect=-1.068, monotonic_ratio=12.394",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::p0_iso_pt_ratio,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,40.29597665411597,"feature=p0_iso_pt_ratio, effect=0.653, monotonic_ratio=13.932",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::best_lepton_pt,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,23.51599379393249,"feature=best_lepton_pt, effect=-0.524, monotonic_ratio=10.137",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::leading_pt_fraction,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,16.542643627677407,"feature=leading_pt_fraction, effect=-0.656, monotonic_ratio=5.694",run deep probe / patch if physics meaning is plausible,1
feature::label_Hcc->label_Hgg::best_lepton_iso_pt_ratio,FEATURE_RANKER_V1,label_Hcc->label_Hgg,CANDIDATE,11.979756747257326,"feature=best_lepton_iso_pt_ratio, effect=-0.547, monotonic_ratio=4.944",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::n_particles,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,310.936077410212,"feature=n_particles, effect=1.354, monotonic_ratio=51.145",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::p0_best_lepton_deltaR,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,167.67416907087755,"feature=p0_best_lepton_deltaR, effect=1.072, monotonic_ratio=34.854",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::leading_pt_fraction,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,69.31792170989279,"feature=leading_pt_fraction, effect=-0.768, monotonic_ratio=20.098",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::best_lepton_pt,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,68.01631145284276,"feature=best_lepton_pt, effect=-0.876, monotonic_ratio=17.292",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::best_lepton_iso_pt_ratio,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,45.30378699804143,"feature=best_lepton_iso_pt_ratio, effect=-1.167, monotonic_ratio=8.646",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::knn_pt_mean,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,30.13823374177077,"feature=knn_pt_mean, effect=-0.703, monotonic_ratio=9.547",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::knn_pt_sum,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,26.481438575783283,"feature=knn_pt_sum, effect=-0.691, monotonic_ratio=8.542",run deep probe / patch if physics meaning is plausible,1
feature::label_Hbb->label_Hgg::has_lepton,FEATURE_RANKER_V1,label_Hbb->label_Hgg,CANDIDATE,25.725623461322833,"feature=has_lepton, effect=-1.072, monotonic_ratio=5.348",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::pred_conf,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,187.37800639154185,"feature=pred_conf, effect=-1.573, monotonic_ratio=28.137",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::leading_pt_fraction,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,52.48092139242405,"feature=leading_pt_fraction, effect=-1.028, monotonic_ratio=12.059",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::p0_iso_pt_ratio,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,37.86496072995399,"feature=p0_iso_pt_ratio, effect=0.843, monotonic_ratio=10.615",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::p0_pt,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,36.75135254112661,"feature=p0_pt, effect=-0.909, monotonic_ratio=9.547",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::leading_pt,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,36.75135254112661,"feature=leading_pt, effect=-0.909, monotonic_ratio=9.547",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::knn_pt_max,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,36.75135254112661,"feature=knn_pt_max, effect=-0.909, monotonic_ratio=9.547",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::n_particles,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,28.68468892591183,"feature=n_particles, effect=1.917, monotonic_ratio=3.533",run deep probe / patch if physics meaning is plausible,1
feature::label_QCD->label_Hgg::knn_pt_mean,FEATURE_RANKER_V1,label_QCD->label_Hgg,CANDIDATE,28.608596403485265,"feature=knn_pt_mean, effect=-1.207, monotonic_ratio=5.599",run deep probe / patch if physics meaning is plausible,1
feature::label_H4q->label_Hgg::n_particles,FEATURE_RANKER_V1,label_H4q->label_Hgg,CANDIDATE,166.38416823782399,"feature=n_particles, effect=1.249, monotonic_ratio=28.986",run deep probe / patch if physics meaning is plausible,1
feature::label_H4q->label_Hgg::pred_conf,FEATURE_RANKER_V1,label_H4q->label_Hgg,CANDIDATE,48.70189558787259,"feature=pred_conf, effect=-1.318, monotonic_ratio=8.039",run deep probe / patch if physics meaning is plausible,1
