particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
second_lepton,L0_ch0:32,label_Hqql,711.4429192979878,0,150.19632676496258,-711.4429192979878,-150.19632676496258,0,711.4429192979878,106856.11318149947,PATH: second_lepton -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-711.4429; B-C=-150.1963; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch96:128,label_Hqql,265.34144771119344,0,223.59503810032172,-265.34144771119344,-223.59503810032172,0,265.34144771119344,59329.03111057882,PATH: hardest_hadron -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-265.3414; B-C=-223.5950; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L0_ch0:32,label_Hqql,804.6141435974278,546.2304054776141,252.53108914173026,-258.38373811981364,293.69931633588385,0,258.38373811981364,75887.12723809932,PATH: other_lepton -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-258.3837; B-C=293.6993; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch96:128,label_Hqql,281.0814231670811,40.20392888190054,177.37902402393155,-240.87749428518055,-137.175095142031,0,240.87749428518055,33042.393196143676,PATH: particle0 -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-240.8775; B-C=-137.1751; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch0:32,label_Hqql,239.6184550219703,0,230.85890958279106,-239.6184550219703,-230.85890958279106,0,239.6184550219703,55318.055242285125,PATH: particle0_best_lepton -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-239.6185; B-C=-230.8589; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L0_ch32:64,label_Hqql,234.49697487632875,0,182.8346851921373,-234.49697487632875,-182.8346851921373,0,234.49697487632875,42874.1805800221,PATH: second_lepton -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-234.4970; B-C=-182.8347; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch64:96,label_Hqql,224.7330287735076,0,-4.228500380924197,-224.7330287735076,4.228500380924197,0,224.7330287735076,950.2836977750255,PATH: other_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-224.7330; B-C=4.2285; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch64:96,label_Hqql,188.300298587008,0,-53.160710341637355,-188.300298587008,53.160710341637355,0,188.300298587008,10010.177630427757,PATH: second_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-188.3003; B-C=53.1607; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch0:32,label_Hqql,312.24916536604957,164.95628953638624,440.6538722212452,-147.29287582966333,-275.69758268485896,0,147.29287582966333,40608.28981293927,PATH: hard_hadron -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-147.2929; B-C=-275.6976; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L0_ch32:64,label_Hqql,136.0825825672282,0,202.50923044523643,-136.0825825672282,-202.50923044523643,0,136.0825825672282,27557.97907268973,PATH: particle0_best_lepton -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-136.0826; B-C=-202.5092; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch0:32,label_Hqql,370.5688049684763,260.9587057946128,428.71555467924213,-109.61009917386349,-167.75684888462933,0,109.61009917386349,18387.84484333905,PATH: hadron_neighbor -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-109.6101; B-C=-167.7568; NEXT_PROBE: inspect particle geometry/source blocks.
