component,layer,head,target_token_id,target_token,patch_type,causal_logit_contribution,logit_rel,loss_delta_ablate,top1_match
mlp,0,-1,576,ĠThe,zero_mlp,15.890625,1.0938985347747803,6.365739107131958,0.0
mlp,2,-1,576,ĠThe,zero_mlp,7.4921875,1.1417686939239502,7.384958505630493,0.0
mlp,23,-1,576,ĠThe,zero_mlp,2.71875,0.5612500905990601,0.6261818408966064,0.8999999761581421
mlp,21,-1,576,ĠThe,zero_mlp,2.3125,0.45791229605674744,1.336944341659546,0.800000011920929
mlp,7,-1,576,ĠThe,zero_mlp,1.671875,0.2737676501274109,-0.10299420356750488,0.800000011920929
mlp,4,-1,576,ĠThe,zero_mlp,1.453125,0.2197479009628296,-0.11207962036132812,0.800000011920929
mlp,11,-1,576,ĠThe,zero_mlp,1.453125,0.17090530693531036,-0.20991134643554688,0.800000011920929
mlp,20,-1,576,ĠThe,zero_mlp,-1.28125,0.3182571828365326,-0.011894464492797852,0.8999999761581421
mlp,15,-1,576,ĠThe,zero_mlp,1.09375,0.22017447650432587,-0.0910186767578125,0.800000011920929
mlp,9,-1,576,ĠThe,zero_mlp,1.0,0.1709689199924469,-0.008015871047973633,0.8999999761581421
mlp,8,-1,576,ĠThe,zero_mlp,0.859375,0.17720448970794678,-0.1514132022857666,1.0
mlp,3,-1,576,ĠThe,zero_mlp,0.796875,0.5406102538108826,0.6676919460296631,0.800000011920929
mlp,17,-1,576,ĠThe,zero_mlp,0.796875,0.239811509847641,0.1973106861114502,1.0
mlp,6,-1,576,ĠThe,zero_mlp,0.765625,0.242681622505188,-0.18264222145080566,1.0
mlp,14,-1,576,ĠThe,zero_mlp,0.640625,0.17869584262371063,0.07729268074035645,0.8999999761581421
mlp,5,-1,576,ĠThe,zero_mlp,0.625,0.3996954560279846,0.08680462837219238,0.800000011920929
head,23,1,576,ĠThe,ablate,0.453125,0.15664896368980408,0.17204022407531738,1.0
mlp,10,-1,576,ĠThe,zero_mlp,-0.4375,0.18754157423973083,0.04709172248840332,0.699999988079071
mlp,16,-1,576,ĠThe,zero_mlp,0.390625,0.23344260454177856,0.08997321128845215,0.800000011920929
head,23,4,576,ĠThe,ablate,0.375,0.08453711122274399,0.024469375610351562,0.8999999761581421
head,21,9,576,ĠThe,ablate,0.3125,0.12532272934913635,0.13422846794128418,1.0
head,14,1,576,ĠThe,ablate,-0.296875,0.07537384331226349,0.05294680595397949,1.0
mlp,18,-1,576,ĠThe,zero_mlp,0.296875,0.22116601467132568,0.387470006942749,0.699999988079071
mlp,19,-1,576,ĠThe,zero_mlp,-0.21875,0.2716117203235626,-0.17285943031311035,0.8999999761581421
mlp,1,-1,576,ĠThe,zero_mlp,0.1875,0.27533599734306335,-0.04357028007507324,0.800000011920929
mlp,22,-1,576,ĠThe,zero_mlp,-0.1875,0.38989946246147156,0.4940016269683838,0.800000011920929
mlp,12,-1,576,ĠThe,zero_mlp,0.171875,0.17707765102386475,0.16709399223327637,0.800000011920929
mlp,13,-1,576,ĠThe,zero_mlp,-0.15625,0.22121915221214294,0.2943136692047119,1.0
head,15,6,576,ĠThe,ablate,-0.09375,0.031192703172564507,0.018733739852905273,1.0
head,4,2,576,ĠThe,ablate,0.046875,0.04384787008166313,-0.04191732406616211,1.0
head,3,6,576,ĠThe,ablate,-0.015625,0.01824481599032879,0.008571624755859375,1.0
head,11,11,576,ĠThe,ablate,0.015625,0.011091734282672405,0.004923343658447266,1.0
head,23,8,576,ĠThe,ablate,0.0,0.06800571829080582,0.01245737075805664,1.0
head,4,8,576,ĠThe,ablate,0.0,0.013052823022007942,0.021074295043945312,1.0
head,16,1,576,ĠThe,ablate,0.0,0.004565956071019173,-0.0027358531951904297,1.0
