suite,text,layer,pos,J_norm,J_rank90,J_rank95,J_rank99,gate_mean,gate_std,up_mean,hidden_norm,out_norm,top_neurons,top_neuron_contrib_norms
code,Write a Python function that reverses a linked list.,0,10,3.581040620803833,373,471,640,-0.21897004544734955,0.4112508296966553,-0.005097178742289543,3.889981746673584,3.8549203872680664,"[3048, 3486, 50, 2405, 4786, 392, 2886, 4852, 308, 2546, 196, 3526, 4405, 2456, 297, 140, 3181, 1874, 2903, 3599, 1410, 918, 4341, 2854, 74, 1402, 1495, 4171, 3449, 3117, 1110, 2003, 2299, 1088, 1297, 4600, 3643, 3851, 2921, 3237, 4036, 3266, 516, 283, 2872, 218, 4170, 991]","[0.8939294219017029, 0.601478099822998, 0.5604101419448853, 0.4342079162597656, 0.3957022428512573, 0.36014851927757263, 0.35428065061569214, 0.31366220116615295, 0.31345656514167786, 0.25860393047332764, 0.2127549946308136, 0.21212418377399445, 0.1942077875137329, 0.19159038364887238, 0.17640918493270874, 0.16702422499656677, 0.15280213952064514, 0.15243414044380188, 0.14164003729820251, 0.1411440372467041, 0.13959002494812012, 0.1376362442970276, 0.13518103957176208, 0.13257324695587158, 0.13030019402503967, 0.13010361790657043, 0.12085524201393127, 0.11952056735754013, 0.1111462190747261, 0.10719535499811172, 0.1021919846534729, 0.09942179173231125, 0.09830540418624878, 0.09302552789449692, 0.09133550524711609, 0.0907829999923706, 0.08940738439559937, 0.08859913796186447, 0.08727053552865982, 0.08372282236814499, 0.08352842926979065, 0.08241086453199387, 0.08183663338422775, 0.08105649054050446, 0.08077509701251984, 0.07978595048189163, 0.07927525043487549, 0.07783237844705582]"
code,Write a Python function that reverses a linked list.,1,10,4.121212005615234,388,484,648,-0.34358325600624084,0.5522461533546448,-9.630934073356912e-05,3.690871238708496,2.7067055702209473,"[2874, 3052, 4431, 1619, 3516, 1540, 3599, 4227, 820, 205, 2887, 671, 3675, 3331, 3393, 254, 3573, 2658, 1381, 55, 3927, 4269, 3457, 2702, 3078, 3794, 4835, 2049, 1125, 4156, 4368, 1801, 1649, 2653, 956, 2063, 2875, 2144, 373, 3718, 740, 419, 2119, 1595, 2016, 1720, 4488, 2052]","[0.449165940284729, 0.348461776971817, 0.3179764747619629, 0.2962263822555542, 0.27462223172187805, 0.2628375291824341, 0.2448929250240326, 0.23659197986125946, 0.22942113876342773, 0.22141940891742706, 0.20237287878990173, 0.20159302651882172, 0.1912745237350464, 0.1871221363544464, 0.18689878284931183, 0.17324742674827576, 0.1630033254623413, 0.16011857986450195, 0.16002318263053894, 0.15968714654445648, 0.14773455262184143, 0.13865108788013458, 0.1380116045475006, 0.13318246603012085, 0.13099467754364014, 0.12930308282375336, 0.1278277039527893, 0.12712354958057404, 0.12675558030605316, 0.12164077907800674, 0.11618725210428238, 0.11603683978319168, 0.11462461948394775, 0.1122208759188652, 0.11093320697546005, 0.11062578856945038, 0.110529325902462, 0.11041241139173508, 0.10640840977430344, 0.1047813892364502, 0.10278552770614624, 0.10157487541437149, 0.10128504037857056, 0.10076864063739777, 0.0995677262544632, 0.0976744070649147, 0.09714517742395401, 0.09588802605867386]"
code,Write a Python function that reverses a linked list.,2,10,4.710753917694092,375,470,637,-0.22167396545410156,0.4673619568347931,-0.0011049360036849976,4.212037086486816,2.193301200866699,"[264, 4318, 4395, 2586, 188, 2003, 488, 2701, 1621, 318, 2793, 3370, 133, 4418, 3559, 673, 4466, 2040, 1218, 4731, 4163, 523, 1777, 886, 451, 3986, 773, 4002, 834, 3446, 1570, 2744, 2191, 2184, 2754, 411, 4555, 743, 4736, 3582, 2822, 2635, 2106, 4424, 152, 2802, 426, 3358]","[0.6534758806228638, 0.39686116576194763, 0.33063453435897827, 0.2949672341346741, 0.29222169518470764, 0.290810227394104, 0.27568256855010986, 0.21464623510837555, 0.1962253302335739, 0.19534701108932495, 0.19374677538871765, 0.193167582154274, 0.17389877140522003, 0.17042522132396698, 0.1615910828113556, 0.15247197449207306, 0.15243496000766754, 0.15074971318244934, 0.1505948156118393, 0.15039072930812836, 0.14965394139289856, 0.14877325296401978, 0.1434488743543625, 0.14061668515205383, 0.13903363049030304, 0.13734786212444305, 0.13639269769191742, 0.13552576303482056, 0.13418081402778625, 0.13311804831027985, 0.13123202323913574, 0.12838667631149292, 0.12776659429073334, 0.12235885858535767, 0.12134182453155518, 0.1202244684100151, 0.12011073529720306, 0.11618176102638245, 0.11488791555166245, 0.11077439785003662, 0.1094231903553009, 0.10892506688833237, 0.10721791535615921, 0.10609763115644455, 0.1052316427230835, 0.10492375493049622, 0.10352183133363724, 0.10346337407827377]"
code,Write a Python function that reverses a linked list.,3,10,5.696910858154297,386,481,643,-0.3583354353904724,0.5447443723678589,0.007034995127469301,5.832910537719727,3.1257643699645996,"[3477, 2430, 995, 2325, 4728, 1164, 1071, 2981, 1917, 2493, 1213, 732, 1250, 2215, 4499, 2673, 1506, 196, 3105, 2116, 4123, 2079, 4791, 3170, 980, 4626, 1828, 2128, 674, 4670, 3499, 345, 4013, 2149, 2869, 7, 1329, 4478, 2247, 2494, 4650, 1190, 1883, 3173, 735, 185, 689, 1265]","[0.6323390603065491, 0.6114941835403442, 0.4310557544231415, 0.4270569384098053, 0.31875211000442505, 0.31749022006988525, 0.2903215289115906, 0.2848948836326599, 0.27178892493247986, 0.2708313763141632, 0.2698931097984314, 0.2646077871322632, 0.26013773679733276, 0.25336164236068726, 0.2520812153816223, 0.2265813648700714, 0.2233797311782837, 0.2117626965045929, 0.21150115132331848, 0.20986056327819824, 0.20583903789520264, 0.1952039748430252, 0.19090372323989868, 0.18936480581760406, 0.1866234838962555, 0.18535523116588593, 0.18203546106815338, 0.18106380105018616, 0.1773441731929779, 0.17723369598388672, 0.17689602077007294, 0.17211994528770447, 0.17118780314922333, 0.17110280692577362, 0.16766862571239471, 0.16503916680812836, 0.16494612395763397, 0.16491375863552094, 0.16259445250034332, 0.16217924654483795, 0.16166234016418457, 0.16113710403442383, 0.15998859703540802, 0.15676860511302948, 0.1558695137500763, 0.1521969735622406, 0.1521015465259552, 0.14956359565258026]"
code,Write a Python function that reverses a linked list.,4,10,6.937305450439453,380,478,644,-0.6750543713569641,0.8456154465675354,0.0088198808953166,9.147066116333008,5.172274589538574,"[3160, 880, 1828, 2973, 658, 1240, 3286, 1872, 1113, 1418, 3522, 1433, 2808, 2636, 3364, 2115, 2805, 4646, 3937, 1888, 4270, 2225, 1360, 122, 4138, 2868, 1441, 1163, 4465, 4541, 3382, 3033, 1049, 4304, 2914, 3992, 4663, 1485, 2063, 1235, 4676, 4558, 401, 1085, 1023, 2389, 930, 4350]","[2.130167245864868, 0.7116724848747253, 0.7036328911781311, 0.5988788604736328, 0.583602249622345, 0.5348615050315857, 0.5042825937271118, 0.49957722425460815, 0.48640790581703186, 0.4513911306858063, 0.43159663677215576, 0.42367616295814514, 0.4108976721763611, 0.4073658287525177, 0.40648379921913147, 0.38621821999549866, 0.36796334385871887, 0.36681103706359863, 0.3653847277164459, 0.35796406865119934, 0.34202370047569275, 0.3368445038795471, 0.3185878098011017, 0.3185514211654663, 0.3142176866531372, 0.31376171112060547, 0.3135189712047577, 0.3114456534385681, 0.3103630840778351, 0.3083321750164032, 0.3072505295276642, 0.2883197069168091, 0.285990446805954, 0.28492388129234314, 0.2814023494720459, 0.2797323167324066, 0.27209341526031494, 0.26845479011535645, 0.2614840269088745, 0.25921088457107544, 0.25821128487586975, 0.2553076148033142, 0.2520115077495575, 0.25009384751319885, 0.24342221021652222, 0.23432718217372894, 0.2302517294883728, 0.22987912595272064]"
code,Write a Python function that reverses a linked list.,5,10,5.842360019683838,384,478,637,-1.5732394456863403,1.362876534461975,-0.007405906915664673,10.450202941894531,5.016108512878418,"[2990, 1868, 4091, 2584, 713, 833, 419, 79, 1042, 1835, 129, 611, 220, 1618, 4791, 3906, 3358, 134, 3199, 3475, 469, 3480, 4858, 2863, 2706, 2575, 3021, 1336, 4116, 4037, 3924, 2593, 3719, 3185, 2205, 2180, 958, 2485, 15, 2542, 230, 1092, 4768, 4396, 1752, 373, 1179, 858]","[1.7226394414901733, 1.2682284116744995, 1.0506141185760498, 0.9341555833816528, 0.7759178280830383, 0.7231881618499756, 0.6543176174163818, 0.6172052621841431, 0.4371546804904938, 0.37931737303733826, 0.371562659740448, 0.35187700390815735, 0.35027918219566345, 0.344390869140625, 0.3381640315055847, 0.3329734206199646, 0.3123505711555481, 0.3097352683544159, 0.2798994779586792, 0.27586427330970764, 0.2646242082118988, 0.26011064648628235, 0.2593372166156769, 0.2571561932563782, 0.25658851861953735, 0.2550610601902008, 0.25336241722106934, 0.24129469692707062, 0.2336633801460266, 0.2283041626214981, 0.22467662394046783, 0.21733219921588898, 0.21581877768039703, 0.21216082572937012, 0.20852844417095184, 0.20755739510059357, 0.2073742300271988, 0.20638814568519592, 0.20354583859443665, 0.2005908042192459, 0.20014265179634094, 0.19999076426029205, 0.19825851917266846, 0.19795548915863037, 0.1953570395708084, 0.19517654180526733, 0.19403691589832306, 0.1939164251089096]"
code,Write a Python function that reverses a linked list.,6,10,7.30116081237793,383,476,638,-0.5347997546195984,0.6973674893379211,0.008948095142841339,8.958889961242676,4.900842189788818,"[784, 2330, 1576, 1218, 3781, 3493, 3084, 1577, 3993, 4085, 2900, 2325, 4585, 4398, 4613, 4238, 730, 2193, 2593, 4034, 1045, 2043, 4016, 3844, 3251, 2308, 2765, 3281, 2427, 1688, 1006, 755, 4602, 3312, 514, 1590, 3868, 1525, 1222, 1829, 436, 1443, 2545, 4243, 2773, 3310, 4339, 3362]","[1.3736553192138672, 0.9284385442733765, 0.7105398178100586, 0.6079915165901184, 0.5877710580825806, 0.5806699395179749, 0.5619394183158875, 0.5596275925636292, 0.5388662815093994, 0.4815588891506195, 0.4370559751987457, 0.4184911549091339, 0.35881277918815613, 0.3494058847427368, 0.33826911449432373, 0.3280200660228729, 0.3207671642303467, 0.3154861629009247, 0.30360960960388184, 0.2909581959247589, 0.28158822655677795, 0.2770897448062897, 0.2641967833042145, 0.26002851128578186, 0.2596850097179413, 0.2570917010307312, 0.25341707468032837, 0.25115785002708435, 0.24930773675441742, 0.24921268224716187, 0.24618744850158691, 0.23882047832012177, 0.23685729503631592, 0.23475252091884613, 0.23456360399723053, 0.23414692282676697, 0.2307405024766922, 0.23037321865558624, 0.22824585437774658, 0.22550158202648163, 0.22348681092262268, 0.22063031792640686, 0.21800632774829865, 0.21672676503658295, 0.2163834273815155, 0.21623507142066956, 0.21610182523727417, 0.21344012022018433]"
code,Write a Python function that reverses a linked list.,7,10,7.504391193389893,401,496,653,-0.6004882454872131,0.7245174646377563,-6.988782115513459e-05,9.464787483215332,6.064964294433594,"[3757, 3285, 3700, 2359, 3022, 932, 3258, 4745, 2346, 1959, 568, 975, 4286, 2872, 2592, 3512, 1305, 3633, 2423, 3381, 2176, 4737, 4467, 1288, 4413, 1149, 3505, 3010, 620, 4322, 2364, 147, 1338, 2303, 4025, 2472, 4550, 1335, 281, 2961, 2642, 828, 1396, 244, 2300, 94, 2534, 900]","[1.2906209230422974, 1.0840942859649658, 0.9157631993293762, 0.7099042534828186, 0.6986658573150635, 0.6270563006401062, 0.5937082171440125, 0.5675008893013, 0.5623416304588318, 0.5607653260231018, 0.5475970506668091, 0.5472701787948608, 0.5005141496658325, 0.38385888934135437, 0.38201001286506653, 0.3676770329475403, 0.36712056398391724, 0.3615643382072449, 0.36151427030563354, 0.35640111565589905, 0.34834179282188416, 0.3256419897079468, 0.32215645909309387, 0.3206895589828491, 0.3157687783241272, 0.30298519134521484, 0.29055851697921753, 0.2723139822483063, 0.27024543285369873, 0.26912009716033936, 0.26894471049308777, 0.2642339766025543, 0.25974732637405396, 0.25970375537872314, 0.25859352946281433, 0.2582966387271881, 0.2572856843471527, 0.25699204206466675, 0.2549803555011749, 0.2544669508934021, 0.2532186508178711, 0.25280773639678955, 0.252200722694397, 0.2518683969974518, 0.2518121004104614, 0.25133103132247925, 0.2493738979101181, 0.24936893582344055]"
code,Write a Python function that reverses a linked list.,8,10,7.291897773742676,373,462,619,-0.5527278780937195,0.7123753428459167,-0.0010923277586698532,7.948057174682617,4.5634942054748535,"[4062, 66, 4673, 2436, 3546, 707, 2528, 2500, 4754, 2352, 2325, 2611, 2606, 2861, 3482, 3900, 1413, 3253, 4352, 1441, 3416, 3541, 1650, 1111, 2493, 2486, 7, 4528, 3341, 120, 591, 4670, 952, 1018, 4173, 3387, 1749, 321, 918, 4349, 3633, 2506, 2105, 2030, 4051, 4810, 988, 4502]","[0.5962870121002197, 0.5757090449333191, 0.5729613304138184, 0.5364829897880554, 0.48304420709609985, 0.4681413769721985, 0.34263765811920166, 0.3425079584121704, 0.3401655852794647, 0.3382692039012909, 0.33341363072395325, 0.3316003978252411, 0.3272302448749542, 0.324868381023407, 0.3138777017593384, 0.31135228276252747, 0.31056180596351624, 0.30698665976524353, 0.30238792300224304, 0.29271259903907776, 0.28854718804359436, 0.2881857752799988, 0.28738167881965637, 0.28617215156555176, 0.28434666991233826, 0.28270992636680603, 0.27659744024276733, 0.26616597175598145, 0.26080086827278137, 0.2557459771633148, 0.2505851089954376, 0.24890781939029694, 0.24741633236408234, 0.2460072636604309, 0.23690466582775116, 0.2325441688299179, 0.22875627875328064, 0.2269095480442047, 0.22681184113025665, 0.22534696757793427, 0.21957719326019287, 0.21903561055660248, 0.21647188067436218, 0.21566881239414215, 0.21548070013523102, 0.21433642506599426, 0.21225537359714508, 0.2118486762046814]"
code,Write a Python function that reverses a linked list.,9,10,7.130961894989014,393,483,637,-0.518092691898346,0.6551991105079651,-0.010551612824201584,8.161665916442871,5.27995491027832,"[3169, 1064, 3046, 1052, 647, 1186, 4054, 2160, 740, 4677, 1589, 208, 2277, 825, 2437, 1513, 3704, 2949, 4144, 1200, 1789, 145, 1472, 3841, 3377, 3893, 2309, 975, 3667, 1432, 1734, 2583, 4724, 1780, 3286, 1632, 2984, 190, 1736, 2697, 4407, 2599, 3222, 1505, 247, 383, 4066, 4353]","[0.6214713454246521, 0.5902815461158752, 0.549131453037262, 0.5375788807868958, 0.5247095823287964, 0.48600533604621887, 0.4473099708557129, 0.44603320956230164, 0.43130674958229065, 0.42606204748153687, 0.42435988783836365, 0.41846683621406555, 0.4098588526248932, 0.40898263454437256, 0.3674573004245758, 0.3596213161945343, 0.3439817726612091, 0.3411901593208313, 0.33670422434806824, 0.3341812491416931, 0.3329152464866638, 0.3312236964702606, 0.31917276978492737, 0.3173433244228363, 0.31186872720718384, 0.30924761295318604, 0.3061380088329315, 0.30027392506599426, 0.29613474011421204, 0.2925955057144165, 0.2914026379585266, 0.28937003016471863, 0.2872539758682251, 0.286136269569397, 0.28403934836387634, 0.28214386105537415, 0.2752244174480438, 0.27154216170310974, 0.2622297704219818, 0.26076751947402954, 0.2570212781429291, 0.25401437282562256, 0.25298038125038147, 0.24962036311626434, 0.24393050372600555, 0.24385054409503937, 0.2429317831993103, 0.24174931645393372]"
