event_index,group,phase1_group,p0_pid,best_lepton_pid,p0_pt,best_lepton_pt,p0_iso,phase1_deltaR_p0_lepton,computed_deltaR_p0_lepton,p0_is_lepton_aligned,p0_idx_equals_best_lepton,best_lepton_idx,second_lepton_present,second_lepton_pt,lepton_nearest_hadron_deltaR,lepton_hardest_hadron_deltaR,lepton_hardest_hadron_pt,p0_knn_size,p0_knn_sum_pt,p0_knn_mean_pt,p0_knn_max_pt,p0_knn_hadron_count,p0_knn_charged_count,p0_knn_lepton_count,p0_knn_hadron_frac,p0_knn_charged_frac,p0_knn_lepton_frac,p0_knn_hard_neighbor_count,p0_knn_hard_hadron_count,p0_knn_hard_charged_count,p0_knn_deltaR_to_center_mean,p0_knn_deltaR_to_center_min,p0_knn_pairwise_deltaR_mean,p0_knn_pairwise_deltaR_min,p0_knn_pairwise_deltaR_max,p0_knn_charged_hadron_frac,p0_knn_neutral_hadron_frac,p0_knn_photon_frac,p0_knn_electron_frac,p0_knn_muon_frac,lep_knn_size,lep_knn_sum_pt,lep_knn_mean_pt,lep_knn_max_pt,lep_knn_hadron_count,lep_knn_charged_count,lep_knn_lepton_count,lep_knn_hadron_frac,lep_knn_charged_frac,lep_knn_lepton_frac,lep_knn_hard_neighbor_count,lep_knn_hard_hadron_count,lep_knn_hard_charged_count,lep_knn_deltaR_to_center_mean,lep_knn_deltaR_to_center_min,lep_knn_pairwise_deltaR_mean,lep_knn_pairwise_deltaR_min,lep_knn_pairwise_deltaR_max,lep_knn_charged_hadron_frac,lep_knn_neutral_hadron_frac,lep_knn_photon_frac,lep_knn_electron_frac,lep_knn_muon_frac
12308,protected_highiso,Hqql_correct,electron,electron,210.91549682617188,210.91549682617188,0.3043275515487648,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.11563321202993393,0.22396673262119293,19.0611572265625,16,482.1387311220169,30.133670695126057,210.91549682617188,8,8,2,0.5,0.5,0.125,7,2,2,0.12089647710081408,3.162277789670043e-05,0.114113650841864,3.162277789670043e-05,0.19333046674728394,0.5,0.0,0.375,0.125,0.0,16,482.1387311220169,30.133670695126057,210.91549682617188,8,8,2,0.5,0.5,0.125,7,2,2,0.12089647710081408,3.162277789670043e-05,0.114113650841864,3.162277789670043e-05,0.19333046674728394,0.5,0.0,0.375,0.125,0.0
12358,protected_highiso,Hqql_correct,electron,electron,229.0143280029297,229.0143280029297,0.30566078005931274,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.07130671292543411,0.30651864409446716,43.544700622558594,15,291.21472585201263,19.41431505680084,229.0143280029297,6,6,1,0.4,0.4,0.06666666666666667,7,3,3,0.07476345814138767,3.162277789670043e-05,0.10457759495194685,3.162277789670043e-05,0.18266193568706512,0.4000000059604645,0.0,0.5333333611488342,0.06666667014360428,0.0,15,291.21472585201263,19.41431505680084,229.0143280029297,6,6,1,0.4,0.4,0.06666666666666667,7,3,3,0.07476345814138767,3.162277789670043e-05,0.10457759495194685,3.162277789670043e-05,0.18266193568706512,0.4000000059604645,0.0,0.5333333611488342,0.06666667014360428,0.0
12438,protected_highiso,Hqql_correct,muon,muon,169.7151641845703,169.7151641845703,0.30676013947557845,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.10565460473299026,0.31131240725517273,96.8812255859375,16,383.5352119207382,23.97095074504614,169.7151641845703,12,9,2,0.75,0.5625,0.125,5,3,3,0.10942656764518688,3.162277789670043e-05,0.12716702774469013,3.162277789670043e-05,0.2836562395095825,0.5625,0.1875,0.125,0.0,0.125,16,383.5352119207382,23.97095074504614,169.7151641845703,12,9,2,0.75,0.5625,0.125,5,3,3,0.10942656764518688,3.162277789670043e-05,0.12716702774469013,3.162277789670043e-05,0.2836562395095825,0.5625,0.1875,0.125,0.0,0.125
12442,protected_highiso,Hqql_correct,muon,muon,116.57672882080078,116.57672882080078,0.37543815611620973,3.162277789670043e-05,3.162277789670043e-05,1,1,0,1,3.3424975872039795,0.067352794110775,0.22914806008338928,115.92982482910156,16,193.9317102432251,12.120731890201569,116.57672882080078,8,6,1,0.5,0.375,0.0625,5,4,4,0.09470620767092441,3.162277789670043e-05,0.08020859692008647,3.162277789670043e-05,0.1807938814163208,0.375,0.125,0.4375,0.0,0.0625,16,193.9317102432251,12.120731890201569,116.57672882080078,8,6,1,0.5,0.375,0.0625,5,4,4,0.09470620767092441,3.162277789670043e-05,0.08020859692008647,3.162277789670043e-05,0.1807938814163208,0.375,0.125,0.4375,0.0,0.0625
12509,protected_highiso,Hqql_correct,electron,electron,191.98472595214844,191.98472595214844,0.3052844451282511,3.162277789670043e-05,3.162277789670043e-05,1,1,0,1,2.465658664703369,0.06471006572246552,0.22866526246070862,57.196895599365234,15,244.90222096443176,16.326814730962116,191.98472595214844,3,3,4,0.2,0.2,0.26666666666666666,7,3,3,0.05385391803453483,3.162277789670043e-05,0.0700884470103206,3.162277789670043e-05,0.12308677285909653,0.20000000298023224,0.0,0.5333333611488342,0.2666666805744171,0.0,15,244.90222096443176,16.326814730962116,191.98472595214844,3,3,4,0.2,0.2,0.26666666666666666,7,3,3,0.05385391803453483,3.162277789670043e-05,0.0700884470103206,3.162277789670043e-05,0.12308677285909653,0.20000000298023224,0.0,0.5333333611488342,0.2666666805744171,0.0
12592,protected_highiso,Hqql_correct,electron,electron,318.6606750488281,318.6606750488281,0.30803127419798426,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.07841476798057556,0.15603238344192505,40.69743728637695,16,715.8468096256256,44.7404256016016,318.6606750488281,12,9,2,0.75,0.5625,0.125,7,3,3,0.07809501079600523,3.162277789670043e-05,0.10500782932922448,3.162277789670043e-05,0.17317688465118408,0.5625,0.1875,0.125,0.125,0.0,16,715.8468096256256,44.7404256016016,318.6606750488281,12,9,2,0.75,0.5625,0.125,7,3,3,0.07809501079600523,3.162277789670043e-05,0.10500782932922448,3.162277789670043e-05,0.17317688465118408,0.5625,0.1875,0.125,0.125,0.0
12649,actual_confused_highiso,Hqql_to_Tbl,muon,muon,316.7471008300781,316.7471008300781,0.44940165691809875,3.162277789670043e-05,3.162277789670043e-05,1,1,0,1,3.025986909866333,0.1689160168170929,0.35987353324890137,71.0254135131836,16,388.07244300842285,24.254527688026428,316.7471008300781,9,5,1,0.5625,0.3125,0.0625,5,4,2,0.17556832746481632,3.162277789670043e-05,0.19837159304488522,3.162277789670043e-05,0.44133076071739197,0.3125,0.25,0.375,0.0,0.0625,16,388.07244300842285,24.254527688026428,316.7471008300781,9,5,1,0.5625,0.3125,0.0625,5,4,2,0.17556832746481632,3.162277789670043e-05,0.19837159304488522,3.162277789670043e-05,0.44133076071739197,0.3125,0.25,0.375,0.0,0.0625
12784,protected_highiso,Hqql_correct,muon,muon,490.37921142578125,490.37921142578125,0.3112343689369206,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.09478187561035156,0.281589150428772,37.4669075012207,16,1085.215663909912,67.8259789943695,490.37921142578125,14,9,2,0.875,0.5625,0.125,7,5,3,0.14019225289803217,3.162277789670043e-05,0.16468394396973357,3.162277789670043e-05,0.34633752703666687,0.5625,0.3125,0.0,0.0,0.125,16,1085.215663909912,67.8259789943695,490.37921142578125,14,9,2,0.875,0.5625,0.125,7,5,3,0.14019225289803217,3.162277789670043e-05,0.16468394396973357,3.162277789670043e-05,0.34633752703666687,0.5625,0.3125,0.0,0.0,0.125
12982,actual_confused_highiso,Hqql_to_Tbl,electron,electron,225.74807739257812,225.74807739257812,0.30974464755255554,3.162277789670043e-05,3.162277789670043e-05,1,1,0,0,0.0,0.11143553256988525,0.2941819429397583,33.98439025878906,15,277.32376396656036,18.488250931104023,225.74807739257812,5,2,1,0.3333333333333333,0.13333333333333333,0.06666666666666667,6,5,2,0.12124009447167433,3.162277789670043e-05,0.13663939875855466,3.162277789670043e-05,0.3110714852809906,0.13333334028720856,0.20000000298023224,0.6000000238418579,0.06666667014360428,0.0,15,277.32376396656036,18.488250931104023,225.74807739257812,5,2,1,0.3333333333333333,0.13333333333333333,0.06666666666666667,6,5,2,0.12124009447167433,3.162277789670043e-05,0.13663939875855466,3.162277789670043e-05,0.3110714852809906,0.13333334028720856,0.20000000298023224,0.6000000238418579,0.06666667014360428,0.0
13045,actual_confused_highiso,Hqql_to_Tbl,electron,electron,331.15948486328125,331.15948486328125,0.31588160271656074,3.162277789670043e-05,3.162277789670043e-05,1,1,0,1,20.822223663330078,0.15125969052314758,0.320504367351532,30.480701446533203,15,386.04690623283386,25.736460415522256,331.15948486328125,5,5,1,0.3333333333333333,0.3333333333333333,0.06666666666666667,7,3,3,0.11846819263567644,3.162277789670043e-05,0.13569281132263963,3.162277789670043e-05,0.2664332091808319,0.3333333432674408,0.0,0.6000000238418579,0.06666667014360428,0.0,15,386.04690623283386,25.736460415522256,331.15948486328125,5,5,1,0.3333333333333333,0.3333333333333333,0.06666666666666667,7,3,3,0.11846819263567644,3.162277789670043e-05,0.13569281132263963,3.162277789670043e-05,0.2664332091808319,0.3333333432674408,0.0,0.6000000238418579,0.06666667014360428,0.0
