patch,layer,group,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc
edge_conv_zero,1,edge_conv,246.90663146972656,91.92713165283203,29.847553253173828,0.09882812947034836,0.7574219107627869,0.10000000149011612
edge_conv_zero,0,edge_conv,237.104736328125,19.081390380859375,28.004953384399414,0.099609375,0.7574219107627869,0.10000000149011612
features_zero,input,features_zero,108.27176666259766,48.041805267333984,12.589499473571777,0.09531249850988388,0.7574219107627869,0.09609375149011612
feature_group_zero,input,coords_last2,34.71605682373047,7.077067852020264,5.504619598388672,0.140625,0.7574219107627869,0.14023438096046448
edge_conv_zero,2,edge_conv,21.8301944732666,4.633403301239014,1.8960020542144775,0.09414062649011612,0.7574219107627869,0.10000000149011612
feature_group_zero,input,kin_logs_0_4,13.756254196166992,4.430899143218994,1.1502798795700073,0.1640625,0.7574219107627869,0.14414063096046448
mask_all_true,input,mask_all_true,8.319487571716309,2.3566534519195557,1.0454968214035034,0.24296875298023224,0.7574219107627869,0.23554687201976776
feature_group_zero,input,pid_charge_5_10,6.507436752319336,3.5734386444091797,0.6314129829406738,0.103515625,0.7574219107627869,0.10468750447034836
points_zero,input,points_zero,1.2280309200286865,0.3049076199531555,0.29470187425613403,0.7718750238418579,0.7574219107627869,0.6734375357627869
fc_zero,0,fc,0.8952329158782959,1.7605549097061157,0.9996958374977112,0.10664062947034836,0.7574219107627869,0.10000000149011612
fc_zero,1,fc,0.8753885626792908,1.6415766477584839,1.0,0.09414062649011612,0.7574219107627869,0.10000000149011612
