rank,event_index,true_label,model_pred,surrogate_pred,residual_norm,residual_rel
1,1410,label_Tbl,label_Tbl,label_Tbl,80.54244690614357,0.6634768768429182
2,1494,label_Tbl,label_Tbl,label_Hqql,51.354950797307225,0.6583279215202381
3,1316,label_Tbl,label_Tbl,label_Hqql,40.49791993770747,0.5550965628333414
4,996,label_Hqql,label_Hqql,label_Tbl,38.67698019131737,0.7739632280230572
5,1338,label_Tbl,label_Tbl,label_Tbl,38.36415799084963,0.5381331098687738
6,1391,label_Tbl,label_Tbl,label_Hqql,34.5708585726815,0.513076670593273
7,1426,label_Tbl,label_Tbl,label_Tbl,34.08417183082237,0.4806111284609611
8,1423,label_Tbl,label_Tbl,label_Tbl,33.0620123274019,0.4381339226280092
9,873,label_Hqql,label_Hqql,label_Tbl,29.897522510059506,0.9058326336790552
10,850,label_Hqql,label_Hqql,label_Tbl,29.23848204514194,0.9781408097469981
11,1346,label_Tbl,label_Tbl,label_Tbl,29.22472697920692,0.44008690308157816
12,1322,label_Tbl,label_Tbl,label_Hqql,27.650828488533687,0.45789224800537076
13,1505,label_Tbl,label_Tbl,label_Tbl,26.234777594851447,1.1674055321117767
14,1323,label_Tbl,label_Tbl,label_Tbl,26.224065167013617,0.43954656361334865
15,920,label_Hqql,label_Hqql,label_Tbl,25.8093026446342,1.0722330672092528
16,1307,label_Tbl,label_Tbl,label_Hqql,25.06278867314387,0.4883648655750247
17,170,label_Hbb,label_Hbb,label_Tbl,25.04802081010907,0.5153577439058221
18,1425,label_Tbl,label_Tbl,label_Hgg,23.966317378199363,0.6595755879830107
19,201,label_Hbb,label_Hbb,label_QCD,22.157185639261613,0.5611028412907579
20,494,label_Hcc,label_Hcc,label_Hqql,21.570754470762836,1.4551200654716383
21,1944,label_Wqq,label_QCD,label_Zqq,21.428064034116513,0.6151768792624728
22,1522,label_Tbl,label_Tbl,label_Tbl,21.3368361378961,0.4608284907277789
23,2157,label_QCD,label_Tbqq,label_Tbqq,21.12138968110856,0.59545766192164
24,1465,label_Tbl,label_Tbl,label_Hbb,20.95143256122557,0.5590499905904802
25,2070,label_QCD,label_QCD,label_QCD,20.643285826324504,0.563548973543577
26,943,label_Hqql,label_Hqql,label_Tbl,20.09193334842293,0.686937808339114
27,223,label_Hbb,label_Hbb,label_Hcc,19.67734671618911,0.5465047735316477
28,1399,label_Tbl,label_Tbl,label_Tbl,19.580239791545402,0.5295069997199342
29,2164,label_QCD,label_QCD,label_Hcc,19.533906993268786,0.6857351008936312
30,1348,label_Tbl,label_Tbl,label_Tbl,19.476418515398056,0.29038581955795145
31,52,label_Hbb,label_Hbb,label_Hcc,19.413157535417792,0.5067261774642499
32,2173,label_QCD,label_QCD,label_Tbqq,19.31114856402526,0.6506477945660936
33,783,label_Hqql,label_Hqql,label_Hcc,18.88160125718517,0.5787978804072776
34,1432,label_Tbl,label_Tbl,label_Tbl,18.78151184909325,0.4072100987532816
35,928,label_Hqql,label_Hqql,label_Tbl,18.482526612551432,0.6270822571857827
36,34,label_Hbb,label_Hbb,label_Tbl,18.332400839118147,0.7636388103864363
37,1369,label_Tbl,label_Tbl,label_Hqql,18.0881888798064,0.40888560198357765
38,481,label_Hcc,label_Hcc,label_Hqql,18.046891855721572,1.3003114696571838
39,1303,label_Tbl,label_Tbl,label_Hqql,18.00849764181681,0.46229030465736637
40,234,label_Hbb,label_Hbb,label_Hqql,17.97866802656906,0.6259694547270649
41,904,label_Hqql,label_Hqql,label_Zqq,17.80334635038653,0.5805508617667163
42,1301,label_Tbl,label_Tbl,label_Tbl,17.676702954417237,0.4176739337852846
43,775,label_Hqql,label_Hqql,label_Hcc,17.45779822556516,0.5830684783092429
44,1455,label_Tbl,label_Tbl,label_Hqql,17.456910265922797,0.35923383584196505
45,2073,label_QCD,label_QCD,label_Tbqq,17.387457485127555,0.5076486820173682
46,2235,label_QCD,label_QCD,label_QCD,17.14003447558155,0.3805411054264731
47,1750,label_Tbqq,label_Tbqq,label_Hcc,17.12296162599403,0.526665776551047
48,2544,label_Zqq,label_Zqq,label_Hqql,17.01081613166515,1.0118993749067746
49,915,label_Hqql,label_Hqql,label_Tbl,16.87385130277305,0.4150587153644705
50,861,label_Hqql,label_Hqql,label_Hcc,16.862565708202613,0.5292134902631717
