control,class_id,class_label,n,acc,acc_delta_from_baseline,pred_flip_rate,mean_abs_logit_diff,delta_base_pred_logit_mean
identity,0,label_QCD,256,0.69921875,0.0,0.0,0.0,0.0
identity,1,label_Hbb,256,0.6484375,0.0,0.0,0.0,0.0
identity,2,label_Hcc,256,0.58203125,0.0,0.0,0.0,0.0
identity,3,label_Hgg,256,0.69140625,0.0,0.0,0.0,0.0
identity,4,label_H4q,256,0.78125,0.0,0.0,0.0,0.0
identity,5,label_Hqql,256,0.95703125,0.0,0.0,0.0,0.0
identity,6,label_Zqq,256,0.609375,0.0,0.0,0.0,0.0
identity,7,label_Wqq,256,0.73046875,0.0,0.0,0.0,0.0
identity,8,label_Tbqq,256,0.90625,0.0,0.0,0.0,0.0
identity,9,label_Tbl,256,0.96875,0.0,0.0,0.0,0.0
reverse,0,label_QCD,256,0.69921875,0.0,0.0,5.587935669737476e-10,0.0
reverse,1,label_Hbb,256,0.6484375,0.0,0.0,0.0,0.0
reverse,2,label_Hcc,256,0.58203125,0.0,0.0,0.0,0.0
reverse,3,label_Hgg,256,0.69140625,0.0,0.0,0.0,0.0
reverse,4,label_H4q,256,0.78125,0.0,0.0,4.6566129424663316e-11,0.0
reverse,5,label_Hqql,256,0.95703125,0.0,0.0,0.0,0.0
reverse,6,label_Zqq,256,0.609375,0.0,0.0,6.687722816423047e-06,3.248453140258789e-06
reverse,7,label_Wqq,256,0.73046875,0.0,0.0,0.0012230968568474054,0.00045353174209594727
reverse,8,label_Tbqq,256,0.90625,0.0,0.0,1.23400245577443e-09,0.0
reverse,9,label_Tbl,256,0.96875,0.0,0.0,0.0,0.0
particle0_to_end,0,label_QCD,256,0.69921875,0.0,0.0,2.1421874407678843e-07,0.0
particle0_to_end,1,label_Hbb,256,0.6484375,0.0,0.0,2.3372922441922128e-07,1.4901161193847656e-08
particle0_to_end,2,label_Hcc,256,0.58203125,0.0,0.0,1.9156141206622124e-07,0.0
particle0_to_end,3,label_Hgg,256,0.69140625,0.0,0.0,1.9764993908211181e-07,-1.4901161193847656e-08
particle0_to_end,4,label_H4q,256,0.78125,0.0,0.0,2.0496517549872806e-07,1.1920928955078125e-07
particle0_to_end,5,label_Hqql,256,0.95703125,0.0,0.0,2.3347092792391777e-07,0.0
particle0_to_end,6,label_Zqq,256,0.609375,0.0,0.0,2.0479346574120427e-07,0.0
particle0_to_end,7,label_Wqq,256,0.73046875,0.0,0.0,1.7571437638252974e-07,0.0
particle0_to_end,8,label_Tbqq,256,0.90625,0.0,0.0,2.411165098692436e-07,1.1920928955078125e-07
particle0_to_end,9,label_Tbl,256,0.96875,0.0,0.0,2.925342528214969e-07,0.0
particle0_to_middle,0,label_QCD,256,0.69921875,0.0,0.0,1.9880098989233375e-07,0.0
particle0_to_middle,1,label_Hbb,256,0.6484375,0.0,0.0,2.1966771157622134e-07,-1.4901161193847656e-08
particle0_to_middle,2,label_Hcc,256,0.58203125,0.0,0.0,1.8183200722887705e-07,0.0
particle0_to_middle,3,label_Hgg,256,0.69140625,0.0,0.0,1.896143686508367e-07,-2.9802322387695312e-08
particle0_to_middle,4,label_H4q,256,0.78125,0.0,0.0,1.7882848624140024e-07,1.1920928955078125e-07
particle0_to_middle,5,label_Hqql,256,0.95703125,0.0,0.0,2.0258593735889008e-07,0.0
particle0_to_middle,6,label_Zqq,256,0.609375,0.0,0.0,1.7602724255993962e-07,0.0
particle0_to_middle,7,label_Wqq,256,0.73046875,0.0,0.0,1.656968322549801e-07,2.9802322387695312e-08
particle0_to_middle,8,label_Tbqq,256,0.90625,0.0,0.0,2.3248431091360544e-07,0.0
particle0_to_middle,9,label_Tbl,256,0.96875,0.0,0.0,2.2769090435303951e-07,0.0
sort_pt_desc,0,label_QCD,256,0.69921875,0.0,0.0,0.0,0.0
sort_pt_desc,1,label_Hbb,256,0.6484375,0.0,0.0,0.0,0.0
sort_pt_desc,2,label_Hcc,256,0.58203125,0.0,0.0,0.0,0.0
sort_pt_desc,3,label_Hgg,256,0.69140625,0.0,0.0,0.0,0.0
sort_pt_desc,4,label_H4q,256,0.78125,0.0,0.0,0.0,0.0
sort_pt_desc,5,label_Hqql,256,0.95703125,0.0,0.0,0.0,0.0
sort_pt_desc,6,label_Zqq,256,0.609375,0.0,0.0,0.0,0.0
sort_pt_desc,7,label_Wqq,256,0.73046875,0.0,0.0,0.0,0.0
